	ENO	ENO&2pg	ENO&pep
0	6.69733579016e-06	4.40192904059e-06	8.70287578921e-06
1	6.30592025513e-06	6.20591757356e-06	5.99052672195e-06
2	9.08825568827e-06	4.58983554529e-06	6.4747367944e-06
3	8.82188595445e-06	4.97952126362e-06	8.0491206009e-06
4	7.91733877684e-06	8.27866860261e-06	3.52656180387e-06
5	8.59519446847e-06	4.92349882203e-06	9.24593447091e-06
6	5.93147946481e-06	4.80758381425e-06	7.34252097091e-06
7	6.50482313927e-06	3.30525781261e-06	8.4393961937e-06
8	8.92927994324e-06	5.14999377327e-06	5.69784017084e-06
9	4.95128471929e-06	2.39114407644e-06	9.01797946403e-06
10	7.87548164515e-06	1.23049704521e-06	9.26432575338e-06
11	8.09123038691e-06	3.65304719732e-06	7.22467316168e-06
12	6.23546670301e-06	6.37006377413e-06	5.5150246287e-06
13	9.49878367386e-06	5.77067203835e-06	7.28966106145e-06
14	6.21615080955e-06	8.11105032096e-06	6.14269819974e-06
15	7.82693720961e-06	2.60303077018e-06	8.81681894074e-06
16	5.57142481579e-06	3.37260422668e-06	8.57339269302e-06
17	6.30083705692e-06	7.12181259925e-06	7.52160562948e-06
18	4.66202872469e-06	4.69987507922e-06	8.23177648698e-06
19	7.88483518474e-06	5.41884854823e-06	8.01795155239e-06
20	4.08128808493e-06	3.83818102181e-06	7.85816790134e-06
21	3.08200732824e-06	3.37790730096e-06	9.26703531874e-06
22	6.31422263045e-06	2.26273676068e-06	9.0132465635e-06
23	6.53664748712e-06	5.11251918719e-06	7.27338381301e-06
24	8.45169806564e-06	6.01641345101e-06	4.06411628647e-06
25	5.28580291102e-06	5.59366249708e-06	6.13472669104e-06
26	6.33978481546e-06	1.53611079763e-06	9.23189554533e-06
27	7.1541974462e-06	1.72693121302e-06	9.24256048307e-06
28	2.60293202249e-06	2.9092592824e-06	9.10738875089e-06
29	2.55548072017e-06	2.24697168076e-06	9.24526058138e-06
30	8.91077667695e-06	3.80839756261e-06	8.04353234371e-06
31	6.37172240351e-06	3.95283788867e-06	9.06852265307e-06
32	8.42956836249e-06	3.25815610209e-06	8.87823758601e-06
33	6.44212234742e-06	4.2191445551e-06	8.24462999815e-06
34	6.78192470911e-06	4.94453477357e-06	6.08606233487e-06
35	8.06414324639e-06	7.97861381326e-06	3.10483504281e-06
36	6.51040457114e-06	6.97538905415e-07	9.25956379565e-06
