	v_eno1	v_eno2	v_eno3
0	-4.33322578479e-11	-4.33420361233e-11	-4.33322578538e-11
1	-4.32813814932e-11	-4.32754301144e-11	-4.32813815009e-11
2	-4.33490725556e-11	-4.33431120855e-11	-4.33490725615e-11
3	-4.33426922206e-11	-4.33367300379e-11	-4.33426922282e-11
4	-4.33668509454e-11	-4.33608851949e-11	-4.336717053e-11
5	-4.33347444347e-11	-4.33382591966e-11	-4.33347444427e-11
6	-4.33634356814e-11	-4.33574712591e-11	-4.33637472871e-11
7	-4.33554744086e-11	-4.33502331254e-11	-4.33561962619e-11
8	-4.3148585411e-11	-4.31426552469e-11	-4.31485854186e-11
9	-4.33087413317e-11	-4.33027867036e-11	-4.33087413418e-11
10	-4.33443822911e-11	-4.33384213933e-11	-4.33443823012e-11
11	-4.33618620441e-11	-4.33558969976e-11	-4.33618620526e-11
12	-4.31653095505e-11	-4.31593766802e-11	-4.31653095624e-11
13	-4.33666817556e-11	-4.33607182278e-11	-4.33666817675e-11
14	-4.33655959598e-11	-4.33575350102e-11	-4.33655959691e-11
15	-4.33655386965e-11	-4.33591591451e-11	-4.33655387058e-11
16	-4.33676932531e-11	-4.33613123706e-11	-4.33676932629e-11
17	-4.33620712994e-11	-4.33459058577e-11	-4.33620713036e-11
18	-4.33500802906e-11	-4.33441190925e-11	-4.33536013862e-11
19	-4.33627488923e-11	-4.33578381531e-11	-4.33638021756e-11
20	-4.32887066706e-11	-4.32986632659e-11	-4.32887066778e-11
21	-4.3360706471e-11	-4.33547416717e-11	-4.33607064811e-11
22	-4.33068557245e-11	-4.33009001918e-11	-4.33068557385e-11
23	-4.33635490919e-11	-4.33575857509e-11	-4.33635491e-11
24	-4.3364340881e-11	-4.33583776521e-11	-4.33643408894e-11
25	-4.32212743328e-11	-4.32153323543e-11	-4.32212743463e-11
26	-4.31937613779e-11	-4.30642292659e-11	-4.33214438596e-11
27	-4.33560812797e-11	-4.33501186337e-11	-4.33586295436e-11
28	-4.33652332962e-11	-4.33573827882e-11	-4.33652333013e-11
29	-4.32960859971e-11	-4.32901331969e-11	-4.32960860064e-11
30	-4.33543849226e-11	-4.33484220741e-11	-4.33543849357e-11
31	-4.33466608389e-11	-4.33406982178e-11	-4.33466608478e-11
32	-4.33645975247e-11	-4.33594670585e-11	-4.33645975303e-11
33	-4.33668339632e-11	-4.3360868715e-11	-4.33668339742e-11
34	-3.70624145303e-11	-4.28329975655e-11	-3.70624148361e-11
35	-3.74953891415e-11	-3.74900071924e-11	-3.74953892499e-11
36	-4.26127660972e-11	-4.30888666761e-11	-4.26127661184e-11
37	-4.33664298641e-11	-4.33579630532e-11	-4.33664298726e-11
38	-4.33655817537e-11	-4.3359617112e-11	-4.33655817605e-11
39	-4.33652478745e-11	-4.33583524986e-11	-4.33652478822e-11
40	-4.3367008247e-11	-4.33611445361e-11	-4.33671102594e-11
41	-4.33671200833e-11	-4.33611558118e-11	-4.33671200926e-11
42	-2.75090610835e-11	-3.0132910056e-11	-2.75090945752e-11
43	-4.33677043311e-11	-4.33616458712e-11	-4.33677043412e-11
44	-4.33592026262e-11	-4.33532385338e-11	-4.33592026355e-11
45	-4.3356444764e-11	-4.33504816245e-11	-4.33564447704e-11
46	-3.62895473457e-11	-3.6274891077e-11	-3.62896406091e-11
47	-4.33386280795e-11	-4.33205884359e-11	-4.33386280922e-11
48	-4.33607209815e-11	-4.33547555495e-11	-4.33607209908e-11
49	-4.33670287372e-11	-4.33605950624e-11	-4.33670287444e-11
50	-4.33597450665e-11	-4.33604714634e-11	-4.33597450767e-11
51	-4.33050413994e-11	-4.32990865384e-11	-4.33050414054e-11
52	-4.33463894796e-11	-4.3340428902e-11	-4.33463894894e-11
53	-4.11305789469e-11	-4.27977714032e-11	-4.28036534778e-11
54	-3.58278135265e-11	-3.5822602263e-11	-3.58278143706e-11
55	-4.33675773812e-11	-4.33614450769e-11	-4.3367606586e-11
56	-4.29374676357e-11	-4.29299529953e-11	-4.32199894719e-11
57	-4.33368372934e-11	-4.33511460236e-11	-4.33368373027e-11
58	-4.33429255363e-11	-4.33369646592e-11	-4.33429255443e-11
59	-4.27161333327e-11	-4.2710259808e-11	-4.27161333437e-11
60	-4.33665465649e-11	-4.33605807509e-11	-4.336654657e-11
61	-4.33187977219e-11	-4.33128411609e-11	-4.33308136627e-11
62	-4.33643909326e-11	-4.33584262244e-11	-4.3364390941e-11
63	-4.33573440263e-11	-4.33536453265e-11	-4.33606118099e-11
64	-4.27747021661e-11	-4.27688219042e-11	-4.27747021767e-11
65	-4.32099445226e-11	-4.32040050437e-11	-4.32099445285e-11
66	-4.33652319384e-11	-4.33592684326e-11	-4.33652319427e-11
67	-4.33620836127e-11	-4.33561199095e-11	-4.33620836127e-11
68	-4.3355314291e-11	-4.33493518859e-11	-4.33553142982e-11
69	-3.40422421324e-11	-3.40157489849e-11	-3.4042387704e-11
70	-4.33564332253e-11	-4.33560496532e-11	-4.33620127143e-11
71	-4.33540088358e-11	-4.33480460728e-11	-4.33540088451e-11
72	-4.33674987714e-11	-4.3361599901e-11	-4.33674987824e-11
73	-4.33678686936e-11	-4.33619034776e-11	-4.3367868697e-11
74	-4.33658244507e-11	-4.33555340067e-11	-4.33660710499e-11
75	-4.33559623834e-11	-4.33499998051e-11	-4.3355962397e-11
76	-4.33408264789e-11	-4.33348652101e-11	-4.3340826487e-11
77	-4.336771869e-11	-4.33617525566e-11	-4.33677187014e-11
78	-4.33612538596e-11	-4.33561099349e-11	-4.33612538668e-11
79	-4.33059705903e-11	-4.32753039133e-11	-4.33059706001e-11
80	-4.33665266859e-11	-4.3360561669e-11	-4.33665266935e-11
81	-4.33632699319e-11	-4.3357304292e-11	-4.33632699395e-11
82	-4.32912830124e-11	-4.32853310486e-11	-4.33581402999e-11
83	-4.33655921223e-11	-4.33585008175e-11	-4.33655921324e-11
84	-4.33426298172e-11	-4.33366684552e-11	-4.33426298282e-11
85	-4.33615185469e-11	-4.33556445953e-11	-4.33615185502e-11
86	-4.33656791414e-11	-4.33600377825e-11	-4.33656791464e-11
87	-4.33654092136e-11	-4.33602299031e-11	-4.3365409222e-11
88	-4.33513112696e-11	-4.33453498788e-11	-4.33513112781e-11
89	-4.33628986278e-11	-4.33569343622e-11	-4.3362898638e-11
90	-4.33593245604e-11	-4.3354087681e-11	-4.33593245706e-11
91	-4.2571598402e-11	-4.25657417299e-11	-4.25715984131e-11
92	-4.33613579028e-11	-4.33553943614e-11	-4.33613579092e-11
93	-4.33578925343e-11	-4.3351929685e-11	-4.33578925411e-11
94	-4.3193303759e-11	-4.30860694345e-11	-4.31933037633e-11
95	-4.33288520453e-11	-4.3181713847e-11	-4.33288520559e-11
96	-4.33657107247e-11	-4.33597454816e-11	-4.33663549136e-11
97	-4.33657486692e-11	-4.33603656452e-11	-4.33657486751e-11
98	-4.33640906048e-11	-4.33581265509e-11	-4.33640906115e-11
99	-4.33109790979e-11	-4.33050249306e-11	-4.33109791059e-11
