	v_eno1	v_eno2	v_eno3
0	0.0	0.0	0.0
1	0.0	-8.23993651089e-18	-1.62630325873e-19
2	0.0	-8.67361737988e-19	0.0
3	0.0	-6.50521303491e-19	0.0
4	-1.62630325873e-19	0.0	0.0
5	-7.45388993584e-20	0.0	0.0
6	-1.08420217249e-19	1.95156391047e-18	0.0
7	-8.67361737988e-19	0.0	0.0
8	0.0	8.67361737988e-19	-5.42101086243e-19
9	0.0	-8.67361737988e-19	0.0
10	0.0	0.0	0.0
11	0.0	-4.33680868994e-19	0.0
12	0.0	4.33680868994e-19	0.0
13	5.42101086243e-20	1.73472347598e-18	1.92445885616e-18
14	6.50521303491e-19	0.0	0.0
15	0.0	-3.90312782095e-18	-6.50521303491e-19
16	3.46944695195e-18	6.50521303491e-19	0.0
17	0.0	-8.67361737988e-19	0.0
18	0.0	0.0	0.0
19	4.33680868994e-19	0.0	0.0
20	0.0	0.0	0.0
21	2.16840434497e-19	0.0	0.0
22	0.0	0.0	0.0
23	5.42101086243e-20	1.08420217249e-18	0.0
24	0.0	0.0	0.0
25	0.0	0.0	0.0
26	0.0	-4.33680868994e-19	0.0
27	0.0	0.0	0.0
28	0.0	0.0	0.0
29	-6.77626357803e-20	0.0	0.0
30	0.0	0.0	0.0
31	0.0	0.0	0.0
32	0.0	1.73472347598e-18	0.0
33	7.5894152074e-19	-4.33680868994e-19	0.0
34	0.0	8.67361737988e-19	5.42101086243e-20
35	0.0	4.33680868994e-19	0.0
36	0.0	-8.67361737988e-19	0.0
37	0.0	-2.16840434497e-19	0.0
38	0.0	0.0	0.0
39	0.0	0.0	0.0
40	2.71050543121e-20	0.0	0.0
41	8.67361737988e-19	6.07153216592e-18	8.67361737988e-19
42	0.0	0.0	0.0
43	0.0	0.0	0.0
44	0.0	-4.33680868994e-19	0.0
45	0.0	0.0	0.0
46	0.0	0.0	0.0
47	-4.60785923306e-19	0.0	0.0
48	0.0	0.0	0.0
49	0.0	0.0	0.0
50	0.0	1.08420217249e-18	0.0
51	-6.77626357803e-21	-2.16840434497e-19	0.0
52	-3.52365706058e-19	0.0	-5.69206140555e-19
53	0.0	2.16840434497e-19	0.0
54	0.0	0.0	0.0
55	0.0	0.0	0.0
56	-2.16840434497e-19	-8.67361737988e-18	0.0
57	0.0	0.0	0.0
58	0.0	0.0	-4.60785923306e-19
59	0.0	0.0	0.0
60	0.0	-8.67361737988e-19	0.0
61	-7.5894152074e-19	0.0	0.0
62	0.0	0.0	0.0
63	0.0	0.0	0.0
64	0.0	2.16840434497e-19	0.0
65	0.0	4.33680868994e-19	2.16840434497e-19
66	0.0	1.08420217249e-18	0.0
67	0.0	0.0	0.0
68	0.0	0.0	0.0
69	-4.60785923306e-19	-1.08420217249e-18	-2.16840434497e-19
70	0.0	0.0	0.0
71	0.0	0.0	0.0
72	0.0	0.0	0.0
73	0.0	-6.50521303491e-19	-2.16840434497e-19
74	0.0	-8.67361737988e-19	-6.77626357803e-21
75	0.0	-3.25260651746e-18	-2.95445092002e-18
76	5.42101086243e-20	8.67361737988e-19	0.0
77	0.0	0.0	0.0
78	0.0	-6.50521303491e-19	0.0
79	0.0	0.0	0.0
80	-6.50521303491e-19	-3.25260651746e-18	0.0
81	0.0	1.73472347598e-18	0.0
82	0.0	0.0	0.0
83	0.0	0.0	5.42101086243e-20
84	0.0	-4.33680868994e-19	0.0
85	0.0	-3.90312782095e-18	-2.13452302708e-19
86	0.0	-4.33680868994e-19	0.0
87	-8.67361737988e-19	-1.73472347598e-18	0.0
88	-4.33680868994e-19	0.0	0.0
89	0.0	0.0	-2.71050543121e-19
90	0.0	-8.67361737988e-19	0.0
91	0.0	-8.67361737988e-19	-1.73472347598e-18
92	0.0	-1.73472347598e-18	-1.85669622038e-18
93	0.0	0.0	8.67361737988e-19
94	0.0	-2.16840434497e-19	0.0
95	0.0	-8.67361737988e-19	0.0
96	0.0	0.0	0.0
97	0.0	-8.67361737988e-19	-2.57498015965e-19
98	0.0	0.0	0.0
99	0.0	-8.67361737988e-19	0.0
