frame	deltaG
1	-64.8575
2	-56.0604
3	-46.3734
4	-56.9992
5	-51.6544
6	-50.9701
7	-58.5516
8	-53.9673
9	-57.4161
10	-54.2506
11	-57.8568
12	-53.3652
13	-60.3976
14	-48.0785
15	-59.6164
16	-50.8562
17	-55.6718
18	-54.0577
19	-57.0913
20	-50.5947
21	-51.1483
22	-49.2291
23	-43.4876
24	-47.2484
25	-46.9943
26	-43.4088
27	-57.1617
28	-42.3616
29	-53.9547
30	-48.336
31	-48.7317
32	-37.9943
33	-45.7673
34	-53.1004
35	-58.5707
36	-49.4276
37	-52.5095
38	-58.557
39	-61.1401
40	-54.1922
41	-43.5763
42	-62.552
43	-55.7403
44	-55.456
45	-54.8512
46	-56.7986
47	-49.6338
48	-57.0608
49	-69.8437
50	-60.6282
51	-54.8528
52	-44.9933
53	-50.6138
54	-51.9125
55	-52.5727
56	-55.8278
57	-47.7338
58	-47.5401
59	-57.7914
60	-52.4937
61	-50.4218
62	-50.9968
63	-56.585
64	-48.8543
65	-35.9929
66	-38.1735
67	-57.2996
68	-46.0067
69	-56.5711
70	-50.3802
71	-56.6861
72	-71.651
73	-58.2204
74	-60.2892
75	-49.3467
76	-52.051
77	-43.968
78	-53.5008
79	-53.0476
80	-53.2208
81	-48.7455
82	-53.715
83	-56.7617
84	-51.0291
85	-51.339
86	-57.6464
87	-42.0127
88	-54.4728
89	-63.3566
90	-61.2271
91	-49.9501
92	-47.6865
93	-43.6476
94	-57.6369
95	-48.9002
96	-58.7396
97	-56.2895
98	-53.1767
99	-48.1107
100	-51.0984
101	-50.954
102	-49.0506
103	-47.5612
104	-51.8055
105	-62.9974
106	-51.3858
107	-55.0191
108	-66.9424
109	-62.0264
110	-60.5057
111	-69.5059
112	-53.1071
113	-55.3504
114	-59.8078
115	-42.6977
116	-42.6019
117	-53.3949
118	-65.1277
119	-55.5675
120	-56.3067
121	-49.6794
122	-42.831
123	-45.7752
124	-47.5842
125	-59.0025
126	-37.1222
127	-49.0066
128	-58.0286
129	-44.571
130	-52.5145
131	-57.2553
132	-49.4663
133	-60.6893
134	-44.8222
135	-53.6479
136	-48.2794
137	-51.0691
138	-51.8102
139	-44.4072
140	-53.1355
141	-52.8264271429
143	6.49713101566
