,ligand,mean,var_propagated,std_propagated,var,std,stderr,median,mad,std_prop %,std %
NAD_G3P_cl000,G3P,-45.8623253968,47.4654061121,6.8895142145,47.4654061121,6.8895142145,0.8679972031,-45.4613,4.2357,15.0221650449,15.0221650449
NAD_G3P_cl000_2,G3P,-57.1100396825,69.4953749192,8.3363886017,69.4953749192,8.3363886017,1.0502862416,-56.3085,5.8492,14.5970632276,14.5970632276
NAD_G3P_cl000_3,G3P,-57.8381142857,57.0482780946,7.5530310535,57.0482780946,7.5530310535,0.9515924672,-56.9763,4.848,13.0589165064,13.0589165064
NAD_G3P_cl000_4,G3P,-58.8367571429,56.3623707367,7.5074876448,56.3623707367,7.5074876448,0.9458545371,-58.8314,4.4193,12.7598596683,12.7598596683
NAD_G3P_cl000_5,G3P,-55.0288126984,101.335289026,10.0665430524,101.335289026,10.0665430524,1.2682652133,-57.1938,5.3271,18.2932223299,18.2932223299
NAD_G3P_cl001,G3P,-60.3305380952,27.8016008125,5.2727223341,27.8016008125,5.2727223341,0.6643005728,-60.9245,3.7588,8.7397236964,8.7397236964
NAD_G3P_cl001_2,G3P,-52.2811095238,71.0299472326,8.4279266272,71.0299472326,8.4279266272,1.0618189487,-51.6697,5.4329,16.1204050639,16.1204050639
NAD_G3P_cl001_3,G3P,-51.072152381,126.758496776,11.2587075979,126.758496776,11.2587075979,1.418463828,-50.4095,7.1827,22.0447094416,22.0447094416
NAD_G3P_cl001_4,G3P,-53.1795253968,66.3913670235,8.1480897776,66.3913670235,8.1480897776,1.0265628196,-51.5818,4.2502,15.3218550124,15.3218550124
NAD_G3P_cl001_5,G3P,-45.2222206349,54.618674488,7.3904448099,54.618674488,7.3904448099,0.931108526,-46.0976,4.7489,16.3425075242,16.3425075242
NAD_G3P_cl012,G3P,-73.7744253968,32.491284206,5.7001126485,32.491284206,5.7001126485,0.7181466911,-73.8253,4.2109,7.7264073802,7.7264073802
NAD_G3P_cl012_2,G3P,-60.2683301587,44.7936388269,6.6928050044,44.7936388269,6.6928050044,0.8432141721,-59.3601,4.3246,11.1050115156,11.1050115156
NAD_G3P_cl012_3,G3P,-70.4042492063,55.840542232,7.4726529581,55.840542232,7.4726529581,0.9414657791,-70.9791,4.3936,10.6139232253,10.6139232253
NAD_G3P_cl012_4,G3P,-71.4708238095,78.9218395151,8.8837964585,78.9218395151,8.8837964585,1.1192531489,-72.1904,6.9914,12.4299623048,12.4299623048
NAD_G3P_cl012_5,G3P,-70.4901285714,35.338968862,5.9446588516,35.338968862,5.9446588516,0.7489566167,-70.6996,3.8065,8.4333210509,8.4333210509
NAD_G3P_cl010,G3P,-47.9356428571,104.350829698,10.2152253865,104.350829698,10.2152253865,1.2869974266,-47.8636,7.5535,21.3102918365,21.3102918365
NAD_G3P_cl010_2,G3P,-53.8108539683,134.629244854,11.6029843081,134.629244854,11.6029843081,1.4618386165,-54.6856,9.606,21.5625351624,21.5625351624
NAD_G3P_cl010_3,G3P,-63.368815873,37.4248886788,6.1175884692,37.4248886788,6.1175884692,0.7707437006,-62.5303,3.7153,9.6539415877,9.6539415877
NAD_G3P_cl010_4,G3P,-62.3575428571,34.0542060218,5.8355981717,34.0542060218,5.8355981717,0.7352162626,-62.6579,3.3689,9.3582875533,9.3582875533
NAD_G3P_cl010_5,G3P,-57.6774936508,69.0044495584,8.3068916905,69.0044495584,8.3068916905,1.0465699801,-58.6025,5.938,14.4023104416,14.4023104416
NAD_G3P_cl002,G3P,-51.6009539683,55.6101536599,7.4572215778,55.6101536599,7.4572215778,0.9395216079,-50.4769,5.591,14.4517126221,14.4517126221
NAD_G3P_cl002_2,G3P,-49.2413206349,102.278878859,10.1133020749,102.278878859,10.1133020749,1.2741562964,-47.2675,7.5561,20.5382429727,20.5382429727
