frame	deltaG
1	-31.7945
2	-48.5509
3	-46.2903
4	-34.2359
5	-60.1649
6	-59.0556
7	-45.5568
8	-49.825
9	-40.7115
10	-46.7225
11	-53.0363
12	-59.1734
13	-55.8581
14	-74.0324
15	-63.1825
16	-55.9732
17	-60.04
18	-58.4774
19	-64.1525
20	-57.8413
21	-60.8162
22	-60.9566
23	-40.7971
24	-61.6506
25	-60.5453
26	-54.3531
27	-39.9387
28	-46.9696
29	-59.6475
30	-65.4754
31	-50.7123
32	-59.3995
33	-44.5403
34	-42.7287
35	-56.7802
36	-44.8502
37	-42.8006
38	-62.8007
39	-52.3228
40	-57.063
41	-51.3685
42	-67.5597
43	-67.8757
44	-51.2383
45	-62.6981
46	-44.3712
47	-53.2049
48	-54.4348
49	-38.3759
50	-70.6933
51	-55.6873
52	-55.5268
53	-54.3095
54	-54.7162
55	-49.9742
56	-65.8806
57	-62.908
58	-41.6196
59	-63.7211
60	-48.8113
61	-52.0208
62	-70.1357
63	-60.3328
64	-45.4756
65	-46.4796
66	-61.6563
67	-55.8913
68	-54.0457
69	-63.3094
70	-67.1695
71	-54.5902157143
73	9.10941429274
