Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	2.2870399435381827e-8	5.230551703339134e-16	4.0127714151516614e-8	5.266104219359136e-6	0.762	0.7620000401277142
1	haldaneRatio_1	2.2870399435381827e-8	5.230551703339134e-16	4.0127714151516614e-8	5.266104219359136e-6	0.762	0.7620000401277142
1	haldaneRatio_1	2.2870399435381827e-8	5.230551703339134e-16	4.0127714151516614e-8	5.266104219359136e-6	0.762	0.7620000401277142
1	haldaneRatio_1	2.2870399435381827e-8	5.230551703339134e-16	4.0127714151516614e-8	5.266104219359136e-6	0.762	0.7620000401277142
1	haldaneRatio_1	2.2870399435381827e-8	5.230551703339134e-16	4.0127714151516614e-8	5.266104219359136e-6	0.762	0.7620000401277142
1	haldaneRatio_1	2.2870399435381827e-8	5.230551703339134e-16	4.0127714151516614e-8	5.266104219359136e-6	0.762	0.7620000401277142
1	haldaneRatio_1	2.2870399435381827e-8	5.230551703339134e-16	4.0127714151516614e-8	5.266104219359136e-6	0.762	0.7620000401277142
1	haldaneRatio_1	2.2870399435381827e-8	5.230551703339134e-16	4.0127714151516614e-8	5.266104219359136e-6	0.762	0.7620000401277142
1	haldaneRatio_1	2.2870399435381827e-8	5.230551703339134e-16	4.0127714151516614e-8	5.266104219359136e-6	0.762	0.7620000401277142
1	haldaneRatio_1	2.2870399435381827e-8	5.230551703339134e-16	4.0127714151516614e-8	5.266104219359136e-6	0.762	0.7620000401277142
1	haldaneRatio_1	2.2870399435381827e-8	5.230551703339134e-16	4.0127714151516614e-8	5.266104219359136e-6	0.762	0.7620000401277142
1	relRateRev_g3p	0.015495217371991554	0.00024010176140526886	0.0033021083594943074	3.632319195443738	0.09090909090909091	0.09421119926858522
1	relRateRev_g3p	0.014699507156303748	0.0002160755106382251	0.004709739780725475	3.4426188833118196	0.13680688860321005	0.14151662838393553
1	relRateRev_g3p	0.013593204991164343	0.0001847752219318152	0.006383062416179752	3.1794491595896646	0.20076000891310186	0.20714307132928161
1	relRateRev_g3p	0.012144607263762985	0.00014749148559104467	0.008075048782224592	2.835865425207252	0.2847472489508012	0.2928222977330258
1	relRateRev_g3p	0.010389813023091832	0.00010794821465480863	0.009366688575736026	2.4211889535323348	0.3868631798468568	0.39622986842259283
1	relRateRev_g3p	0.008453875943853828	0.00007146801847407045	0.00982823106192482	1.9656462123849643	0.49999999999999994	0.5098282310619248
1	relRateRev_g3p	0.006526530329957592	0.00004259559814785635	0.009283736348950189	1.5141377982538042	0.6131368201531431	0.6224205565020933
1	relRateRev_g3p	0.0047942451676782905	0.00002298478672780664	0.007939529972131543	1.1100313784861517	0.7152527510491987	0.7231922810213303
1	relRateRev_g3p	0.0033746537965190643	0.000011388288246360533	0.0062346279184206654	0.7800695645799832	0.7992399910868984	0.805474619005319
1	relRateRev_g3p	0.0022967918612691735	5.2752528539923144e-6	0.004577140009028313	0.530256781315335	0.86319311139679	0.8677702514058183
1	relRateRev_g3p	0.001524878762928998	2.3252552416318715e-6	0.003197576783720346	0.3517334462092381	0.9090909090909091	0.9122884858746294
1	relRateFor_e4p	0.006904734568148996	0.000047675359456591696	0.0014568905722356362	1.6025796294591985	0.09090909090909098	0.09236598148132662
1	relRateFor_e4p	0.006553487404077574	0.000042948197155403415	0.002080065389561514	1.5204390734990414	0.13680688860321014	0.13888695399277165
1	relRateFor_e4p	0.006064539476959729	0.00003677863906760299	0.0028231016817246157	1.4062071908686664	0.20076000891310197	0.2035831105948266
1	relRateFor_e4p	0.005423257478633037	0.000029411721679549162	0.003578078792845607	1.2565806363466667	0.2847472489508014	0.288325327743647
1	relRateFor_e4p	0.004644827836488452	0.000021574425630617994	0.004159749621713615	1.0752508479510214	0.38686317984685703	0.39102292946857065
1	relRateFor_e4p	0.0037840121012598926	0.000014318747582481308	0.004375539305299103	0.8751078610598203	0.5000000000000002	0.5043755393052993
1	relRateFor_e4p	0.0029248992155100906	8.555035420891543e-6	0.004143308417537961	0.6757559294030143	0.6131368201531432	0.6172801285706812
1	relRateFor_e4p	0.002150930799766887	4.62650330538582e-6	0.0035512199618964457	0.4964986092940137	0.7152527510491988	0.7188039710110953
1	relRateFor_e4p	0.0015153974938747067	2.2964295644417415e-6	0.0027936846319255304	0.34954264840105864	0.7992399910868985	0.802033675718824
1	relRateFor_e4p	0.001032085761220311	1.0652010185137088e-6	0.0020537878777090457	0.23792913203230684	0.86319311139679	0.865246899274499
1	relRateFor_e4p	0.0006855544068978398	4.6998484481704885e-7	0.0014361762904293585	0.15797939194722943	0.9090909090909093	0.9105270853813386
1	relRateRev_s7p	0.031697331158911046	0.0010047208025976732	0.0068832058210352015	7.57152640313872	0.09090909090909093	0.09779229673012613
1	relRateRev_s7p	0.03004032730081485	0.0009024212643400821	0.009797946283860881	7.161880797010525	0.13680688860321005	0.14660483488707093
1	relRateRev_s7p	0.027741980860246485	0.0007696175020502823	0.01324265877201633	6.5962632915345	0.2007600089131019	0.21400266768511822
1	relRateRev_s7p	0.024742006475597322	0.0006121668844384998	0.0166932107139231	5.862466020455688	0.28474724895080145	0.30144045966472455
1	relRateRev_s7p	0.021122182563568515	0.0004461465962487178	0.01928038811928573	4.983774399754983	0.38686317984685686	0.4061435679661426
1	relRateRev_s7p	0.01714660754147801	0.00029400615018147053	0.020135638766104136	4.027127753220827	0.5	0.5201356387661041
1	relRateRev_s7p	0.013207095455660095	0.00017442737037491753	0.01893218261932572	3.087758229002954	0.6131368201531432	0.6320690027724689
