ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,dKd
0,0.000045,0.00089,0.00053,268,0.452,0.5
5.487735312858503e-7,0.000044999005915650505,0.0008896104703963734,0.0005298618943774809,268.000017492908,0.4519999999517254,9.999999882913522e-6
5.487735358897801e-7,0.00004499900436393174,0.0008896104440987326,0.0005298619117162423,268.0000186794405,0.45199999955207276,9.99999988719638e-6
5.487735362145255e-7,0.000044999005911888614,0.0008896104562202853,0.0005298619040904866,268.0000202352981,0.45200000071252816,9.999999847016249e-6
5.487735430955122e-7,0.00004499900591001904,0.0008896104337217998,0.0005298619117345014,268.00002221168063,0.4519999992523287,9.999999861223176e-6
5.487735446356582e-7,0.000044999004355859864,0.0008896104356275017,0.0005298619088641992,268.0000237419552,0.45199999825943743,9.999999859749534e-6
5.487735488911218e-7,0.00004499900435774153,0.0008896104257609965,0.0005298619145258983,268.00002559538297,0.4519999987423524,9.999999901748663e-6
5.48773551166395e-7,0.000044999004364268686,0.0008896104177490923,0.0005298619283465539,268.0000238576538,0.4520000079625227,9.999999684361667e-6
5.487735524215398e-7,0.00004499900434389801,0.0008896105044607239,0.0005298618654068175,268.00003065945475,0.45199999530990004,9.999999798178431e-6
5.487735569519737e-7,0.000044999004352430905,0.0008896104132509705,0.0005298619171774886,268.00002798034706,0.4519999997425326,9.99999980114877e-6
5.487735576458131e-7,0.00004499900435141796,0.0008896104116092751,0.0005298619162395927,268.0000284401612,0.4520000001338616,9.999999827306119e-6
5.48773570950933e-7,0.00004499900434270078,0.0008896103873471937,0.0005298619246067805,268.00003180666573,0.45199999666914276,9.999999862558692e-6
5.487735938250543e-7,0.00004499900434700118,0.0008896103434196997,0.0005298619546677826,268.0000333783769,0.45200000043985,9.999999734604092e-6
5.487735951618443e-7,0.00004499900434322472,0.000889610320033171,0.0005298619781929847,268.0000253471772,0.45199999846238587,9.999999764537627e-6
5.487735986053254e-7,0.000044999004338896376,0.0008896103477348914,0.0005298619415029295,268.0000372359059,0.45199999554199266,9.999999783971505e-6
5.48773600464217e-7,0.000044999004320570114,0.0008896103580766276,0.0005298619216603233,268.000040455428,0.45199999603427277,9.999999791639066e-6
5.487736006939143e-7,0.00004499900434404903,0.000889610329666055,0.0005298619620270277,268.00003240550944,0.452000001571163,9.99999965233267e-6
5.487736040429659e-7,0.00004499900432882828,0.0008896103492194705,0.0005298619277639468,268.00004002246305,0.4519999963381778,9.999999733199456e-6
5.487736045266431e-7,0.000044999004327329836,0.0008896103519012122,0.0005298619264710266,268.00004056428077,0.4519999963308953,9.999999722446432e-6
5.487736197286923e-7,0.000044999004321632205,0.0008896103301822482,0.0005298619332590367,268.0000427136197,0.45199999666185975,9.999999678881532e-6
5.487736197898121e-7,0.000044999004346472307,0.0008896107207308198,0.0005298617491793978,268.00002350461574,0.4520000019614502,9.99999980649073e-6
5.487736374317277e-7,0.00004499900432680697,0.0008896103099215891,0.0005298619519237424,268.0000448146286,0.4519999976047939,9.999999620994492e-6
5.487736376605151e-7,0.000044999004353775486,0.0008896107501948914,0.000529861736935015,268.0000225045313,0.4520000027139278,9.999999796198204e-6
5.487736719707399e-7,0.00004499900429586717,0.0008896102913977666,0.0005298619354331288,268.0000538224762,0.45199999816993136,9.99999953886128e-6
5.487736802256565e-7,0.000044999004309286124,0.0008896102627844195,0.0005298619605497698,268.00005023522306,0.45199999501328003,9.99999957171917e-6
5.487737224022646e-7,0.00004499900430028095,0.0008896102278070727,0.000529861985115521,268.0000556048081,0.4519999965140703,9.999999562554928e-6
5.487737348623974e-7,0.00004499900427626431,0.0008896102440805319,0.00052986194535029,268.0000633355368,0.4519999975038392,9.999999437547555e-6
5.487737468684468e-7,0.00004499900427135398,0.0008896102382290022,0.000529861944031014,268.00006572349673,0.45199999540564983,9.999999471487642e-6
5.487737612862779e-7,0.0000449990042699801,0.000889610227206369,0.0005298619486748185,268.0000674117616,0.4519999952172707,9.999999458109633e-6
5.4877376467003e-7,0.00004499900428060237,0.0008896102027303268,0.0005298619823837081,268.0000621666511,0.45199999966135257,9.999999401696308e-6
5.48773773754245e-7,0.000044999004339304145,0.0008896101321124007,0.0005298620831728282,268.0000300956419,0.45200000074271135,9.99999967245728e-6
5.487737813256859e-7,0.00004499900426135495,0.0008896102126428517,0.0005298619509924983,268.0000695451428,0.45199999677738306,9.999999401673276e-6
5.487738152759767e-7,0.000044999004247918986,0.0008896101926425458,0.0005298619548870814,268.0000739422379,0.4519999995937033,9.999999357141301e-6
5.487738209387741e-7,0.000044999004255323504,0.0008896101876401402,0.0005298619601617855,268.00007363770175,0.4519999978618643,9.999999265866813e-6
5.487738327507778e-7,0.000044999004250587296,0.0008896101790769196,0.00052986196209619,268.00007532727574,0.4520000023413321,9.999999343786323e-6
5.487738398707862e-7,0.00004499900424868898,0.0008896101751595676,0.0005298619629958478,268.00007600323903,0.4520000010507788,9.999999306714708e-6
5.487739232481889e-7,0.00004499900429772111,0.0008896100813058161,0.0005298620790129179,268.00006541941576,0.45199999954582637,9.999999334207545e-6
5.487739343836096e-7,0.00004499900435863644,0.0008896100317140043,0.0005298621716397524,268.0000209866501,0.4520000079885411,9.999999693226594e-6
5.487739411787394e-7,0.000044999005904458895,0.0008896100208197293,0.0005298621735571776,268.000016646142,0.45200000282945185,9.999999790695019e-6
5.487739472195189e-7,0.000044999004285289186,0.0008896109172973636,0.0005298615662985387,268.00002898450333,0.4519999955232572,0.000010000000065623709
5.487740635359262e-7,0.000044999004370317016,0.0008896099629650921,0.000529862220318758,268.00001820904635,0.45200000031599735,9.999999855282562e-6
5.487740684205225e-7,0.00004499900435310129,0.0008896099697319696,0.0005298621925399515,268.000042577157,0.45200000317082345,9.999999500292986e-6
5.48774120596279e-7,0.00004499900436870673,0.0008896099480887567,0.0005298622238804679,268.00003688488016,0.4520000034726465,9.999999556476052e-6
5.487741492529356e-7,0.00004499900438029487,0.0008896099321085692,0.0005298622454619977,268.00002630720604,0.45200000534186746,9.999999643191426e-6
5.487743402564217e-7,0.000044999004473618505,0.0008896098695442072,0.0005298623241576316,268.00000478812655,0.451999993457331,0.000010000000103270934
5.48775532458789e-7,0.000044999004397118466,0.0008896094727619219,0.0005298625430603186,268.00002521655387,0.4520000066917443,9.999999675819077e-6
5.487755635703533e-7,0.00004499900438272132,0.0008896094605338058,0.0005298625340129672,268.00004063449796,0.4520000051899147,9.999999486247244e-6
5.487757874223104e-7,0.000044999004352843756,0.0008896093677489209,0.0005298625633886961,268.00001072539175,0.4520000003701138,9.999999929702038e-6
5.487764263245382e-7,0.00004499900428925513,0.0008896117301995492,0.0005298610817677352,268.00002697812164,0.4519999943159678,0.000010000000120655485
5.487770538798866e-7,0.00004499900440319907,0.0008896091280352171,0.0005298627585960529,268.00001546033855,0.45200000693632447,9.99999974086709e-6
5.487776105044853e-7,0.000044999004292917,0.0008896089236699979,0.0005298627576094678,268.00002497825386,0.45199998747915887,0.000010000000246399652
5.487783219932287e-7,0.000044999004374584415,0.0008896088665320925,0.0005298628843179909,268.000013237935,0.4520000019354305,9.999999849664199e-6
5.48778998678142e-7,0.00004499900443644535,0.0008896087647460041,0.0005298629598049924,268.0000039951486,0.45200000254011796,9.999999891824549e-6
5.487806037721963e-7,0.00004499900439791612,0.0008896085303482043,0.0005298631085422234,268.0000145544268,0.45200000634100385,9.999999690624656e-6
5.487838015584862e-7,0.00004499900430634109,0.0008896128937831689,0.0005298604126685007,268.000027594366,0.4519999998091428,9.999999963342887e-6
5.487882886038134e-7,0.00004499900585497195,0.00088961337470808,0.0005298601232496418,268.00002517787146,0.45199999762456883,9.999999988003527e-6
5.487959872070467e-7,0.00004499900437467901,0.0008896069395741196,0.0005298640344386092,268.00003009800633,0.4520000222970264,9.999999193749855e-6
5.487986807684049e-7,0.00004499900454917582,0.0008896067618559525,0.0005298641815395318,268.000014830729,0.4520000142747814,9.99999960342576e-6
5.488003276684661e-7,0.00004499900596157133,0.0008896066386939312,0.0005298642541616328,268.0000109230067,0.4520000159493808,9.999999539390904e-6
5.488003402300109e-7,0.00004499900451797529,0.0008896146467485923,0.000529859677717628,267.9999727975452,0.45200003034008546,9.999999294096519e-6
5.488008339793073e-7,0.00004499900440041432,0.0008896065886641587,0.0005298642690450528,268.00000800393417,0.45200000185841654,9.999999910130098e-6
5.488020715287983e-7,0.0000449990044579444,0.0008896065091691555,0.0005298643261350576,268.00002334833175,0.45200000356007153,9.999999748143258e-6
5.488191041227718e-7,0.00004499900449367482,0.0008896054323011262,0.0005298649545714501,268.00003360560333,0.45200001871366213,9.99999927565282e-6
5.488198704900537e-7,0.000044999004461896036,0.0008896054461983151,0.0005298650133097965,268.00003101809165,0.45200003090210117,9.999999065219604e-6
5.488303245951066e-7,0.00004499900554098194,0.000889604915085514,0.0005298653580230949,267.9999862587569,0.4519999912925352,0.000010000000396159784
5.488618562332229e-7,0.00004499900451204957,0.0008896034845341732,0.0005298661848155602,268.00003068385075,0.45200004410321204,9.999998946498333e-6
5.488629333287681e-7,0.00004499900447634928,0.0008896034664756352,0.0005298662236106059,268.000031577721,0.4520000606628768,9.999998561529117e-6
5.488696620444765e-7,0.000044999006038390166,0.000889603214334078,0.0005298663877725774,268.0000283598656,0.4520000728013633,9.99999832834642e-6
5.488804524509176e-7,0.00004499900474898205,0.0008896185337908054,0.0005298573263927608,267.9999808583826,0.4520000272000884,9.999999397781939e-6
