,patterns,count
90,"(3, 1, -1, 3, 3, 1)",2
91,"(3, 3, -2, 2, 3, 1)",4
92,"(2, 1, -1, 3, 3, 1)",8
93,"(3, 2, -2, 3, 3, 1)",1
94,"(3, 3, -1, 3, 3, 1)",13
95,"(2, 2, -2, 2, 3, 1)",3
96,"(3, 1, -1, 3, 3, 2)",13
97,"(3, 2, -1, 3, 2, 1)",4
98,"(2, 2, -1, 3, 3, 1)",3
99,"(3, 2, -2, 2, 3, 1)",6
100,"(3, 1, -1, 3, 3, 3)",4
101,"(3, 2, -1, 3, 2, 2)",1
102,"(3, 2, -1, 3, 3, 2)",4
103,"(3, 1, -1, 3, 3, 2)",8
104,"(3, 1, -1, 3, 2, 2)",2
105,"(3, 2, -2, 2, 3, 2)",2
106,"(3, 2, -1, 3, 2, 1)",6
107,"(3, 2, -1, 3, 3, 3)",1
108,"(3, 1, -1, 3, 3, 1)",3
109,"(3, 3, -2, 2, 3, 1)",6
110,"(2, 1, -1, 3, 3, 1)",10
111,"(3, 2, -2, 2, 3, 1)",8
112,"(2, 1, -2, 3, 3, 1)",1
113,"(2, 1, -1, 3, 3, 2)",2
114,"(3, 3, -2, 3, 3, 1)",4
115,"(2, 1, -2, 2, 3, 2)",1
116,"(3, 2, -1, 3, 3, 1)",11
117,"(3, 1, -1, 3, 3, 3)",3
118,"(2, 2, -1, 3, 3, 1)",6
119,"(3, 3, -1, 3, 3, 1)",11
120,"(3, 2, -1, 3, 3, 2)",6
121,"(3, 1, -1, 3, 3, 2)",10
122,"(2, 1, -2, 2, 3, 1)",1
123,"(3, 2, -2, 2, 3, 2)",2
124,"(3, 2, -1, 3, 2, 1)",6
125,"(3, 2, -1, 3, 3, 3)",2
126,"(3, 1, -1, 3, 3, 1)",3
127,"(3, 3, -2, 2, 3, 1)",4
128,"(2, 1, -1, 3, 3, 1)",9
129,"(3, 2, -2, 2, 3, 1)",5
130,"(3, 3, -2, 2, 3, 2)",1
131,"(2, 1, -1, 3, 3, 2)",7
132,"(3, 3, -2, 3, 3, 1)",3
133,"(3, 2, -2, 3, 3, 2)",1
134,"(2, 1, -2, 2, 3, 2)",1
135,"(3, 2, -1, 3, 3, 1)",12
136,"(3, 1, -1, 3, 3, 3)",7
137,"(2, 2, -1, 3, 3, 1)",1
138,"(2, 2, -2, 3, 3, 1)",2
139,"(3, 3, -1, 3, 3, 1)",8
140,"(2, 2, -2, 2, 3, 1)",3
141,"(2, 1, -2, 2, 3, 2)",1
142,"(3, 2, -1, 3, 3, 1)",15
143,"(3, 2, -2, 2, 3, 2)",1
144,"(3, 1, -1, 3, 2, 2)",2
145,"(3, 2, -1, 3, 3, 3)",3
146,"(2, 1, -1, 3, 3, 2)",4
147,"(3, 3, -1, 3, 3, 1)",10
148,"(2, 2, -1, 3, 3, 1)",4
149,"(3, 1, -1, 3, 2, 1)",1
150,"(3, 2, -1, 3, 3, 2)",4
151,"(3, 1, -1, 3, 3, 1)",1
152,"(3, 3, -2, 2, 3, 1)",6
153,"(2, 1, -1, 3, 3, 1)",9
154,"(3, 2, -2, 3, 3, 1)",1
155,"(3, 3, -2, 3, 3, 1)",2
156,"(2, 2, -2, 2, 3, 1)",6
157,"(3, 1, -1, 3, 3, 2)",6
158,"(3, 2, -1, 3, 2, 1)",4
159,"(2, 2, -2, 3, 3, 1)",2
160,"(3, 2, -2, 2, 3, 1)",4
161,"(3, 1, -1, 3, 3, 3)",4
162,"(3, 2, -1, 3, 2, 2)",1
163,"(3, 2, -1, 3, 3, 2)",6
164,"(3, 1, -1, 3, 3, 2)",17
165,"(3, 2, -2, 2, 3, 2)",2
166,"(3, 2, -1, 3, 2, 1)",4
