,0
"(3, 2, -1, 3, 3, 2)",10
"(3, 1, -1, 3, 3, 2)",8
"(2, 1, -2, 2, 3, 1)",1
"(3, 2, -2, 2, 3, 2)",1
"(3, 2, -1, 3, 2, 1)",9
"(3, 2, -1, 3, 3, 3)",2
"(3, 1, -1, 3, 3, 1)",1
"(3, 3, -2, 2, 3, 1)",5
"(2, 1, -1, 3, 3, 1)",7
"(3, 2, -2, 2, 3, 1)",2
"(3, 3, -2, 2, 3, 2)",1
"(2, 1, -1, 3, 3, 2)",5
"(3, 3, -1, 3, 3, 1)",8
"(3, 2, -2, 3, 3, 1)",1
"(3, 2, -1, 3, 3, 1)",11
"(3, 1, -1, 3, 3, 3)",9
"(2, 2, -2, 2, 3, 1)",3
"(2, 2, -1, 3, 3, 1)",7
"(3, 1, -1, 3, 2, 1)",1
"(3, 3, -2, 3, 3, 1)",3
"(3, 1, -1, 3, 2, 2)",2
