,patterns,count
0,"(1, 3, 2, 2, 3, 1)",1
1,"(2, 3, 2, 1, 3, 2)",2
2,"(-1, 3, 3, 3, 3, 2)",2
3,"(2, 3, 1, 1, 3, 2)",7
4,"(2, 3, 3, 3, 2, 1)",5
5,"(2, 3, 2, 3, 3, 1)",2
6,"(2, 3, 3, 2, 2, 3)",4
7,"(2, 3, 2, 3, 2, 1)",1
8,"(2, 3, 1, 2, 3, 1)",2
9,"(1, 3, 3, 3, 3, 2)",1
10,"(3, 3, 1, 2, 3, 1)",1
11,"(2, 3, 3, 1, 3, 3)",8
12,"(1, 3, 1, 1, 3, 1)",2
13,"(-1, 3, 3, 2, 3, 2)",1
14,"(1, 3, 3, 1, 3, 3)",5
15,"(2, 3, -1, 2, 3, 1)",1
16,"(-1, 3, 2, 2, 3, 1)",1
17,"(3, 3, -1, 2, 3, 1)",4
18,"(3, 3, 1, 3, 3, 1)",8
19,"(2, 3, 2, 2, 2, 2)",1
20,"(2, 3, 3, 3, 2, 2)",1
21,"(1, 3, 2, 2, 3, 2)",2
22,"(1, 3, 1, 2, 3, 1)",1
23,"(1, 3, 3, 3, 3, 1)",7
24,"(2, 3, 1, 3, 3, 1)",1
25,"(3, 3, -1, 3, 3, 1)",2
26,"(1, 3, 2, 1, 3, 2)",3
27,"(2, 3, 2, 2, 2, 1)",4
28,"(3, 3, 2, 3, 2, 1)",3
29,"(2, 3, 2, 1, 3, 3)",4
30,"(-1, 3, 3, 3, 3, 1)",1
31,"(2, 3, 1, 1, 3, 1)",2
32,"(1, 3, 2, 1, 3, 3)",2
33,"(1, 3, 3, 2, 2, 3)",1
34,"(2, 3, -1, 1, 3, 1)",3
35,"(1, 3, 1, 1, 3, 2)",2
36,"(2, 3, 3, 2, 2, 2)",2
37,"(-1, 3, 3, 1, 3, 3)",2
38,"(1, 3, 2, 2, 3, 1)",1
39,"(2, 3, 2, 1, 3, 2)",2
40,"(-1, 3, 3, 3, 3, 2)",1
41,"(2, 3, 1, 1, 3, 2)",7
42,"(2, 3, 3, 3, 2, 1)",4
43,"(2, 3, 2, 3, 3, 1)",3
44,"(2, 3, 2, 3, 2, 1)",1
45,"(-1, 3, 3, 2, 3, 3)",3
46,"(-1, 3, 3, 3, 3, 1)",2
47,"(1, 3, 3, 3, 3, 2)",3
48,"(2, 3, 1, 2, 3, 1)",8
49,"(2, 3, 1, 1, 3, 3)",1
50,"(3, 3, 1, 2, 3, 1)",1
51,"(2, 3, 3, 1, 3, 3)",5
52,"(-1, 3, 3, 2, 3, 2)",2
53,"(1, 3, 3, 1, 3, 3)",3
54,"(2, 3, 1, 3, 3, 1)",1
55,"(3, 3, 3, 3, 2, 1)",2
56,"(1, 3, 3, 2, 3, 2)",1
57,"(3, 3, -1, 2, 3, 1)",2
58,"(3, 3, 1, 3, 3, 1)",2
59,"(2, 3, -1, 2, 3, 1)",3
60,"(2, 3, 3, 3, 2, 2)",1
61,"(1, 3, 2, 2, 3, 2)",1
62,"(1, 3, 3, 3, 3, 1)",5
63,"(-1, 3, 2, 2, 3, 2)",1
64,"(3, 3, -1, 3, 3, 1)",7
65,"(1, 3, 2, 1, 3, 2)",2
66,"(1, 3, 2, 3, 3, 1)",1
67,"(2, 3, 2, 2, 2, 1)",3
68,"(3, 3, 2, 3, 2, 1)",3
69,"(1, 3, 3, 2, 3, 3)",1
70,"(2, 3, 2, 1, 3, 3)",4
71,"(2, 3, 2, 2, 3, 1)",3
72,"(1, 3, 2, 1, 3, 3)",3
73,"(2, 3, 2, 2, 2, 2)",1
74,"(1, 3, 1, 1, 3, 2)",3
75,"(2, 3, 3, 2, 2, 2)",1
76,"(1, 3, 2, 2, 3, 1)",2
77,"(2, 3, 2, 1, 3, 2)",2
78,"(-1, 3, 3, 3, 3, 2)",2
79,"(2, 3, 1, 1, 3, 2)",3
80,"(2, 3, 3, 3, 2, 1)",7
81,"(2, 3, 2, 3, 3, 1)",1
82,"(2, 3, -1, 2, 3, 1)",3
83,"(-1, 3, 3, 3, 3, 1)",2
84,"(2, 3, 1, 2, 3, 1)",3
85,"(2, 3, 3, 1, 3, 3)",4
86,"(1, 3, 1, 1, 3, 1)",5
87,"(-1, 3, 3, 2, 3, 2)",1
88,"(1, 3, 3, 1, 3, 3)",3
89,"(3, 3, 3, 3, 2, 1)",2
90,"(-1, 3, 2, 2, 3, 1)",1
91,"(-1, 3, 3, 2, 3, 3)",3
92,"(3, 3, -1, 2, 3, 1)",5
93,"(3, 3, 1, 3, 3, 1)",8
94,"(2, 3, 2, 2, 2, 2)",2
95,"(1, 3, 3, 2, 3, 2)",2
96,"(1, 3, 2, 2, 3, 2)",1
97,"(1, 3, 1, 2, 3, 1)",2
98,"(1, 3, 3, 3, 3, 1)",6
99,"(-1, 3, 2, 2, 3, 2)",1
100,"(3, 3, -1, 3, 3, 1)",5
101,"(1, 3, 2, 3, 3, 1)",2
102,"(2, 3, 2, 2, 2, 1)",1
103,"(3, 3, 2, 3, 2, 1)",1
104,"(1, 3, 3, 2, 3, 3)",3
105,"(2, 3, 2, 1, 3, 3)",2
106,"(2, 3, 2, 2, 3, 1)",1
107,"(3, 3, 2, 3, 3, 1)",2
108,"(1, 3, 2, 1, 3, 3)",1
109,"(2, 3, 3, 2, 2, 3)",3
110,"(1, 3, 1, 1, 3, 2)",3
111,"(2, 3, 3, 2, 2, 2)",4
112,"(-1, 3, 3, 1, 3, 3)",2
113,"(2, 3, 2, 1, 3, 2)",3
114,"(-1, 3, 3, 3, 3, 2)",2
115,"(2, 3, 1, 1, 3, 2)",3
116,"(2, 3, 3, 3, 2, 1)",3
117,"(2, 3, 2, 3, 3, 1)",1
118,"(2, 3, 3, 2, 2, 3)",3
119,"(1, 3, 3, 3, 2, 2)",1
120,"(2, 3, 3, 3, 3, 1)",1
121,"(2, 3, 2, 3, 2, 1)",1
122,"(-1, 3, 3, 2, 3, 3)",3
123,"(2, 3, 2, 2, 3, 1)",1
124,"(2, 3, 1, 2, 3, 1)",1
125,"(1, 3, 3, 3, 3, 2)",1
126,"(3, 3, 1, 2, 3, 1)",3
127,"(2, 3, 3, 1, 3, 3)",5
128,"(1, 3, 1, 1, 3, 1)",3
129,"(-1, 3, 3, 2, 3, 2)",1
130,"(1, 3, 3, 1, 3, 3)",5
131,"(3, 3, 3, 3, 2, 1)",1
132,"(-1, 3, 2, 2, 3, 1)",2
133,"(1, 3, 3, 2, 3, 2)",2
134,"(2, 3, 2, 2, 2, 2)",1
135,"(3, 3, 1, 3, 3, 1)",14
136,"(2, 3, -1, 2, 3, 1)",1
137,"(2, 3, 3, 3, 2, 2)",1
138,"(1, 3, 2, 2, 3, 2)",2
139,"(1, 3, 1, 2, 3, 1)",1
140,"(1, 3, 3, 3, 3, 1)",3
141,"(-1, 3, 2, 1, 3, 2)",1
142,"(3, 3, -1, 3, 3, 1)",6
143,"(1, 3, 2, 3, 3, 1)",1
144,"(3, 3, 2, 3, 2, 1)",4
145,"(1, 3, 3, 2, 3, 3)",5
146,"(2, 3, 2, 1, 3, 3)",2
147,"(-1, 3, 3, 3, 3, 1)",1
148,"(1, 3, 2, 1, 3, 3)",2
149,"(2, 3, -1, 1, 3, 1)",2
150,"(1, 3, 1, 1, 3, 2)",5
151,"(-1, 3, 3, 1, 3, 3)",2
152,"(1, 3, 2, 2, 3, 1)",3
153,"(2, 3, 2, 1, 3, 2)",3
154,"(-1, 3, 3, 3, 3, 2)",2
155,"(2, 3, 1, 1, 3, 2)",3
156,"(2, 3, 3, 3, 2, 1)",2
157,"(2, 3, 2, 3, 3, 1)",4
158,"(2, 3, 3, 2, 2, 3)",1
159,"(2, 3, 3, 3, 3, 1)",1
160,"(-1, 3, 3, 3, 3, 1)",1
161,"(2, 3, 1, 2, 3, 1)",3
162,"(1, 3, 3, 3, 3, 2)",1
163,"(2, 3, 3, 1, 3, 3)",5
164,"(1, 3, 1, 1, 3, 1)",2
165,"(-1, 3, 3, 2, 3, 2)",1
166,"(1, 3, 3, 1, 3, 3)",1
167,"(3, 3, 3, 3, 2, 1)",1
168,"(-1, 3, 2, 2, 3, 1)",1
169,"(-1, 3, 3, 2, 3, 3)",3
170,"(2, 3, -1, 2, 3, 1)",1
171,"(3, 3, 1, 3, 3, 1)",5
172,"(2, 3, 2, 2, 2, 2)",1
173,"(1, 3, 3, 1, 3, 2)",1
174,"(1, 3, 1, 2, 3, 1)",3
175,"(1, 3, 3, 3, 3, 1)",3
176,"(-1, 3, 2, 1, 3, 2)",4
177,"(-1, 3, 2, 2, 3, 2)",1
178,"(3, 3, -1, 3, 3, 1)",5
179,"(1, 3, 2, 1, 3, 2)",3
180,"(1, 3, 2, 3, 3, 1)",1
181,"(3, 3, 2, 3, 2, 1)",9
182,"(2, 3, 2, 1, 3, 3)",5
183,"(2, 3, 2, 2, 3, 1)",1
184,"(2, 3, 1, 1, 3, 1)",2
185,"(2, 3, 3, 3, 2, 2)",3
186,"(2, 3, -1, 1, 3, 1)",2
187,"(1, 3, 1, 1, 3, 2)",6
188,"(2, 3, 3, 2, 2, 2)",4
189,"(1, 3, 2, 2, 3, 1)",5
190,"(2, 3, 2, 1, 3, 2)",1
191,"(-1, 3, 3, 3, 3, 2)",1
192,"(2, 3, 1, 1, 3, 2)",2
193,"(2, 3, 3, 3, 2, 1)",8
194,"(2, 3, 2, 3, 3, 1)",5
195,"(2, 3, -1, 2, 3, 1)",2
196,"(1, 3, 3, 3, 2, 2)",2
197,"(2, 3, 3, 3, 3, 1)",1
198,"(2, 3, 2, 3, 2, 1)",1
199,"(2, 3, 1, 2, 3, 1)",7
200,"(3, 3, 1, 2, 3, 1)",2
201,"(2, 3, 3, 1, 3, 3)",4
202,"(1, 3, 3, 1, 3, 3)",4
203,"(2, 3, 1, 3, 3, 1)",2
204,"(3, 3, 3, 3, 2, 1)",1
205,"(1, 3, 3, 2, 3, 2)",2
206,"(3, 3, -1, 2, 3, 1)",3
207,"(3, 3, 1, 3, 3, 1)",7
208,"(2, 3, 2, 2, 2, 2)",2
209,"(2, 3, 3, 3, 2, 2)",2
210,"(1, 3, 2, 2, 3, 2)",1
211,"(1, 3, 3, 3, 3, 1)",6
212,"(-1, 3, 2, 2, 3, 2)",1
213,"(3, 3, -1, 3, 3, 1)",3
214,"(1, 3, 2, 1, 3, 2)",1
215,"(1, 3, 2, 3, 3, 1)",1
216,"(2, 3, 2, 2, 2, 1)",2
217,"(3, 3, 2, 3, 2, 1)",6
218,"(1, 3, 3, 2, 3, 3)",1
219,"(2, 3, 2, 1, 3, 3)",2
220,"(-1, 3, 3, 3, 3, 1)",3
221,"(3, 3, 2, 3, 3, 1)",1
222,"(2, 3, 1, 1, 3, 1)",1
223,"(1, 3, 2, 1, 3, 3)",2
224,"(2, 3, 3, 2, 2, 3)",2
225,"(1, 3, 1, 1, 3, 2)",1
226,"(2, 3, 3, 2, 2, 2)",2
227,"(-1, 3, 3, 1, 3, 3)",2
228,"(1, 3, 2, 2, 3, 1)",3
229,"(2, 3, 2, 1, 3, 2)",3
230,"(-1, 3, 3, 3, 3, 2)",3
231,"(2, 3, 1, 1, 3, 2)",4
232,"(2, 3, 3, 3, 2, 1)",3
233,"(2, 3, 2, 3, 3, 1)",1
234,"(2, 3, 3, 2, 2, 3)",2
235,"(2, 3, 3, 3, 3, 1)",2
236,"(2, 3, 2, 3, 2, 1)",1
237,"(2, 3, 1, 2, 3, 1)",2
238,"(3, 3, 1, 2, 3, 1)",2
239,"(2, 3, 3, 1, 3, 3)",2
240,"(1, 3, 1, 1, 3, 1)",3
241,"(-1, 3, 3, 2, 3, 2)",1
242,"(1, 3, 3, 1, 3, 3)",4
243,"(2, 3, 1, 3, 3, 1)",1
244,"(3, 3, 3, 3, 2, 1)",2
245,"(-1, 3, 3, 2, 3, 3)",2
246,"(3, 3, 1, 3, 3, 1)",6
247,"(2, 3, -1, 2, 3, 1)",4
248,"(1, 3, 3, 2, 3, 2)",1
249,"(1, 3, 2, 2, 3, 2)",2
250,"(1, 3, 1, 2, 3, 1)",4
251,"(1, 3, 3, 3, 3, 1)",2
252,"(3, 3, -1, 3, 3, 1)",3
253,"(1, 3, 2, 3, 3, 1)",1
254,"(2, 3, 2, 2, 2, 1)",2
255,"(3, 3, 2, 3, 2, 1)",4
256,"(3, 3, 2, 2, 2, 1)",1
257,"(1, 3, 3, 2, 3, 3)",1
258,"(2, 3, 2, 1, 3, 3)",4
259,"(-1, 3, 3, 3, 3, 1)",4
260,"(3, 3, 2, 3, 3, 1)",1
261,"(2, 3, 1, 1, 3, 1)",2
262,"(1, 3, 2, 1, 3, 3)",1
263,"(2, 3, -1, 1, 3, 1)",2
264,"(1, 3, 1, 1, 3, 2)",7
265,"(2, 3, 3, 2, 2, 2)",5
266,"(-1, 3, 3, 1, 3, 3)",2
267,"(1, 3, 2, 2, 3, 1)",3
268,"(2, 3, 2, 1, 3, 2)",3
269,"(2, 3, 2, 2, 3, 2)",1
270,"(2, 3, 1, 1, 3, 2)",4
271,"(2, 3, 3, 3, 2, 1)",2
272,"(2, 3, 2, 3, 3, 1)",2
273,"(2, 3, 3, 2, 2, 3)",2
274,"(2, 3, 3, 3, 3, 1)",1
275,"(-1, 3, 3, 3, 3, 2)",1
276,"(2, 3, 1, 2, 3, 1)",2
277,"(2, 3, 1, 1, 3, 3)",1
278,"(3, 3, 1, 2, 3, 1)",4
279,"(2, 3, 3, 1, 3, 3)",6
280,"(1, 3, 1, 1, 3, 1)",1
281,"(1, 3, 3, 1, 3, 3)",3
282,"(2, 3, 1, 3, 3, 1)",2
283,"(3, 3, 3, 3, 2, 1)",3
284,"(3, 3, -1, 2, 3, 1)",1
285,"(3, 3, 1, 3, 3, 1)",12
286,"(2, 3, 2, 2, 2, 2)",2
287,"(1, 3, 3, 2, 3, 2)",2
288,"(1, 3, 2, 2, 3, 2)",2
289,"(1, 3, 1, 2, 3, 1)",2
290,"(1, 3, 3, 3, 3, 1)",7
291,"(-1, 3, 2, 2, 3, 2)",1
292,"(3, 3, -1, 3, 3, 1)",6
293,"(1, 3, 3, 3, 3, 2)",1
294,"(2, 3, 2, 2, 2, 1)",1
295,"(3, 3, 2, 3, 2, 1)",4
296,"(1, 3, 3, 2, 3, 3)",3
297,"(2, 3, 2, 1, 3, 3)",4
298,"(2, 3, 1, 1, 3, 1)",2
299,"(2, 3, 3, 3, 2, 2)",6
300,"(2, 3, 3, 2, 2, 2)",1
301,"(-1, 3, 3, 1, 3, 3)",3
302,"(1, 3, 2, 2, 3, 1)",1
303,"(2, 3, 2, 1, 3, 2)",2
304,"(-1, 3, 3, 3, 3, 2)",4
305,"(2, 3, 1, 1, 3, 2)",3
306,"(2, 3, 3, 3, 2, 1)",1
307,"(2, 3, 2, 3, 3, 1)",2
308,"(2, 3, 3, 2, 2, 3)",3
309,"(2, 3, 3, 3, 3, 1)",1
310,"(-1, 3, 3, 3, 3, 1)",2
311,"(2, 3, 1, 2, 3, 1)",3
312,"(3, 3, 1, 2, 3, 1)",1
313,"(2, 3, 3, 1, 3, 3)",11
314,"(1, 3, 1, 1, 3, 1)",3
315,"(-1, 3, 3, 2, 3, 2)",2
316,"(1, 3, 3, 1, 3, 3)",1
317,"(2, 3, 1, 3, 3, 1)",1
318,"(3, 3, 3, 3, 2, 1)",2
319,"(-1, 3, 2, 2, 3, 1)",2
320,"(-1, 3, 3, 2, 3, 3)",1
321,"(3, 3, -1, 2, 3, 1)",2
322,"(3, 3, 1, 3, 3, 1)",6
323,"(2, 3, -1, 2, 3, 1)",4
324,"(1, 3, 2, 2, 3, 2)",1
325,"(1, 3, 1, 2, 3, 1)",3
326,"(1, 3, 2, 3, 3, 1)",1
327,"(1, 3, 3, 3, 3, 1)",4
328,"(3, 3, -1, 3, 3, 1)",3
329,"(2, 3, -1, 1, 3, 2)",1
330,"(2, 3, 2, 2, 2, 1)",2
331,"(3, 3, 2, 3, 2, 1)",1
332,"(1, 3, 3, 2, 3, 3)",2
333,"(2, 3, 2, 1, 3, 3)",5
334,"(2, 3, 2, 2, 3, 1)",1
335,"(3, 3, 2, 3, 3, 1)",1
336,"(2, 3, 1, 1, 3, 1)",2
337,"(1, 3, 2, 1, 3, 3)",1
338,"(2, 3, 2, 2, 2, 2)",2
339,"(2, 3, -1, 1, 3, 1)",1
340,"(1, 3, 1, 1, 3, 2)",4
341,"(2, 3, 3, 2, 2, 2)",4
342,"(1, 3, 2, 2, 3, 1)",1
343,"(2, 3, 2, 1, 3, 2)",4
344,"(-1, 3, 3, 3, 3, 2)",3
345,"(2, 3, 1, 1, 3, 2)",5
346,"(2, 3, 3, 3, 2, 1)",3
347,"(2, 3, 2, 3, 3, 1)",2
348,"(1, 3, 3, 2, 2, 2)",1
349,"(2, 3, 3, 2, 2, 3)",2
350,"(2, 3, 3, 3, 3, 1)",1
351,"(2, 3, 1, 2, 3, 1)",3
352,"(2, 3, 1, 1, 3, 3)",1
353,"(3, 3, 1, 2, 3, 1)",1
354,"(2, 3, 3, 1, 3, 3)",5
355,"(1, 3, 1, 1, 3, 1)",3
356,"(1, 3, 3, 1, 3, 3)",4
357,"(2, 3, -1, 2, 3, 1)",3
358,"(3, 3, 3, 3, 2, 1)",4
359,"(-1, 3, 2, 2, 3, 1)",1
360,"(3, 3, -1, 2, 3, 1)",4
361,"(3, 3, 1, 3, 3, 1)",8
362,"(2, 3, 2, 2, 2, 2)",1
363,"(1, 3, 3, 2, 3, 2)",2
364,"(1, 3, 2, 2, 3, 2)",2
365,"(1, 3, 1, 2, 3, 1)",3
366,"(1, 3, 3, 3, 3, 1)",4
367,"(-1, 3, 2, 1, 3, 2)",1
368,"(3, 3, -1, 3, 3, 1)",4
369,"(1, 3, 2, 1, 3, 2)",1
370,"(-1, 3, 1, 1, 3, 2)",1
371,"(1, 3, 2, 3, 3, 1)",1
372,"(2, 3, 2, 2, 2, 1)",1
373,"(3, 3, 2, 3, 2, 1)",7
374,"(1, 3, 3, 2, 3, 3)",2
375,"(2, 3, 2, 1, 3, 3)",1
376,"(-1, 3, 3, 3, 3, 1)",1
377,"(3, 3, 2, 3, 3, 1)",2
378,"(2, 3, 1, 1, 3, 1)",3
379,"(1, 3, -1, 1, 3, 1)",1
380,"(1, 3, 2, 1, 3, 3)",2
381,"(2, 3, 3, 2, 2, 2)",1
382,"(-1, 3, 3, 1, 3, 3)",2
383,"(1, 3, 2, 2, 3, 1)",1
384,"(-1, 3, 3, 3, 3, 2)",5
385,"(2, 3, 1, 1, 3, 2)",3
386,"(2, 3, 3, 3, 2, 1)",4
387,"(2, 3, 2, 3, 3, 1)",2
388,"(2, 3, -1, 2, 3, 1)",1
389,"(2, 3, 2, 3, 2, 1)",2
390,"(-1, 3, 3, 3, 3, 1)",2
391,"(2, 3, 1, 2, 3, 1)",3
392,"(1, 3, 3, 3, 3, 2)",5
393,"(3, 3, 1, 2, 3, 1)",4
394,"(2, 3, 3, 1, 3, 3)",4
395,"(1, 3, 3, 1, 3, 3)",6
396,"(3, 3, 3, 3, 2, 1)",2
