,patterns,count
0,"(1, -1, -1, 3, 1, -2)",2
1,"(2, 1, -1, 3, 2, -1)",1
2,"(2, 1, -2, 2, 2, -1)",2
3,"(1, 1, -2, 2, 3, -1)",3
4,"(-1, 1, -1, 3, 3, -2)",2
5,"(3, 3, -2, 2, 3, -1)",2
6,"(1, 1, -1, 3, 3, -1)",2
7,"(1, 2, -2, 2, 3, -1)",1
8,"(3, 1, -1, 3, 2, -1)",1
9,"(-2, -1, -1, 3, 3, -2)",8
10,"(1, 1, -1, 3, 2, -1)",1
11,"(3, 1, -1, 3, -1, -2)",4
12,"(-1, -1, -1, 3, 2, -2)",1
13,"(3, 2, -2, 2, -1, -2)",3
14,"(3, 2, -1, 3, -1, -2)",7
15,"(3, 2, -1, 3, 1, -1)",1
16,"(3, 3, -2, 2, 3, 1)",6
17,"(-1, -1, -1, 3, 1, -2)",1
18,"(3, 2, -2, 2, 1, -2)",1
19,"(2, 1, -1, 3, 1, -2)",1
20,"(2, 1, -2, 2, 1, -2)",3
21,"(2, -1, -2, 2, -1, -2)",1
22,"(-1, -1, -2, 2, 1, -2)",2
23,"(-1, 1, -2, 2, 3, -1)",1
24,"(-1, -1, -2, 3, 1, -2)",1
25,"(3, 2, -1, 3, 3, 1)",2
26,"(3, 2, -2, 2, 2, -1)",2
27,"(3, 3, -1, 3, 3, 1)",4
28,"(1, -1, -2, 2, -1, -2)",2
29,"(-1, 1, -1, 3, 3, -1)",1
30,"(3, 2, -1, 3, 2, 1)",1
31,"(-2, -1, -2, 2, 2, -2)",3
32,"(2, 2, -2, 2, 3, -1)",1
33,"(3, 2, -1, 3, 2, -1)",3
34,"(1, 2, -1, 3, 3, -1)",1
35,"(-2, -1, -2, 2, 3, -2)",8
36,"(2, 1, -1, 3, 2, -1)",2
37,"(2, 1, -2, 2, 2, -1)",1
38,"(-2, -1, -1, 3, 2, -2)",1
39,"(3, 3, -1, 3, 2, 1)",1
40,"(1, -1, -2, 2, 1, -2)",2
41,"(2, 1, -1, 3, 1, -1)",1
42,"(1, 1, -2, 2, 2, -1)",1
43,"(3, 3, -2, 2, 3, -1)",1
44,"(1, 1, -1, 3, 3, -1)",1
45,"(2, -1, -2, 2, 1, -2)",1
46,"(-2, -1, -1, 3, 3, -2)",8
47,"(-1, 1, -1, 3, 2, -2)",1
48,"(3, 1, -1, 3, -1, -2)",2
49,"(3, 1, -2, 2, -1, -2)",1
50,"(-1, -1, -1, 3, 2, -2)",2
51,"(3, 2, -2, 2, -1, -2)",4
52,"(3, 2, -1, 3, -1, -2)",3
53,"(3, 2, -1, 3, 1, -1)",1
54,"(3, 3, -2, 2, 2, -1)",1
55,"(2, 2, -1, 3, 3, 1)",2
56,"(3, 2, -2, 2, 1, -1)",2
57,"(2, 1, -1, 3, 1, -2)",2
58,"(2, -1, -1, 3, -1, -2)",3
59,"(3, 1, -1, 3, 1, -2)",1
60,"(3, 3, -2, 2, 3, 1)",7
61,"(2, -1, -2, 2, -1, -2)",1
62,"(-1, -1, -2, 2, 1, -2)",1
63,"(-1, 1, -2, 2, 3, -1)",1
64,"(-1, -1, -1, 3, 1, -2)",1
65,"(3, 2, -1, 3, 3, 1)",1
66,"(-1, 1, -2, 2, 2, -2)",1
67,"(-1, 1, -2, 2, 3, -2)",1
68,"(3, 3, -1, 3, 3, 1)",2
69,"(1, -1, -2, 2, -1, -2)",2
70,"(-1, 1, -1, 3, 3, -1)",2
71,"(1, -1, -1, 3, -1, -2)",2
72,"(3, 2, -1, 3, 2, 1)",1
73,"(-2, -1, -2, 2, 2, -2)",2
74,"(-2, -1, -2, 2, 3, -2)",7
75,"(2, 2, -2, 2, 3, -1)",3
76,"(1, 1, -2, 2, 3, -1)",1
77,"(2, 1, -1, 3, 2, -1)",2
78,"(2, 1, -2, 2, 2, -1)",1
79,"(1, 1, -2, 2, 2, -2)",2
80,"(1, 1, -1, 3, 3, -1)",1
81,"(-1, -1, -1, 3, 2, -2)",1
82,"(1, -1, -2, 2, 1, -2)",1
83,"(-2, 1, -1, 3, 3, -2)",1
84,"(-1, 1, -2, 3, 3, -1)",1
85,"(3, 3, -2, 2, 3, -1)",2
86,"(3, 2, -1, 3, 3, 1)",3
87,"(-1, 1, -2, 2, 3, -1)",1
88,"(-2, -1, -1, 3, 3, -2)",7
89,"(1, 1, -1, 3, 2, -2)",1
90,"(3, 1, -1, 3, -1, -2)",2
91,"(2, 1, -2, 3, -1, -2)",1
92,"(3, 1, -2, 2, -1, -2)",2
93,"(1, 1, -2, 2, 3, -1)",2
94,"(3, 2, -2, 2, -1, -2)",3
95,"(-2, -1, -2, 2, 2, -2)",1
96,"(3, 2, -2, 3, -1, -2)",1
97,"(3, 2, -1, 3, 1, -1)",3
98,"(3, 3, -2, 2, 2, -1)",1
99,"(-1, -1, -1, 3, 1, -2)",2
100,"(2, 2, -1, 3, 3, 1)",2
101,"(2, 1, -1, 3, 1, -1)",1
102,"(2, -1, -1, 3, -1, -2)",3
103,"(3, 3, -2, 2, 1, -2)",1
104,"(3, 1, -1, 3, 1, -1)",1
105,"(3, 3, -2, 2, 3, 1)",5
106,"(2, -1, -2, 2, -1, -2)",1
107,"(-1, -1, -2, 2, 1, -2)",1
108,"(1, 1, -1, 3, 2, -1)",1
109,"(-1, 1, -2, 2, 3, -2)",2
110,"(1, 1, -2, 2, 2, -1)",2
111,"(2, 2, -1, 3, 3, -1)",2
112,"(-1, 1, -2, 2, 2, -2)",1
113,"(-2, 1, -2, 2, 3, -2)",1
114,"(3, 3, -1, 3, 3, 1)",3
115,"(3, 1, -2, 3, -1, -2)",1
116,"(3, 2, -1, 3, 2, 1)",2
117,"(-2, -1, -1, 3, 2, -2)",1
118,"(-1, -1, -2, 2, 2, -2)",1
119,"(3, 2, -1, 3, 2, -1)",3
120,"(3, 2, -2, 2, 2, -1)",1
121,"(-1, 1, -1, 3, 3, -2)",1
122,"(-2, -1, -2, 2, 3, -2)",8
123,"(1, -1, -1, 3, 1, -2)",3
124,"(2, 1, -1, 3, 2, -1)",2
125,"(2, 2, -1, 3, 2, -1)",1
126,"(3, 3, -2, 2, 3, -1)",1
127,"(-2, -1, -1, 3, 3, -2)",3
128,"(1, 1, -1, 3, 2, -2)",2
129,"(3, 1, -1, 3, -1, -2)",6
130,"(3, 1, -2, 2, -1, -2)",3
131,"(-1, -1, -1, 3, 2, -2)",3
132,"(3, 2, -2, 2, -1, -2)",1
133,"(3, 2, -1, 3, -1, -2)",5
134,"(3, 2, -1, 3, 1, -1)",1
135,"(3, 3, -2, 2, 3, 1)",6
136,"(2, 2, -1, 3, 3, 1)",1
137,"(3, 2, -2, 2, 1, -2)",1
