,0
"(2, 1, -2, 2, 3, 2)",1
"(3, 2, -2, 3, 3, 1)",1
"(3, 2, -2, 2, 3, 2)",1
"(3, 1, -1, 3, 2, 2)",2
"(3, 2, -1, 3, 3, 3)",2
"(3, 3, -2, 2, 3, 2)",2
"(2, 1, -1, 3, 3, 2)",4
"(2, 2, -2, 3, 3, 1)",1
"(3, 1, -1, 3, 2, 1)",3
"(3, 2, -1, 3, 3, 2)",4
"(3, 1, -1, 3, 3, 1)",1
"(3, 3, -2, 2, 3, 1)",12
"(2, 1, -1, 3, 3, 1)",17
"(3, 2, -1, 3, 3, 1)",10
"(3, 3, -1, 3, 3, 1)",11
"(2, 2, -2, 2, 3, 1)",3
"(3, 1, -1, 3, 3, 2)",7
"(3, 2, -1, 3, 2, 1)",3
"(2, 2, -1, 3, 3, 1)",4
"(3, 2, -2, 2, 3, 1)",3
"(3, 1, -1, 3, 3, 3)",4
"(3, 2, -1, 3, 2, 2)",1
