,patterns,count
0,"(3, 3, 1, 3, 3, 1)",32
1,"(3, 3, -1, 3, 3, 1)",9
2,"(3, 3, -2, 3, 3, 1)",12
3,"(3, 3, 1, 3, 3, 1)",23
4,"(3, 3, -2, 3, 3, 1)",18
5,"(3, 3, -1, 3, 3, 1)",14
6,"(3, 3, 1, 3, 3, 1)",28
7,"(3, 3, -2, 3, 3, 1)",14
8,"(3, 3, -1, 3, 3, 1)",11
9,"(3, 3, 1, 3, 3, 1)",28
10,"(3, 3, -2, 3, 3, 1)",15
11,"(3, 3, -1, 3, 3, 1)",17
12,"(3, 3, 1, 3, 3, 1)",26
13,"(3, 3, -2, 3, 3, 1)",15
14,"(3, 3, -1, 3, 3, 1)",18
15,"(3, 3, 1, 3, 3, 1)",19
16,"(3, 3, -1, 3, 3, 1)",10
17,"(3, 3, -2, 3, 3, 1)",13
18,"(3, 3, 1, 3, 3, 1)",35
19,"(3, 3, -2, 3, 3, 1)",11
20,"(3, 3, -1, 3, 3, 1)",8
21,"(3, 3, 1, 3, 3, 1)",30
22,"(3, 3, -1, 3, 3, 1)",12
23,"(3, 3, -2, 3, 3, 1)",10
24,"(3, 3, 1, 3, 3, 1)",27
25,"(3, 3, -2, 3, 3, 1)",14
26,"(3, 3, -1, 3, 3, 1)",16
27,"(3, 3, 1, 3, 3, 1)",27
28,"(3, 3, -1, 3, 3, 1)",9
29,"(3, 3, -2, 3, 3, 1)",22
30,"(3, 3, 1, 3, 3, 1)",34
31,"(3, 3, -1, 3, 3, 1)",10
32,"(3, 3, -2, 3, 3, 1)",14
33,"(3, 3, 1, 3, 3, 1)",23
34,"(3, 3, -1, 3, 3, 1)",11
35,"(3, 3, -2, 3, 3, 1)",20
36,"(3, 3, 1, 3, 3, 1)",27
37,"(3, 3, -1, 3, 3, 1)",12
38,"(3, 3, -2, 3, 3, 1)",13
39,"(3, 3, 1, 3, 3, 1)",27
40,"(3, 3, -1, 3, 3, 1)",12
41,"(3, 3, -2, 3, 3, 1)",19
42,"(3, 3, 1, 3, 3, 1)",31
43,"(3, 3, -1, 3, 3, 1)",15
44,"(3, 3, -2, 3, 3, 1)",18
45,"(3, 3, 1, 3, 3, 1)",28
46,"(3, 3, -2, 3, 3, 1)",13
47,"(3, 3, -1, 3, 3, 1)",10
48,"(3, 3, 1, 3, 3, 1)",34
49,"(3, 3, -2, 3, 3, 1)",16
50,"(3, 3, -1, 3, 3, 1)",14
51,"(3, 3, 1, 3, 3, 1)",28
52,"(3, 3, -1, 3, 3, 1)",16
53,"(3, 3, -2, 3, 3, 1)",20
54,"(3, 3, 1, 3, 3, 1)",31
55,"(3, 3, -1, 3, 3, 1)",15
56,"(3, 3, -2, 3, 3, 1)",12
57,"(3, 3, 1, 3, 3, 1)",24
58,"(3, 3, -1, 3, 3, 1)",11
59,"(3, 3, -2, 3, 3, 1)",20
60,"(3, 3, 1, 3, 3, 1)",27
61,"(3, 3, -2, 3, 3, 1)",13
62,"(3, 3, -1, 3, 3, 1)",12
63,"(3, 3, 1, 3, 3, 1)",29
64,"(3, 3, -2, 3, 3, 1)",10
65,"(3, 3, -1, 3, 3, 1)",14
66,"(3, 3, 1, 3, 3, 1)",24
67,"(3, 3, -1, 3, 3, 1)",9
68,"(3, 3, -2, 3, 3, 1)",20
69,"(3, 3, 1, 3, 3, 1)",31
70,"(3, 3, -2, 3, 3, 1)",18
71,"(3, 3, -1, 3, 3, 1)",13
72,"(3, 3, 1, 3, 3, 1)",29
73,"(3, 3, -2, 3, 3, 1)",19
74,"(3, 3, -1, 3, 3, 1)",9
75,"(3, 3, 1, 3, 3, 1)",22
76,"(3, 3, -1, 3, 3, 1)",8
77,"(3, 3, -2, 3, 3, 1)",25
78,"(3, 3, 1, 3, 3, 1)",30
79,"(3, 3, -2, 3, 3, 1)",12
80,"(3, 3, -1, 3, 3, 1)",13
81,"(3, 3, 1, 3, 3, 1)",32
82,"(3, 3, -2, 3, 3, 1)",18
83,"(3, 3, -1, 3, 3, 1)",17
84,"(3, 3, 1, 3, 3, 1)",36
85,"(3, 3, -1, 3, 3, 1)",7
86,"(3, 3, -2, 3, 3, 1)",18
87,"(3, 3, 1, 3, 3, 1)",25
88,"(3, 3, -1, 3, 3, 1)",13
89,"(3, 3, -2, 3, 3, 1)",16
90,"(3, 3, 1, 3, 3, 1)",33
