	all	dKd	Keq	Km	kcat
0	-0.0	0.331726313315	0.098198588999	0.279428599154	0.325747378473
1	-0.0	0.338695740983	0.112623755598	0.282332920482	0.308113443229
2	-0.0	0.334360909634	0.107295438642	0.271172027188	0.350180449198
3	-0.0	0.322552386497	0.108862387141	0.252157495648	0.319157897263
4	-0.0	0.330785971201	0.11063472643	0.26337845968	0.328475189804
5	-0.0	0.323293231352	0.110133073803	0.26795404795	0.325747378473
6	-0.0	0.328998501984	0.0868387743017	0.28512080255	0.341423552314
7	-0.0	0.318777950805	0.102426428666	0.275710294998	0.334740856092
8	-0.0	0.328091304144	0.108862387141	0.249869701513	0.323756472796
9	-0.0	0.334740856092	0.105429997173	0.259307372515	0.331666242578
10	-0.0	0.325043617093	0.100150223948	0.277354398491	0.336908271767
11	-0.0	0.337468667423	0.109886689918	0.251096775073	0.351967918415
12	-0.0	0.336908271767	0.106150684227	0.273362430125	0.336384959586
13	-0.0	0.32490025137	0.109886689918	0.264582545978	0.350740844855
14	-0.0	0.347309272145	0.11017022078	0.267773598752	0.347309272145
15	-0.0	0.335444617472	0.102426428666	0.27948473069	0.342270679416
16	-0.0	0.318597501606	0.105977890873	0.242619677652	0.345521802928
17	-0.0	0.336384959586	0.111228503346	0.264119304534	0.336384959586
18	-0.0	0.302431159858	0.104421190988	0.269301262986	0.336945355242
19	-0.0	0.294461319339	0.10830759634	0.277294327753	0.33977944882
20	-0.0	0.326127324931	0.106150684227	0.26179466391	0.342270679416
21	-0.0	0.334597490369	0.101857633574	0.236385688185	0.350740844855
22	-0.0	0.32560401275	0.103063200535	0.253718304156	0.325983959208
23	-0.0	0.33977944882	0.10545707986	0.261618153912	0.341186971579
24	-0.0	0.33046215628	0.105429997173	0.259687318973	0.343354387254
25	-0.0	0.327771428424	0.101163114424	0.258279796214	0.322909345693
26	-0.0	0.335301251748	0.104421190988	0.254301924061	0.330499239755
27	-0.0	0.333513782532	0.11017022078	0.263141878945	0.315203012372
28	-0.0	0.334740856092	0.0904221104853	0.269764504429	0.327771428424
29	-0.0	0.318921316528	0.111080440402	0.270435121535	0.351824552692
30	-0.0	0.315346378095	0.100150223948	0.28148973258	0.322552386497
31	-0.0	0.33148973258	0.102224652798	0.253816186968	0.360961396034
32	-0.0	0.332573440418	0.104059854115	0.266513380918	0.317310357309
33	-0.0	0.317370428046	0.104059854115	0.258427101138	0.318074189425
34	-0.0	0.325460647027	0.10333563871	0.257376537575	0.327711357687
35	-0.0	0.316143354486	0.11017022078	0.233813581214	0.350740844855
36	-0.0	0.342650625874	0.104934428714	0.289659307345	0.331869679038
37	-0.0	0.342270679416	0.104059854115	0.261150973268	0.357006511143
38	-0.0	0.304922390454	0.0890199328583	0.261211044005	0.327248116243
39	-0.0	0.319157897263	0.100546225685	0.260270701891	0.335157886025
40	-0.0	0.330406024743	0.100150223948	0.269208047974	0.321792493582
41	-0.0	0.336384959586	0.107627706136	0.285764493192	0.351264157036
42	-0.0	0.33977944882	0.104237417462	0.24589182936	0.334740856092
43	-0.0	0.334360909634	0.107575005858	0.272315805763	0.332573440418
44	-0.0	0.354135334089	0.113604091412	0.260924312559	0.325983959208
45	-0.0	0.328855136261	0.0907270107059	0.263938855336	0.322732835696
46	-0.0	0.346082198584	0.10830759634	0.240996602355	0.336384959586
47	-0.0	0.3202416051	0.10248131057	0.265986129535	0.358090218981
48	-0.0	0.32833182408	0.104059854115	0.250930422088	0.348392979982
49	-0.0	0.323816543533	0.100546225685	0.251129919347	0.330499239755
50	-0.0	0.323816543533	0.109139526576	0.274446137962	0.333453711794
51	-0.0	0.330785971201	0.104580747685	0.250930422088	0.328855136261
52	-0.0	0.322348950037	0.0959893605263	0.253911820591	0.357006511143
53	-0.0	0.333513782532	0.0913945678966	0.254741941256	0.315763408028
54	-0.0	0.316753900854	0.104862933693	0.264642616715	0.320945366479
55	-0.0	0.332573440418	0.100546225685	0.266689890915	0.327771428424
56	-0.0	0.325747378473	0.0965130243529	0.256695763458	0.332370003957
57	-0.0	0.324196489991	0.104421190988	0.261618153912	0.342270679416
58	-0.0	0.332573440418	0.0996484372041	0.267420578758	0.328998501984
59	-0.0	0.306946440406	0.107295438642	0.247615288638	0.32490025137
60	-0.0	0.316847115865	0.0892423282149	0.244855853623	0.351967918415
61	-0.0	0.34321102153	0.104421190988	0.267920903676	0.320708785745
62	-0.0	0.331869679038	0.100150223948	0.272816130681	0.33977944882
63	-0.0	0.312095254583	0.108862387141	0.255792504819	0.32833182408
64	-0.0	0.343354387254	0.104237417462	0.256732846933	0.341566918037
65	-0.0	0.325747378473	0.10830759634	0.253060754287	0.341566918037
66	-0.0	0.347869667801	0.10273084598	0.266716817378	0.324339855714
67	-0.0	0.313558908878	0.0954528021228	0.253051626252	0.354839095469
68	-0.0	0.310104348906	0.105429997173	0.26077102681	0.351264157036
69	-0.0	0.32592388847	0.0987888812122	0.267096763836	0.348013033524
70	-0.0	0.299906784988	0.100150223948	0.241343404539	0.338112358065
71	-0.0	0.329378448442	0.111080440402	0.256355096527	0.320885295742
72	-0.0	0.316286720209	0.107295438642	0.276530495636	0.326544354864
73	-0.0	0.331165917659	0.107295438642	0.250209571714	0.325983959208
74	-0.0	0.323816543533	0.0993508289463	0.27482608442	0.329415531918
