,0
"(3, 2, -1, 3, 3, 2)",6
"(3, 1, -1, 3, 3, 2)",11
"(2, 1, -2, 2, 3, 1)",1
"(3, 2, -2, 2, 3, 2)",3
"(3, 1, -1, 3, 2, 2)",1
"(3, 2, -1, 3, 3, 3)",2
"(3, 1, -1, 3, 3, 1)",1
"(3, 3, -2, 2, 3, 1)",4
"(2, 1, -2, 2, 3, 2)",1
"(2, 1, -1, 3, 3, 1)",13
"(3, 2, -2, 2, 3, 1)",5
"(3, 2, -1, 3, 2, 1)",1
"(2, 1, -1, 3, 3, 2)",5
"(3, 3, -2, 3, 3, 1)",2
"(2, 2, -2, 3, 3, 1)",1
"(3, 2, -1, 3, 3, 1)",13
"(3, 1, -1, 3, 3, 3)",7
"(2, 2, -1, 3, 3, 1)",5
"(3, 1, -1, 3, 2, 1)",1
"(3, 3, -1, 3, 3, 1)",8
"(2, 2, -2, 2, 3, 1)",1
