,0
"(3, 2, -1, 3, 3, 2)",6
"(3, 1, -1, 3, 3, 2)",8
"(3, 1, -1, 3, 2, 2)",2
"(3, 2, -1, 3, 2, 1)",3
"(3, 1, -1, 3, 3, 1)",2
"(3, 3, -2, 2, 3, 1)",8
"(2, 2, -2, 2, 3, 2)",1
"(2, 1, -2, 3, 3, 2)",1
"(2, 1, -1, 3, 3, 1)",7
"(3, 2, -2, 2, 3, 1)",2
"(3, 3, -2, 2, 3, 2)",1
"(3, 2, -2, 2, 3, 2)",1
"(2, 1, -1, 3, 3, 2)",4
"(3, 3, -2, 3, 3, 1)",1
"(3, 2, -2, 3, 3, 1)",2
"(3, 2, -1, 3, 3, 1)",19
"(3, 1, -1, 3, 3, 3)",4
"(2, 2, -1, 3, 3, 1)",10
"(3, 1, -1, 3, 2, 1)",2
"(3, 3, -1, 3, 3, 1)",10
"(2, 2, -2, 2, 3, 1)",5
