	ENO	ENO&2pg	ENO&pep
0	2.95707245202e-08	1.33666731425e-14	1.92704292621e-05
1	2.95720639551e-08	1.33666731426e-14	1.92704279227e-05
2	2.95791504026e-08	1.33666730779e-14	1.92704208362e-05
3	2.95730721016e-08	1.33666731428e-14	1.92704269146e-05
4	2.95690052901e-08	1.33666731438e-14	1.92704309814e-05
5	2.95705553531e-08	1.33666731431e-14	1.92704294313e-05
6	2.95694883108e-08	1.3366673142e-14	1.92704304983e-05
7	2.96362231341e-08	1.33666729947e-14	1.92703637635e-05
8	2.96146230129e-08	1.33666719595e-14	1.92703853636e-05
9	2.95694114823e-08	1.33666731421e-14	1.92704305752e-05
10	2.95696801787e-08	1.33666731194e-14	1.92704303065e-05
11	2.95690286441e-08	1.33666731388e-14	1.9270430958e-05
12	2.95832561072e-08	1.33666731157e-14	1.92704167305e-05
13	2.95690054053e-08	1.33666731424e-14	1.92704309813e-05
14	2.95693329799e-08	1.33666731424e-14	1.92704306536e-05
15	2.95692495005e-08	1.33666731424e-14	1.92704307372e-05
16	2.95688599303e-08	1.33666731485e-14	1.92704311267e-05
17	2.95695427132e-08	1.33666731426e-14	1.92704304439e-05
18	2.9570191091e-08	1.33666731425e-14	1.92704297955e-05
19	2.95691297347e-08	1.33666731453e-14	1.92704308569e-05
20	2.95693208138e-08	1.33666731446e-14	1.92704306658e-05
21	2.95694918702e-08	1.33666731425e-14	1.92704304947e-05
22	2.95692473572e-08	1.33666730938e-14	1.92704307393e-05
23	2.95693036711e-08	1.33666731428e-14	1.9270430683e-05
24	2.95693568855e-08	1.33666731426e-14	1.92704306297e-05
25	2.95824730571e-08	1.33666731271e-14	1.92704175136e-05
26	2.95937231697e-08	1.33666727083e-14	1.92704062635e-05
27	2.95705307077e-08	1.33666731424e-14	1.92704294559e-05
28	2.95689960696e-08	1.33666731436e-14	1.92704309905e-05
29	2.96614515549e-08	1.33666662783e-14	1.92703385351e-05
30	2.95707714334e-08	1.33666730359e-14	1.92704292153e-05
31	2.95700473828e-08	1.33666731447e-14	1.92704299392e-05
32	2.95689416704e-08	1.33666731421e-14	1.9270431045e-05
33	2.95691554541e-08	1.33666731437e-14	1.92704308312e-05
34	2.95699995451e-08	1.33666731405e-14	1.92704299871e-05
35	2.95951007112e-08	1.33666731422e-14	1.92704048859e-05
36	2.96151916382e-08	1.33666731425e-14	1.9270384795e-05
37	2.95726979043e-08	1.33666731191e-14	1.92704272887e-05
38	2.95692337563e-08	1.33666731436e-14	1.92704307529e-05
39	2.95691363305e-08	1.33666731445e-14	1.92704308503e-05
40	2.9568983095e-08	1.33666731387e-14	1.92704310035e-05
41	2.9568966649e-08	1.33666731425e-14	1.927043102e-05
42	2.97159848755e-08	1.33666731425e-14	1.92702840017e-05
43	2.95689703499e-08	1.33666731426e-14	1.92704310163e-05
44	2.95691854455e-08	1.33666731423e-14	1.92704308012e-05
45	2.95688999766e-08	1.33666731425e-14	1.92704310866e-05
46	2.96093823434e-08	1.33666729418e-14	1.92703906041e-05
47	2.95697045662e-08	1.33666731438e-14	1.9270430282e-05
48	2.95789458705e-08	1.33666718786e-14	1.92704210408e-05
49	2.95689665688e-08	1.33666731441e-14	1.92704310201e-05
50	2.95689335885e-08	1.33666731426e-14	1.9270431053e-05
51	2.95770625094e-08	1.33666730561e-14	1.92704229241e-05
52	2.95711417631e-08	1.33666730701e-14	1.92704288449e-05
53	2.96463005121e-08	1.33666731383e-14	1.92703536861e-05
54	2.99549940495e-08	1.3366671089e-14	1.92700449926e-05
55	2.95688771274e-08	1.33666731479e-14	1.92704311095e-05
56	2.95691195442e-08	1.33666731436e-14	1.9270430867e-05
57	2.95769375111e-08	1.33666731187e-14	1.92704230491e-05
58	2.97267764417e-08	1.33666722413e-14	1.92702732102e-05
59	2.9664277768e-08	1.33666722214e-14	1.92703357088e-05
60	2.95690479051e-08	1.33666731426e-14	1.92704309387e-05
61	2.95777739311e-08	1.33666731274e-14	1.92704222127e-05
62	2.9572501975e-08	1.33666731419e-14	1.92704274846e-05
63	2.95692002794e-08	1.33666731418e-14	1.92704307863e-05
64	2.96325109118e-08	1.3366672674e-14	1.92703674757e-05
65	2.95821408991e-08	1.33666731423e-14	1.92704178458e-05
66	2.95692335071e-08	1.33666731427e-14	1.92704307531e-05
67	2.95696802483e-08	1.33666731425e-14	1.92704303064e-05
68	2.95692396164e-08	1.33666731407e-14	1.9270430747e-05
69	2.95953899613e-08	1.33666727773e-14	1.92704045967e-05
70	2.95692893773e-08	1.33666731514e-14	1.92704306973e-05
71	2.95702814328e-08	1.33666731381e-14	1.92704297052e-05
72	2.95691294476e-08	1.33666731429e-14	1.92704308572e-05
73	2.95689117816e-08	1.33666731434e-14	1.92704310749e-05
74	2.95691506957e-08	1.33666731427e-14	1.92704308359e-05
75	2.95705474765e-08	1.33666730954e-14	1.92704294392e-05
76	2.95690959157e-08	1.33666731425e-14	1.92704308907e-05
77	2.95689489722e-08	1.33666731436e-14	1.92704310376e-05
78	2.9568925116e-08	1.33666731521e-14	1.92704310615e-05
79	2.96310607248e-08	1.33666729292e-14	1.92703689259e-05
80	2.95689660711e-08	1.33666731476e-14	1.92704310206e-05
81	2.95691328871e-08	1.33666731406e-14	1.92704308537e-05
82	2.95695458846e-08	1.33666731245e-14	1.92704304407e-05
83	2.95690797868e-08	1.33666731452e-14	1.92704309068e-05
84	2.95724380265e-08	1.33666729777e-14	1.92704275486e-05
85	2.95697386136e-08	1.33666731425e-14	1.92704302481e-05
86	2.95698964041e-08	1.33666731404e-14	1.92704300902e-05
87	2.95691285485e-08	1.3366673144e-14	1.92704308581e-05
88	2.95820218523e-08	1.33666725536e-14	1.92704179648e-05
89	2.95690661536e-08	1.33666731403e-14	1.92704309205e-05
90	2.95699685056e-08	1.33666731361e-14	1.92704300181e-05
91	2.95806441364e-08	1.33666731425e-14	1.92704193425e-05
92	2.95691835147e-08	1.33666731425e-14	1.92704308031e-05
93	2.95716064216e-08	1.33666731423e-14	1.92704283802e-05
94	2.9574897362e-08	1.33666731483e-14	1.92704250892e-05
95	2.95713472668e-08	1.33666731432e-14	1.92704286394e-05
96	2.95691910851e-08	1.33666731418e-14	1.92704307955e-05
97	2.95725182585e-08	1.33666731423e-14	1.92704274684e-05
98	2.95696124078e-08	1.33666731425e-14	1.92704303742e-05
99	2.95769370927e-08	1.33666730979e-14	1.92704230496e-05
