	ENO	ENO&2pg	ENO&pep
0	3.46149149253e-06	6.06675167218e-06	6.99929362225e-06
1	2.56885945363e-06	4.19953976899e-06	8.59489995608e-06
2	9.18578387797e-07	2.88529532481e-06	8.82428170111e-06
3	1.9362491779e-06	6.47657277893e-06	7.81355514588e-06
4	4.43141277151e-06	5.21678067418e-06	8.91158704014e-06
5	2.54999928553e-06	8.32777852647e-07	9.26428981007e-06
6	1.58946874444e-06	2.1770072852e-06	9.23841390551e-06
7	6.25670741696e-06	4.0105422258e-06	8.52609111845e-06
8	1.51495610551e-06	6.58973388531e-06	7.47898084659e-06
9	3.49667922863e-06	1.03814548854e-06	9.44522288289e-06
10	4.66318436617e-06	5.7797825767e-06	6.88671311348e-06
11	4.20006940785e-07	7.3610231323e-06	7.45396785671e-06
12	1.14067401017e-06	7.54566032867e-06	5.8115219894e-06
13	1.61731146127e-06	2.13616980369e-06	9.9750694683e-06
14	2.98786815739e-06	4.61465203451e-06	8.67566472787e-06
15	2.14285426037e-06	6.41848420942e-06	6.67289315507e-06
16	2.77862842968e-06	4.51980045647e-06	8.20976955757e-06
17	3.7348311393e-06	5.80032250404e-07	9.1511759972e-06
18	6.40639233831e-06	2.15064606324e-06	9.24693314659e-06
19	2.22019620867e-06	1.8648848092e-06	9.25772481291e-06
20	5.20517809015e-06	6.64693411871e-06	6.11977003949e-06
21	2.27404499147e-06	3.54880574544e-06	7.57205872254e-06
22	3.81498705472e-07	2.97586761072e-06	9.05449821677e-06
23	1.92703005038e-06	2.22978783141e-06	1.04470757853e-05
24	3.94394213446e-06	3.34530196703e-06	8.94581011625e-06
25	4.84803275478e-06	2.24144626646e-06	9.23940517242e-06
26	7.16255095209e-07	6.79279345918e-07	1.22376531784e-05
27	3.85966432313e-06	5.65054820975e-06	5.04926373794e-06
28	1.09524103962e-06	2.42755358637e-06	9.44078379833e-06
29	7.30062503855e-06	8.25237228732e-06	5.77063862371e-06
30	2.75540315387e-06	5.55279870764e-06	9.1342982286e-06
31	2.16660421938e-06	1.43064248694e-06	9.72049413262e-06
32	1.28410093582e-06	2.76019249558e-06	9.3077455168e-06
33	3.77781148951e-06	5.78861645213e-06	7.65953208323e-06
34	2.81946974004e-06	3.61617871234e-06	8.42467685913e-06
35	2.60665266142e-06	4.79852511382e-07	9.78688202983e-06
36	2.79505954324e-06	3.30183047415e-06	7.94460693076e-06
37	1.90258397059e-06	3.14293772371e-06	8.92251834029e-06
38	1.92094885263e-06	4.02591891489e-06	8.80524832568e-06
39	1.5868658604e-06	1.14163501706e-06	9.50367925452e-06
40	1.66789424149e-06	7.1582068145e-06	8.72755760744e-06
41	1.82075870586e-06	5.80305962254e-06	7.46747563941e-06
42	2.14616114974e-06	5.45862520613e-06	5.58987080002e-06
43	5.47058235403e-06	4.8853467342e-06	8.69138459753e-06
44	5.60890957098e-06	3.09699107394e-06	9.21183078295e-06
45	1.88978313697e-06	1.7517468564e-06	9.04711896632e-06
46	2.08041895153e-06	3.11998116482e-06	9.1028937158e-06
47	3.99470263595e-06	2.67941946499e-06	9.23912158569e-06
48	6.60819233268e-06	5.00404190753e-06	7.79573594395e-06
49	2.58181737419e-06	3.2696496049e-06	9.23396086462e-06
50	2.89211645332e-06	2.74445198942e-06	8.67654735821e-06
51	2.73448720024e-06	4.68385784895e-06	9.09561291005e-06
52	3.38739360713e-06	3.30373405634e-06	9.31039104433e-06
53	4.89839753424e-06	2.76524479183e-06	9.04797042154e-06
54	2.16386509973e-06	7.93176132975e-07	9.97007257673e-06
55	2.2137094792e-06	5.99011220141e-06	8.41059484533e-06
56	8.31460522686e-07	2.4431816969e-06	1.03242036129e-05
57	2.01024514288e-06	3.70103460216e-06	6.76749358584e-06
58	2.13294466658e-06	4.66249296538e-06	8.5565271194e-06
59	3.36690343921e-07	4.06797137252e-06	9.24651419552e-06
60	4.38572297845e-06	1.38009566713e-06	9.28782101883e-06
61	8.95248466439e-07	3.85660461471e-06	9.11011696711e-06
62	4.75807630332e-06	8.28716274817e-06	7.86604495617e-06
63	1.07570080383e-06	1.55867494415e-06	9.50242840551e-06
64	1.62510500882e-06	3.512392339e-06	7.94845932165e-06
