	v_tala21	v_tala22	v_tala23	v_tala24	v_tala25	v_tala26
0	-9.66236151419e-13	-8.38030174565e-13	-5.15004398922e-13	-3.00444439699e-13	-8.3412149529e-13	-2.56452946715e-13
1	-6.45720646007e-13	-3.84934705638e-13	-6.81636015264e-13	-2.5184211609e-13	-6.82793096151e-13	-2.06860719418e-13
2	-4.11407019563e-14	2.12237996275e-15	1.32796470218e-15	-4.11397532794e-14	2.6645352591e-15	3.60822483003e-16
3	-2.32235095683e-12	-1.68406049739e-12	-1.65967933841e-12	-1.84077271926e-12	-1.68974104254e-12	-1.6794957894e-12
4	-6.14132391995e-13	-4.73011820684e-13	-4.05272476616e-13	-1.16088958786e-13	-4.69989363183e-13	-1.52951110978e-15
5	-1.61943375376e-13	-5.25012704752e-14	-7.23672407128e-14	-2.01735804168e-14	-2.42233160884e-14	-2.08790233366e-14
6	-9.93812359338e-13	2.04179392577e-14	-2.12432007477e-13	-3.72208448958e-13	3.71760727671e-14	-2.13795520458e-13
7	-1.1564436576e-12	-9.33743425462e-13	-8.7010620097e-13	-1.03948094706e-12	-9.35691951912e-13	-1.03853164675e-12
8	-1.24621650551e-12	-1.02836559797e-12	-1.23219645682e-12	-7.99323931697e-13	-1.16452395212e-12	-7.2037674762e-13
9	-5.07149742123e-13	-1.22346577314e-13	-5.03788756046e-13	-1.12163208409e-13	-1.11629455679e-13	1.97884514764e-15
10	-1.91923961532e-12	-1.65122682712e-12	-1.69279804712e-12	-1.66988347656e-12	-1.64775852874e-12	-1.69492703564e-12
11	-9.88542842012e-13	-6.15443839554e-13	-7.41824150393e-13	-3.8369307731e-13	-6.45355649346e-13	-4.95943174359e-13
12	-2.38701179862e-12	-2.37687315644e-12	-2.18719824424e-12	-2.26715868301e-12	-2.30152449019e-12	-2.16379691942e-12
13	-1.86306174074e-12	-1.85423898458e-12	-1.81361869966e-12	-8.93367966951e-13	-1.81167076105e-12	-9.00821775572e-14
14	-7.95589654812e-13	-7.94433529377e-13	-4.03679100916e-13	-3.41060513165e-13	-7.94418906201e-13	-2.25364865658e-13
15	-8.1035959193e-13	-1.1418651872e-12	-9.71780234475e-13	-5.8408047279e-13	-1.4145909887e-12	-5.78378856852e-13
16	-1.23243745125e-12	-2.3877772589e-12	-1.42264672265e-12	-8.80385987636e-13	-2.388226803e-12	-7.83336421986e-13
17	-3.57358240222e-13	-2.90906242238e-13	-4.69489344388e-13	1.20216336885e-15	-9.87719021156e-14	1.51590843827e-14
18	-1.96812557977e-12	-1.75981822973e-12	-1.94272469476e-12	-9.22223919681e-13	-1.76041540998e-12	-5.43372008358e-13
19	-5.22561811531e-13	-1.5261782723e-13	-1.52932032408e-13	-4.36756526941e-13	-1.52211576676e-13	-4.36756533717e-13
20	-2.8282651015e-13	-2.70392703453e-13	-2.90067777876e-13	4.49851744397e-15	-4.01656396402e-13	2.17047415468e-14
21	-1.5064249422e-12	-5.81035219938e-13	-6.8487788818e-13	-6.86393718014e-13	-6.48000513111e-13	-6.43292493926e-13
22	-1.34581453241e-12	-8.52315342869e-13	-7.86155127406e-13	-8.73312300297e-13	-1.11052607946e-12	-8.67998245979e-13
23	-1.94188591192e-12	-1.57541159141e-12	-1.71353875506e-12	-1.49784525061e-12	-1.5772891653e-12	-1.48638046316e-12
24	-4.07431467037e-13	-3.16208322547e-13	-4.09527773631e-13	-1.84328894244e-13	-3.38357136363e-13	-2.41808834647e-13
25	-1.73073564486e-12	-9.61379847259e-13	-9.37078031545e-13	-9.63341792405e-13	-9.61404567068e-13	-9.60085635125e-13
26	-2.13486808797e-12	-1.93482348842e-12	-2.03318134051e-12	-1.77845817229e-12	-1.93425478373e-12	-1.74746682917e-12
27	-9.03166430533e-14	-1.9295676168e-13	-2.04904261351e-13	7.62569261209e-14	-1.90056222713e-13	1.27216379792e-13
28	-1.01740516782e-12	-2.54702021193e-13	-2.20475191787e-13	-1.61867860695e-14	-2.26631213796e-13	-9.64885723403e-16
29	-1.28852586221e-12	-3.71482120747e-13	-3.76662790246e-13	-3.77699445071e-13	-4.96457475824e-13	-2.34621756702e-13
30	-2.28869813794e-12	-1.00799514508e-12	-1.13518240218e-12	-1.50827002729e-12	-1.00925746642e-12	-1.13055563717e-12
31	-3.63708889395e-12	-1.37984068616e-12	-1.3355150319e-12	-2.57887461386e-12	-1.37940890264e-12	-2.44866626975e-12
32	-4.78700114487e-13	-2.67837835244e-13	-3.99234519142e-13	3.19506790816e-14	-3.84606219485e-13	8.21877966075e-14
33	-5.49449374887e-13	-3.71873349172e-13	-5.55216073448e-13	-2.92790097722e-13	-4.69145555737e-13	-3.03106715074e-13
34	-1.28468992443e-12	-4.04926417917e-13	-4.05205129026e-13	-9.66338120634e-13	-3.98662439866e-13	-9.04526453738e-13
35	-2.51163124315e-13	-3.55685262059e-13	-3.54469390309e-13	4.59226840582e-14	-3.5566070488e-13	1.50990331349e-13
36	-9.5821137483e-13	-7.59063168224e-13	-6.89227768282e-13	-7.08643213554e-13	-7.1054273576e-13	-7.58160868071e-13
37	-1.26046539878e-12	-7.30027149842e-13	-7.7832349974e-13	-9.54278323029e-13	-7.35163186634e-13	-9.49046397025e-13
38	-1.38750262432e-12	-5.45305554184e-13	-5.55984674532e-13	-6.22299209233e-13	-4.31092908902e-13	-7.22389162378e-13
39	-1.81562575779e-12	-1.89686832322e-12	-1.82510464261e-12	-1.57532084708e-12	-1.93746719684e-12	-1.13246662482e-12
40	-1.62125868286e-12	-1.69234109826e-12	-1.68302557221e-12	-4.11922232435e-13	-1.69171701116e-12	-3.47618757239e-13
41	-1.08198866533e-12	-5.43938808925e-13	-7.74835057227e-13	-5.45351958037e-13	-8.24618222691e-13	-5.03696151628e-13
42	-5.40529779139e-13	-5.56317145128e-13	-5.37891542559e-13	-2.43630500973e-13	-5.39821205586e-13	-1.11641002432e-13
43	-2.19392402466e-13	-1.58417875172e-13	-4.57789303698e-13	-1.59898407449e-13	-1.59015023235e-13	-1.0462784068e-13
44	-6.21320669339e-13	-7.19769729929e-13	-7.0902287405e-13	-3.11672915124e-13	-7.09946460141e-13	-3.11697662039e-13
45	-9.22102204434e-13	-8.13527522257e-13	-3.13231164368e-13	-2.52550259351e-13	-8.13535301408e-13	-9.87775874007e-14
46	-1.27057118624e-12	-6.99565947705e-13	-6.74002251106e-13	-6.31245056226e-13	-6.39503698613e-13	-6.30132227728e-13
47	-1.84431499071e-12	-1.45160619636e-12	-1.0654590647e-12	-1.70577880163e-12	-1.45334438928e-12	-1.46097093502e-12
48	-1.27658575036e-12	-2.16305639239e-12	-1.24640575638e-12	-1.15912596362e-13	-2.11031192521e-12	-2.75183521803e-13
49	-8.41331439737e-13	-1.71261463195e-12	-1.92359221271e-12	-9.12424432883e-14	-1.87870037791e-12	-5.69000785887e-14
50	-1.12158054383e-12	-1.5319169544e-12	-1.62010722797e-12	-3.89318362027e-13	-1.63342302466e-12	-3.25188891114e-13
51	-1.72245781548e-12	-1.62132733996e-12	-1.71015952051e-12	-1.6185984302e-12	-1.71956856577e-12	-1.61243240981e-12
52	-3.45834472171e-13	1.0128931114e-13	-2.38674301135e-14	-2.59537183411e-13	9.96074560724e-14	-2.59264831826e-13
53	-1.95270541273e-12	-2.01835800135e-12	-1.94535734093e-12	-9.66179393436e-13	-1.94880530712e-12	-1.18533655113e-14
54	-1.00747531249e-12	-2.58886662108e-13	-8.22997269292e-13	-8.91566334649e-13	-5.64881474929e-13	-4.75368821997e-13
55	-6.30270785378e-13	-6.52825612579e-13	-1.12212664291e-12	-2.53902964192e-13	-6.55464906256e-13	-9.12867397234e-14
56	-1.69726978986e-12	-2.75037195167e-13	-4.38240169522e-13	-1.92013126319e-13	-1.57271895499e-13	-1.7356146224e-13
57	-5.73771953072e-13	-9.76151529264e-13	-9.74928037606e-13	-3.06877136549e-13	-9.76224187751e-13	-1.81131802265e-13
58	-8.55825264443e-13	-2.96545284463e-13	-2.22839365775e-13	-7.16488514027e-13	-2.95737176068e-13	-2.76048498296e-13
59	-5.33750063055e-13	-4.4316590328e-13	-2.90526407253e-13	-2.67001264848e-13	-3.29763189208e-13	-2.0208291827e-13
60	-1.01200912071e-12	-1.05138120432e-13	-5.5170169648e-14	-1.90170050388e-13	-9.72807446577e-14	-2.67662411332e-17
61	-6.41457176818e-13	-5.91715377054e-13	-7.13691004759e-14	-2.12275130199e-14	-6.40672302536e-13	-4.73888371036e-14
62	-1.7517833565e-12	-1.73518930344e-12	-1.67265719945e-12	-1.32522793534e-12	-1.73519925438e-12	-1.15002698662e-12
63	-7.97616076106e-13	-2.37219369582e-14	-3.0115365361e-13	-5.34390308155e-13	-2.13794747964e-13	-2.23401077368e-14
64	-1.71039154655e-12	-6.62070604503e-13	-5.8498408415e-13	-5.35395675277e-13	-6.59601720303e-13	-2.29682687257e-13
65	-2.90267809788e-13	-3.5299541068e-13	-6.13988271033e-13	-1.44387540119e-14	-3.41039567734e-13	2.64840775178e-15
66	-9.80640807273e-13	-9.31976718022e-13	-9.34318852212e-13	-8.62444772716e-13	-9.34363697525e-13	-7.2168659937e-13
67	-1.13666113875e-12	-2.58883192661e-13	-2.37023669395e-13	-5.53557200078e-13	-2.70464518295e-13	-2.440817222e-13
68	-1.14002080345e-12	-1.15379277313e-12	-1.43537178671e-12	-2.4047224715e-14	-1.31622490684e-12	-1.31561428418e-14
69	-2.61386365094e-12	-5.87995238843e-13	-1.36621129584e-12	-3.4664341574e-13	-6.00866233126e-13	-1.63341562498e-13
70	-5.62315388616e-13	-4.56672958319e-13	-2.82202426439e-14	-2.5569519104e-13	-4.41735623774e-13	-7.70098367671e-14
71	-2.00752417551e-12	-1.61778823302e-12	-1.2153966171e-12	-8.76679818692e-13	-1.55993422254e-12	-7.8098240223e-13
72	-1.72709763158e-12	-1.77013959046e-12	-1.76399866936e-12	-7.85878306875e-13	-1.20575519512e-12	-2.15730211472e-13
73	-1.40804859092e-12	-1.40578694519e-12	-1.07398973341e-12	-5.68371738563e-13	-1.40578669108e-12	-5.52584697834e-13
74	-1.80069033076e-12	-9.69782847776e-13	-1.01890590861e-12	-1.2043065655e-12	-9.69623486997e-13	-7.98836813213e-13
75	-9.81774110251e-13	-5.01220592808e-13	-5.25674393338e-13	-5.26096419033e-13	-5.01222090362e-13	-7.21863107483e-13
76	-1.5911801431e-12	-5.77395197491e-13	-5.76448611067e-13	-1.05160324892e-12	-5.68434188608e-13	-5.75442471451e-13
77	-1.15620094878e-12	-1.00090967212e-12	-9.08223796598e-13	-8.95238744247e-13	-9.7086173397e-13	-8.43909157507e-13
78	-3.06889930135e-13	-3.1744745721e-13	-1.8338189955e-13	4.9875400576e-15	-2.70058017019e-13	1.94659623164e-14
79	-1.25105801708e-12	-1.22603229652e-12	-1.5345916134e-12	-1.05936524201e-12	-1.13878762174e-12	-8.77214926674e-13
80	-2.11818193871e-12	-1.13573609068e-12	-1.23502616689e-12	-1.51029883044e-12	-1.23934890128e-12	-1.12945297646e-12
81	-7.02387367019e-14	-9.50556907492e-14	-8.58360979544e-13	2.35979584397e-14	-9.49575704526e-14	1.29038571278e-13
82	-6.27130075301e-13	-2.56430293666e-13	-2.56785966189e-13	-6.4600424619e-14	-2.56499032084e-13	3.82142234523e-14
83	-8.00632726349e-13	1.37077849072e-14	3.50761628944e-14	-7.42314196223e-14	-1.17274625341e-14	-1.02338114111e-14
84	-7.84530426734e-13	-7.83428877327e-13	-7.27111892831e-13	-3.96418385314e-13	-7.83367294643e-13	-1.65285862254e-13
85	-1.9383942456e-12	-1.77370248209e-12	-5.35459799059e-13	-1.4762965698e-12	-1.46755074456e-12	-3.82784082209e-13
86	-1.94555999187e-12	-1.62861976509e-12	-1.65540497976e-12	-9.49448852872e-13	-1.63449033022e-12	-8.19593362362e-13
87	-9.12086920747e-13	-3.35168091198e-13	-5.61112010601e-13	-3.11446628578e-13	-4.01070615521e-13	-3.47782116013e-13
88	-1.72974247501e-12	-1.25038868148e-12	-9.86688334525e-13	-1.53477230924e-12	-1.25921495453e-12	-1.49613654798e-12
89	-9.94701771038e-13	-8.57630596586e-13	-8.59042344705e-13	-5.21680572005e-13	-8.57768934007e-13	-5.66905029864e-13
90	-4.25437463036e-13	-2.99225298402e-13	-3.18710593398e-13	-1.54935593977e-13	-2.99006912979e-13	-1.54935553319e-13
91	-1.26975795668e-12	-1.06710627951e-12	-1.06503796396e-12	-3.85686708265e-13	-1.12694876759e-12	-2.10431518944e-13
92	-1.33014132613e-12	-9.78857050754e-13	-5.35268254416e-13	-1.25410792862e-12	-8.05522315517e-13	-1.30888355709e-12
93	-5.4502307886e-13	-2.18593155729e-13	-3.05010818035e-13	-5.06553132773e-13	-2.18593182834e-13	-3.0958675429e-13
94	-3.6880498655e-12	-2.38391504616e-12	-2.38146828646e-12	-1.86051174467e-12	-2.38146308229e-12	-1.80847004039e-12
95	-1.25532766284e-12	-9.12427251809e-13	-9.13002570139e-13	-1.0042049386e-12	-8.15663508957e-13	-8.96478258381e-13
96	-2.0120764084e-12	-1.55904823285e-12	-1.41830717635e-12	-1.85337391999e-12	-1.4089593326e-12	-1.79082291531e-12
97	-2.36549214732e-12	-1.64768201456e-12	-1.71977503852e-12	-1.78705662735e-12	-1.64834707434e-12	-1.58328955686e-12
