	GAPD	GAPD&nad	GAPD&nad&g3p	GAPD&nad&g3p&pi	GAPD&nadh	GAPD&nadh&13dpg
0	6.04744753727e-08	5.59988801791e-05	1.75096506664e-08	2.67392579931e-06	4.85401641828e-06	2.67185862012e-07
1	6.75112340693e-08	5.45934252186e-05	1.95465992641e-08	9.70356136744e-07	5.66856195611e-06	1.02799197819e-06
2	6.1669395005e-08	5.21115339137e-05	1.53822317229e-08	8.06039965107e-07	7.59633386706e-06	4.82647156138e-07
3	8.42459221245e-08	5.6296907014e-05	1.82833677064e-08	1.52012386552e-07	6.61842003726e-06	9.23234628001e-08
4	5.26435100384e-08	5.73827158535e-05	1.67945442059e-08	8.1682600322e-07	2.96575750571e-06	6.88701653739e-07
5	4.96888136164e-08	5.5448222648e-05	4.37807436116e-08	8.03928616671e-07	4.95977404276e-06	2.03295350595e-07
6	9.27788980954e-08	5.56791316665e-05	2.17147041683e-08	4.78154623189e-07	5.78897399002e-06	8.0602239617e-07
7	6.85101316922e-08	5.53750873993e-05	1.66489792687e-08	3.12939480333e-07	6.47148261569e-06	8.74492139435e-07
8	5.67642782965e-08	5.57007591659e-05	1.49775016764e-08	3.09005440437e-07	4.1467365923e-06	9.82191439407e-07
9	6.18409314799e-08	5.61777970248e-05	2.47631349296e-08	1.44168503272e-06	4.58746670847e-06	8.65834299888e-07
10	8.01296849935e-08	5.70600622091e-05	1.15307808063e-08	2.07015156984e-07	5.06348859252e-06	1.92028445095e-08
11	5.82321327019e-08	5.35194162822e-05	2.62913632507e-08	4.02894520492e-07	5.33461058663e-06	1.42364715291e-07
12	5.82689471892e-08	5.39757374301e-05	1.57975763829e-08	3.76523670518e-06	4.8192927251e-06	6.94274883301e-07
13	4.23647901564e-08	5.26201457145e-05	2.99165157625e-08	1.60963848694e-06	6.17176442743e-06	1.14715273844e-07
14	7.69938410059e-08	5.53392119277e-05	1.28296182833e-08	1.02986719509e-06	5.07764740977e-06	1.08013794292e-06
15	4.86410932236e-08	5.46917251845e-05	1.3750858327e-08	3.96818234314e-06	3.36828998776e-06	2.54070962759e-07
16	5.33341110181e-08	5.16809063241e-05	6.90255002745e-08	1.58085860113e-06	6.19691561131e-06	8.00167814274e-07
17	5.22481689571e-08	5.40911309508e-05	2.47503159146e-08	1.68063725148e-06	5.00430794969e-06	2.99936769574e-07
18	5.04385751542e-08	5.44890369009e-05	1.63324847947e-08	1.02809078444e-06	6.2530796573e-06	6.35418263557e-07
19	7.53495836441e-08	5.68509652052e-05	1.69620707428e-08	3.91044381541e-07	5.65256972423e-06	9.21262659292e-08
20	7.49374496726e-08	5.71073277789e-05	1.63224262149e-08	3.62859412666e-07	3.59448318136e-06	1.51700070833e-06
21	4.88517835753e-08	5.30465191569e-05	1.47367839407e-08	2.34387770455e-07	6.31011840339e-06	8.54174791371e-08
22	4.54432685799e-08	5.41329905627e-05	2.79838775725e-08	1.10524948707e-06	4.16457703154e-06	1.28823913616e-07
