	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
APO_S7P_linear_cl101	S7P_linear	-27.1799642857	51.6412418602	7.1861840959	51.6412418602	7.1861840959	-27.30355	4.12105	26.4392698252	26.4392698252
APO_S7P_linear_cl101_2	S7P_linear	-21.2239964286	70.5296605896	8.39819388855	70.5296605896	8.39819388855	-19.4557	6.3428	39.5693333101	39.5693333101
APO_S7P_linear_cl102	S7P_linear	12.106	32.1186442671	5.66733131793	32.1186442671	5.66733131793	11.46405	3.58025	46.8142352381	46.8142352381
APO_S7P_linear_cl102_2	S7P_linear	-1.17128571429	139.902376412	11.8280334972	139.902376412	11.8280334972	-0.30975	6.32745	1009.833327	1009.833327
APO_S7P_linear_cl212	S7P_linear	-22.9775392857	56.7798524981	7.53524070605	56.7798524981	7.53524070605	-21.71125	4.48095	32.7939411281	32.7939411281
APO_S7P_linear_cl212_2	S7P_linear	-43.1057857143	36.0541209948	6.0045083891	36.0541209948	6.0045083891	-44.12385	4.23195	13.9297040748	13.9297040748
APO_F6P_cl202	F6P	-20.0555785714	56.7459342638	7.53298972944	56.7459342638	7.53298972944	-21.277	4.7983	37.5605705047	37.5605705047
APO_F6P_cl202_2	F6P	-14.0511392857	30.7334254281	5.54377357295	30.7334254281	5.54377357295	-16.01585	3.3961	39.4542638872	39.4542638872
APO_F6P_cl212	F6P	-5.09973928571	55.7946741745	7.46958326646	55.7946741745	7.46958326646	-4.5389	5.2342	146.469904597	146.469904597
APO_F6P_cl212_2	F6P	-11.8182178571	67.6964831936	8.22778725987	67.6964831936	8.22778725987	-10.77465	5.6257	69.6195260514	69.6195260514
APO_F6P_cl321	F6P	-11.8645678571	17.2587967758	4.15437080383	17.2587967758	4.15437080383	-11.51055	3.1515	35.0149356795	35.0149356795
APO_F6P_cl321_2	F6P	-40.9987714286	67.098421737	8.19136263005	67.098421737	8.19136263005	-41.5428	4.7437	19.9795319338	19.9795319338
HALO_S7P_remS7P_S7P_linear_cl101	S7P_linear	-19.1170285714	43.0722360092	6.5629441571	43.0722360092	6.5629441571	-20.3741	5.39345	34.3303570038	34.3303570038
HALO_S7P_remS7P_S7P_linear_cl101_2	S7P_linear	-13.818025	15.837714654	3.97966263068	15.837714654	3.97966263068	-14.09225	2.824	28.8005169384	28.8005169384
HALO_S7P_remS7P_S7P_linear_cl302	S7P_linear	-23.0261	44.8258829071	6.69521343253	44.8258829071	6.69521343253	-22.51835	4.6448	29.076627968	29.076627968
HALO_S7P_remS7P_S7P_linear_cl302_2	S7P_linear	-24.6543892857	61.6967354388	7.85472694871	61.6967354388	7.85472694871	-25.63425	5.5399	31.8593450346	31.8593450346
HALO_S7P_remS7P_S7P_linear_cl322	S7P_linear	-6.07748571429	42.7191661019	6.53599006287	42.7191661019	6.53599006287	-7.26115	3.73075	107.544309771	107.544309771
HALO_S7P_remS7P_S7P_linear_cl322_2	S7P_linear	-14.4049428571	21.3251815432	4.61791961203	21.3251815432	4.61791961203	-14.3312	1.82415	32.0578821994	32.0578821994
HALO_S7P_remS7P_F6P_cl101	F6P	-8.53986428571	70.4996359187	8.39640613112	70.4996359187	8.39640613112	-9.56905	7.143	98.3201354285	98.3201354285
HALO_S7P_remS7P_F6P_cl101_2	F6P	-20.1829857143	24.6168036062	4.96153238488	24.6168036062	4.96153238488	-19.64055	4.2611	24.5827473453	24.5827473453
HALO_S7P_remS7P_F6P_cl201	F6P	-27.9347392857	68.6923429045	8.28808439294	68.6923429045	8.28808439294	-29.99265	4.9452	29.6694531786	29.6694531786
HALO_S7P_remS7P_F6P_cl201_2	F6P	-20.0117214286	25.6636134917	5.06592671598	25.6636134917	5.06592671598	-20.3852	4.57265	25.3147973005	25.3147973005
HALO_S7P_remS7P_F6P_cl311	F6P	4.49713571429	61.8079052887	7.86180038469	61.8079052887	7.86180038469	5.7841	4.26085	174.817948227	174.817948227
HALO_S7P_remS7P_F6P_cl311_2	F6P	-1.34244285714	50.5050840917	7.10669290822	50.5050840917	7.10669290822	-2.21515	5.1738	529.38513326	529.38513326
S7P_linear sumup	S7P_linear	-17.0542119048	4.28126953664	2.06912289066	180.994581537	13.45342267	-20.1705125	6.05902857143	12.1326209749	78.8862173469
F6P sumup	F6P	-14.7835526786	4.14661889496	2.03632485006	137.290971914	11.717123022	-12.9578535714	7.16142857143	13.7742590995	79.2578298113
ddG	F6P-S7P_linear	2.27065922619	8.4278884316	2.90308257402	318.285553451	17.8405592247	7.21265892857	13.2204571429	127.85197094	785.699545707
dKd	F6P-S7P_linear	46.1748309894	0.343898526872	6199.8375983	3.86527430562e-12	5.51607686367e+14	193605.3861	9.49692439574e+14	13426.8766457	1.19460683352e+15
