	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
APO_S7P_linear_cl101	S7P_linear	-40.1850071429	109.342177067	10.4566809776	109.342177067	10.4566809776	-44.2422	5.53565	26.0213490579	26.0213490579
APO_S7P_linear_cl101_2	S7P_linear	-21.8222714286	84.7438314571	9.20564128441	84.7438314571	9.20564128441	-22.3783	6.3315	42.1846154491	42.1846154491
APO_S7P_linear_cl102	S7P_linear	18.6769142857	137.019784313	11.7055450242	137.019784313	11.7055450242	18.43755	7.6164	62.6738702395	62.6738702395
APO_S7P_linear_cl102_2	S7P_linear	2.14556836735	82.894926312	9.10466508511	82.894926312	9.10466508511	2.21725	5.2476	424.347470054	424.347470054
APO_S7P_linear_cl212	S7P_linear	-26.6968061224	78.2720116271	8.84714708972	78.2720116271	8.84714708972	-25.31565	4.8278	33.1393465164	33.1393465164
APO_S7P_linear_cl212_2	S7P_linear	-35.8876806122	92.527371183	9.61911488563	92.527371183	9.61911488563	-37.2032	6.46655	26.8033896912	26.8033896912
APO_F6P_cl202	F6P	-22.5034561224	41.8935406774	6.47252197195	41.8935406774	6.47252197195	-22.859	4.5877	28.7623462669	28.7623462669
APO_F6P_cl202_2	F6P	-17.4576561224	71.2562317582	8.44134063749	71.2562317582	8.44134063749	-18.3295	5.603	48.3532301145	48.3532301145
APO_F6P_cl212	F6P	-4.08741530612	40.7920250152	6.38686347241	40.7920250152	6.38686347241	-4.1231	3.924	156.256778283	156.256778283
APO_F6P_cl212_2	F6P	-14.0558714286	93.1816818263	9.65306592883	93.1816818263	9.65306592883	-12.0162	6.11195	68.6763960377	68.6763960377
APO_F6P_cl321	F6P	-13.5822387755	65.1548681244	8.07185654756	65.1548681244	8.07185654756	-15.44305	5.63575	59.4294996648	59.4294996648
APO_F6P_cl321_2	F6P	-39.2893346939	130.4568399	11.4217704363	130.4568399	11.4217704363	-42.8542	6.25265	29.0709184193	29.0709184193
HALO_S7P_remS7P_S7P_linear_cl101	S7P_linear	-19.6569030612	63.7371285172	7.98355362713	63.7371285172	7.98355362713	-20.68745	5.5277	40.6145037306	40.6145037306
HALO_S7P_remS7P_S7P_linear_cl101_2	S7P_linear	-10.2244	63.8714671173	7.9919626574	63.8714671173	7.9919626574	-12.2458	3.47545	78.1655907183	78.1655907183
HALO_S7P_remS7P_S7P_linear_cl302	S7P_linear	-25.104005102	36.2609293978	6.02170485808	36.2609293978	6.02170485808	-24.92135	4.95445	23.9870284985	23.9870284985
HALO_S7P_remS7P_S7P_linear_cl302_2	S7P_linear	-23.2718989796	54.9420052134	7.41228744811	54.9420052134	7.41228744811	-24.5752	4.54655	31.8508062217	31.8508062217
HALO_S7P_remS7P_S7P_linear_cl322	S7P_linear	-5.74169489796	54.7524745458	7.39949150589	54.7524745458	7.39949150589	-5.3275	5.4453	128.872948448	128.872948448
HALO_S7P_remS7P_S7P_linear_cl322_2	S7P_linear	-11.9097163265	27.2285306875	5.21809646207	27.2285306875	5.21809646207	-12.89735	3.1423	43.8137762396	43.8137762396
HALO_S7P_remS7P_F6P_cl101	F6P	-17.0043765306	118.944151576	10.9061520059	118.944151576	10.9061520059	-16.84755	8.5571	64.1373236254	64.1373236254
HALO_S7P_remS7P_F6P_cl101_2	F6P	-11.7494683673	110.632065982	10.5181778832	110.632065982	10.5181778832	-14.18325	5.95065	89.5204578993	89.5204578993
HALO_S7P_remS7P_F6P_cl201	F6P	-26.9795163265	46.3936869914	6.81129113982	46.3936869914	6.81129113982	-28.55615	5.08355	25.2461573343	25.2461573343
HALO_S7P_remS7P_F6P_cl201_2	F6P	-19.7843938776	75.5237644106	8.69044097906	75.5237644106	8.69044097906	-21.59485	4.80575	43.9257377954	43.9257377954
HALO_S7P_remS7P_F6P_cl311	F6P	5.69733367347	38.4658440108	6.20208384423	38.4658440108	6.20208384423	5.7936	4.0307	108.859410378	108.859410378
HALO_S7P_remS7P_F6P_cl311_2	F6P	-7.66664285714	57.49242264	7.58237579127	57.49242264	7.58237579127	-7.57815	5.58065	98.9008609447	98.9008609447
S7P_linear sumup	S7P_linear	-16.639825085	6.1499488711	2.47990904492	246.670800137	15.7057569107	-20.7395872449	9.67252908163	14.9034562097	94.3865505221
F6P sumup	F6P	-15.7052530612	6.18185502023	2.48633365022	119.289293383	10.9219638062	-15.5301239796	5.61380102041	15.831223098	69.5433799352
ddG	F6P-S7P_linear	0.93457202381	12.3318038913	3.51166682522	365.96009352	19.1300834687	5.20946326531	15.286330102	375.751331706	2046.93517261
dKd	F6P-S7P_linear	4.84223959197	0.0129114725331	1816.00388383	4.59825589341e-14	5.09916907836e+14	6585.12976991	1.05566414824e+15	37503.3876234	1.05306005238e+16
