	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
APO_S7P_linear_cl101	S7P_linear	-38.4362396825	139.578624737	11.8143397927	139.578624737	11.8143397927	-42.327	8.0522	30.7375016137	30.7375016137
APO_S7P_linear_cl101_2	S7P_linear	-25.1050650794	66.3865958188	8.14779699175	66.3865958188	8.14779699175	-26.7897	5.5574	32.4547933494	32.4547933494
APO_S7P_linear_cl102	S7P_linear	17.8941904762	104.020366148	10.1990375109	104.020366148	10.1990375109	16.46	7.0137	56.9963616094	56.9963616094
APO_S7P_linear_cl102_2	S7P_linear	1.56188571429	99.6679325571	9.98338282132	99.6679325571	9.98338282132	1.8469	5.1481	639.18779268	639.18779268
APO_S7P_linear_cl212	S7P_linear	-24.4030412698	46.286141485	6.80339191029	46.286141485	6.80339191029	-23.9036	4.9239	27.8792787959	27.8792787959
APO_S7P_linear_cl212_2	S7P_linear	-40.1681698413	39.2912653081	6.26827450804	39.2912653081	6.26827450804	-40.6301	4.2411	15.60507868	15.60507868
APO_F6P_cl202	F6P	-22.3627095238	43.7470289799	6.61415368584	43.7470289799	6.61415368584	-23.0619	5.0244	29.5767097399	29.5767097399
APO_F6P_cl202_2	F6P	-17.7280079365	59.9705190788	7.74406347332	59.9705190788	7.74406347332	-17.7083	5.6638	43.6826489533	43.6826489533
APO_F6P_cl212	F6P	-2.98054285714	48.7529692507	6.98233265111	48.7529692507	6.98233265111	-3.0311	4.38	234.263789711	234.263789711
APO_F6P_cl212_2	F6P	-10.7898047619	52.1066660732	7.2184947235	52.1066660732	7.2184947235	-10.7011	4.3685	66.9010689515	66.9010689515
APO_F6P_cl321	F6P	-9.49528571429	46.1952142565	6.79670613286	46.1952142565	6.79670613286	-9.1365	4.4739	71.5797958837	71.5797958837
APO_F6P_cl321_2	F6P	-42.7450857143	59.2631427165	7.69825582301	59.2631427165	7.69825582301	-43.788	4.9938	18.0096862467	18.0096862467
HALO_S7P_remS7P_S7P_linear_cl101	S7P_linear	-17.1854428571	53.1162079932	7.28808671691	53.1162079932	7.28808671691	-16.1614	5.8722	42.4084894262	42.4084894262
HALO_S7P_remS7P_S7P_linear_cl101_2	S7P_linear	-11.5143777778	53.4842552687	7.31329305229	53.4842552687	7.31329305229	-12.5718	3.0572	63.5144442317	63.5144442317
HALO_S7P_remS7P_S7P_linear_cl302	S7P_linear	-24.0639301587	36.9743813958	6.08065632936	36.9743813958	6.08065632936	-22.8517	4.5394	25.2687582172	25.2687582172
HALO_S7P_remS7P_S7P_linear_cl302_2	S7P_linear	-22.3201587302	70.8457735818	8.41699314374	70.8457735818	8.41699314374	-23.6583	6.3861	37.7102745796	37.7102745796
HALO_S7P_remS7P_S7P_linear_cl322	S7P_linear	-9.27704444444	40.1521555006	6.33657285136	40.1521555006	6.33657285136	-9.8149	4.4092	68.303788877	68.303788877
HALO_S7P_remS7P_S7P_linear_cl322_2	S7P_linear	-12.6767698413	29.006227444	5.38574297976	29.006227444	5.38574297976	-13.5792	2.548	42.4851365702	42.4851365702
HALO_S7P_remS7P_F6P_cl101	F6P	-16.6860333333	127.227261253	11.2795062504	127.227261253	11.2795062504	-16.7511	7.872	67.5984880592	67.5984880592
HALO_S7P_remS7P_F6P_cl101_2	F6P	-17.3209952381	37.5962402551	6.13157730564	37.5962402551	6.13157730564	-17.7326	3.0867	35.3996824164	35.3996824164
HALO_S7P_remS7P_F6P_cl201	F6P	-27.8946031746	57.1568323387	7.56021377599	57.1568323387	7.56021377599	-30.243	4.6844	27.1027830318	27.1027830318
HALO_S7P_remS7P_F6P_cl201_2	F6P	-22.5283031746	28.3904910689	5.32827280353	28.3904910689	5.32827280353	-22.8948	4.1339	23.6514608412	23.6514608412
HALO_S7P_remS7P_F6P_cl311	F6P	5.02134920635	45.5667903933	6.75031779943	45.5667903933	6.75031779943	5.9017	3.991	134.432351187	134.432351187
HALO_S7P_remS7P_F6P_cl311_2	F6P	-6.75634126984	66.6391780507	8.16328230865	66.6391780507	8.16328230865	-7.2331	6.2152	120.824007886	120.824007886
S7P_linear sumup	S7P_linear	-17.141180291	5.40840227249	2.32559718621	238.778876101	15.4524715208	-19.7528007937	7.65722698413	13.5673106911	90.1482351766
F6P sumup	F6P	-16.0221969577	4.67091898413	2.16123089561	142.615486193	11.942172591	-17.0035142857	6.86096904762	13.4889797031	74.5351753106
ddG	F6P-S7P_linear	1.11898333333	10.0793212566	3.17479467944	381.394362294	19.5293205794	2.74928650794	14.5181960317	283.721355347	1745.27358877
dKd	F6P-S7P_linear	6.61029356514	0.0311228476384	1403.98402887	3.19981359267e-14	1.36557895489e+15	103.571833121	4.5410546688e+12	21239.3597204	2.06583707885e+16
