,ligand,mean,var_propagated,std_propagated,var,std,stderr,median,mad,std_prop %,std %
cl1.1,S7P_linear,-19.3534460317,26.4630764834,5.1442274914,26.4630764834,5.1442274914,0.6481117443,-19.7347,3.3406,26.5804213006,26.5804213006
cl1.2,S7P_linear,-16.9661952381,31.1509533205,5.5813039086,31.1509533205,5.5813039086,0.7031781968,-17.7096,3.1831,32.896614888,32.896614888
cl1.3,S7P_linear,-32.7099349206,60.1097634147,7.7530486529,60.1097634147,7.7530486529,0.9767923161,-33.0272,5.745,23.7024276317,23.7024276317
cl1.4,S7P_linear,-26.3266460317,57.5546016939,7.5864749188,57.5546016939,7.5864749188,0.9558059982,-26.8972,5.6532,28.8167163781,28.8167163781
cl1.5,S7P_linear,-29.8919301587,19.6994872719,4.4384104443,19.6994872719,4.4384104443,0.5591871549,-29.464,3.0098,14.8481895305,14.8481895305
cl2.1,,,,,,,,,,,
cl2.2,S7P_linear,-28.2364666667,68.144679721,8.2549790867,68.144679721,8.2549790867,1.0400296067,-29.9736,4.7655,29.2351701936,29.2351701936
cl2.3,S7P_linear,-22.3476714286,61.4643953941,7.8399231753,61.4643953941,7.8399231753,0.9877374771,-22.9399,4.8534,35.0816110767,35.0816110767
cl2.4,,,,,,,,,,,
cl2.5,,,,,,,,,,,
cl3.1,S7P_linear,-24.4013063492,46.2930423879,6.8038990577,46.2930423879,6.8038990577,0.8572107073,-23.9036,4.9239,27.8833393605,27.8833393605
cl3.2,S7P_linear,-33.8570539683,57.4110308336,7.5770067199,57.4110308336,7.5770067199,0.9546131173,-34.1948,6.3916,22.3794034975,22.3794034975
cl3.3,S7P_linear,-24.8534126984,76.0034983094,8.7179985266,76.0034983094,8.7179985266,1.0983645729,-25.2827,6.006,35.0776717562,35.0776717562
cl3.4,S7P_linear,-13.7145730159,33.3356452163,5.7737029034,33.3356452163,5.7737029034,0.7274181917,-13.8616,4.0164,42.0990350679,42.0990350679
cl3.5,S7P_linear,-30.7267936508,30.1759641387,5.4932653439,30.1759641387,5.4932653439,0.6920863803,-31.0852,3.2394,17.8777695009,17.8777695009
cl4.1,S7P_linear,-36.4056269841,72.2751551423,8.5014795855,72.2751551423,8.5014795855,1.0710857504,-37.2869,6.7973,23.3521032042,23.3521032042
cl4.2,S7P_linear,-7.5632936508,72.6816962314,8.5253560765,72.6816962314,8.5253560765,1.0740939056,-8.826,5.2975,112.720151698,112.720151698
cl4.3,,,,,,,,,,,
cl4.4,,,,,,,,,,,
cl4.5,S7P_linear,-10.6691269841,25.186567828,5.0186221045,25.186567828,5.0186221045,0.632286953,-11.9749,3.8633,47.0387325222,47.0387325222
cl5.1,S7P_linear,-40.0033365079,116.239858009,10.7814589926,116.239858009,10.7814589926,1.3583361555,-38.882,7.3412,26.9513993925,26.9513993925
cl5.2,S7P_linear,-32.0646888889,44.0525421302,6.6372089112,44.0525421302,6.6372089112,0.8362097228,-33.5257,4.7102,20.6994333678,20.6994333678
cl5.3,S7P_linear,-32.1286904762,40.7160702561,6.3809145313,40.7160702561,6.3809145313,0.8039196661,-32.9398,3.1296,19.8604874234,19.8604874234
cl5.4,S7P_linear,-26.5403206349,25.9975532686,5.0987795862,25.9975532686,5.0987795862,0.6423858464,-26.4336,3.5974,19.2114468259,19.2114468259
cl5.5,S7P_linear,-30.7865333333,55.192004426,7.4291321449,55.192004426,7.4291321449,0.935982672,-32.5192,4.9684,24.1311097435,24.1311097435
cl1.1,F6P,-13.567384127,22.0735876305,4.6982536788,22.0735876305,4.6982536788,0.5919243253,-13.7683,3.3691,34.6290311739,34.6290311739
cl1.2,F6P,-19.1132301587,119.806889515,10.9456333538,119.806889515,10.9456333538,1.3790201808,-15.7398,5.1214,57.2673130751,57.2673130751
cl1.3,F6P,-3.6270142857,128.052887028,11.3160455561,128.052887028,11.3160455561,1.4256877317,-7.7337,5.9007,311.993410136,311.993410136
cl1.4,,,,,,,,,,,
