frame	deltaG
1	-60.3491
2	-65.0421
3	-55.428
4	-65.8867
5	-60.8737
6	-69.2989
7	-57.6019
8	-69.6394
9	-64.6833
10	-63.0592
11	-63.8611
12	-61.973
13	-61.2426
14	-60.1773
15	-56.4194
16	-67.7021
17	-69.8924
18	-67.6181
19	-70.087
20	-60.9838
21	-49.3715
22	-55.2943
23	-52.6117
24	-48.5567
25	-58.4902
26	-49.7923
27	-56.8079
28	-64.4598
29	-56.2123
30	-58.0985
31	-62.6792
32	-59.0273
33	-64.3415
34	-62.5879
35	-59.4856
36	-52.5212
37	-65.6034
38	-57.3425
39	-61.4909
40	-62.6125
41	-56.4302
42	-57.9757
43	-66.3012
44	-66.1169
45	-63.8075
46	-67.971
47	-55.4766
48	-63.3926
49	-65.4768
50	-64.7119
51	-63.4911
52	-56.2559
53	-57.4329
54	-66.6043
55	-56.0452
56	-54.652
57	-63.269
58	-62.6487
59	-59.5724
60	-60.9245
61	-54.6653
62	-49.9159
63	-59.0415
64	-63.5963
65	-66.4199
66	-55.1024
67	-60.5048
68	-58.1562
69	-52.4741
70	-57.6652
71	-60.5043471429
73	5.26770742039
