	all	dKd	Keq	Km1	Km2	Km3	Km4	kcat	Ki
0	0.20721131413	0.211996609219	0.211996609219	0.209603961675	0.206759769198	0.204818666585	0.20721131413	0.19352872564	0.210800285447
1	0.209152416742	0.211996609219	0.211996609219	0.206759769198	0.208407637902	0.210800285447	0.206014990357	0.189691569638	0.20721131413
2	0.205563445425	0.211996609219	0.211996609219	0.208407637902	0.20721131413	0.20721131413	0.208407637902	0.179448565864	0.210800285447
3	0.20721131413	0.211996609219	0.211996609219	0.208407637902	0.204818666585	0.204367121653	0.208407637902	0.194747085646	0.209603961675
4	0.206014990357	0.210800285447	0.210800285447	0.210800285447	0.20721131413	0.209603961675	0.211996609219	0.197101032414	0.210800285447
5	0.208407637902	0.211996609219	0.211996609219	0.209603961675	0.210800285447	0.206759769198	0.209603961675	0.19352872564	0.204303596851
6	0.209603961675	0.211996609219	0.211996609219	0.210800285447	0.211996609219	0.209603961675	0.211996609219	0.19352872564	0.210800285447
7	0.206014990357	0.210800285447	0.211996609219	0.210800285447	0.210800285447	0.209603961675	0.20721131413	0.18408849626	0.209603961675
8	0.211996609219	0.210800285447	0.210800285447	0.206759769198	0.20795609297	0.211996609219	0.210800285447	0.170651548621	0.211996609219
9	0.206759769198	0.210800285447	0.211996609219	0.20721131413	0.208407637902	0.210800285447	0.209603961675	0.197101032414	0.204818666585
10	0.208407637902	0.208407637902	0.210800285447	0.209603961675	0.209603961675	0.210800285447	0.209603961675	0.189691569638	0.209603961675
11	0.210800285447	0.210800285447	0.210800285447	0.209603961675	0.211996609219	0.208407637902	0.20721131413	0.195937434879	0.209603961675
12	0.208407637902	0.210800285447	0.209340749577	0.209603961675	0.209603961675	0.210800285447	0.209603961675	0.18258758215	0.210800285447
13	0.209603961675	0.211996609219	0.211996609219	0.208407637902	0.20721131413	0.208407637902	0.20721131413	0.188346613209	0.205562885032
14	0.209603961675	0.211996609219	0.211126371739	0.210800285447	0.208407637902	0.209603961675	0.209603961675	0.18408849626	0.210800285447
15	0.209603961675	0.210800285447	0.211996609219	0.208407637902	0.209603961675	0.209603961675	0.210800285447	0.18408849626	0.210800285447
16	0.210800285447	0.211996609219	0.211996609219	0.206759769198	0.210800285447	0.211996609219	0.209603961675	0.188346613209	0.211996609219
17	0.209603961675	0.211996609219	0.211996609219	0.211996609219	0.211996609219	0.211996609219	0.211996609219	0.195937434879	0.210800285447
18	0.209603961675	0.211996609219	0.211996609219	0.209603961675	0.209603961675	0.20721131413	0.210800285447	0.197101032414	0.209603961675
19	0.209603961675	0.211996609219	0.211996609219	0.208407637902	0.209603961675	0.204367121653	0.210800285447	0.189691569638	0.20721131413
