	e4p	f6p	g3p	s7p
0	4.88889285129e-05	0.00251990918215	0.000270158961737	0.000881581784474
1	4.88305905243e-05	0.00251969572315	0.000270315639569	0.000881550592987
2	4.87700072739e-05	0.00251981555082	0.00027039005152	0.000881806983067
3	4.89100525161e-05	0.00251978997701	0.000270029030723	0.000881789553852
4	4.89267900907e-05	0.00251963107096	0.00026950967942	0.000881936355701
5	4.88204623178e-05	0.00251961620604	0.000270504831226	0.000881647807748
6	4.89061294994e-05	0.00251958609882	0.000270108823122	0.000881781418009
7	4.87547310809e-05	0.00251955004403	0.00027060655854	0.000881669005293
8	4.89798832239e-05	0.00251929381361	0.000269680696579	0.000881748672213
9	4.89220144443e-05	0.00251963613289	0.000270224536625	0.000881558829924
10	4.88596004941e-05	0.00251986960076	0.000269875436553	0.000881562142061
11	4.88060773791e-05	0.002519866425	0.000270022917389	0.00088140307961
12	4.89038812181e-05	0.00251972324414	0.000270489372851	0.000881977601814
13	4.8919853644e-05	0.00251971534283	0.000270320288265	0.00088171010637
14	4.88082292336e-05	0.00251926552937	0.000270412361025	0.000881455855976
15	4.88409954269e-05	0.00251985708125	0.000270169529714	0.000881820607926
16	4.89346177325e-05	0.00251989385044	0.000270259814453	0.000881724011421
17	4.88103462118e-05	0.00251967222473	0.000270114446768	0.000881597492471
18	4.89523216477e-05	0.00251971681388	0.000270062315951	0.000881548931515
19	4.88673702382e-05	0.00251990538703	0.000269992014602	0.000881734026404
20	4.88546321386e-05	0.00251975917367	0.000269926607692	0.0008817476849
21	4.88141760651e-05	0.00251988345949	0.000269702378534	0.000881787469248
22	4.88310279903e-05	0.00251947464261	0.000270420902048	0.000881529639735
23	4.88948002091e-05	0.00251962110188	0.000270272916772	0.000881768491561
24	4.89350121296e-05	0.00251984038183	0.000270364670719	0.00088161733749
25	4.88478380311e-05	0.0025197824822	0.000270134585319	0.000881787110476
26	4.88967924095e-05	0.00251910123474	0.000269949922285	0.000881723911489
27	4.8930762392e-05	0.00251954251843	0.000270846225448	0.00088172242744
28	4.89777006949e-05	0.00251924085637	0.000269794029727	0.000881704040047
29	4.88261790422e-05	0.00251971015148	0.000270041930387	0.000881535292984
30	4.89156457185e-05	0.00251945842623	0.000270297999049	0.000881761932825
31	4.89129199915e-05	0.0025190484542	0.000269919627277	0.000881858200693
32	4.87890398745e-05	0.00251921540236	0.000270129755197	0.000881881772744
33	4.88743629913e-05	0.00251978117994	0.000269747388413	0.000881734807712
34	4.88732370087e-05	0.00251969384066	0.000269384836808	0.00088170763376
35	4.89092278076e-05	0.00251960143672	0.000269838505338	0.000881612592674
36	4.8846744743e-05	0.00251971158274	0.000270192300943	0.000881687313255
37	4.89220108818e-05	0.00251963779787	0.000270121826592	0.000881671792681
38	4.89124842002e-05	0.00251966002963	0.000270349188478	0.000881719820825
39	4.89662897434e-05	0.00251996901896	0.000269479483949	0.000881890929812
40	4.87906007907e-05	0.00251985090806	0.000270157271311	0.000881670374211
41	4.89211294268e-05	0.00251990352372	0.000269691053733	0.000881710243604
42	4.87734777397e-05	0.00251989119807	0.00027020418704	0.00088175861966
43	4.89427161185e-05	0.00251926763797	0.000269614577947	0.000881591550134
44	4.88703958718e-05	0.00251991183599	0.000270379821697	0.000881646654595
45	4.89098639731e-05	0.00251960036427	0.000269651664746	0.000881766382365
46	4.87799063517e-05	0.00251949029645	0.000270287863404	0.00088169235628
47	4.87718319379e-05	0.00251954897624	0.000270259011438	0.000881657366634
48	4.88298858108e-05	0.00251959697153	0.000270791729432	0.000881700303333
49	4.89028785616e-05	0.00251987758213	0.00027003728941	0.000881615398495
50	4.88958882298e-05	0.00251967779309	0.000270229363267	0.000881600057311
51	4.88738275178e-05	0.0025196806701	0.000269956405391	0.000881335190911
52	4.8941708293e-05	0.00251943287471	0.000270491631372	0.000881615394953
53	4.88441271199e-05	0.00251975294373	0.000269733719704	0.000881918085219
54	4.89299312909e-05	0.00251923602399	0.000270531916246	0.000881717973466
55	4.88646195724e-05	0.00251952220142	0.000270129411675	0.000881659917722
56	4.8845595089e-05	0.00251991320501	0.000270151690017	0.000881760987748
57	4.89837230256e-05	0.00251967813698	0.000269880509178	0.000881724713654
58	4.89325749243e-05	0.00251980612942	0.000270297549956	0.000881622268708
59	4.88211086783e-05	0.00251995673388	0.000269699803243	0.000881549591105
60	4.89223102441e-05	0.00251948858707	0.000270144827974	0.00088177073831
61	4.89653457393e-05	0.00251982703499	0.000270820162154	0.000881691653826
62	4.89616105809e-05	0.00251958059763	0.000269866248888	0.000881743967431
