frame	deltaG
1	-10.2065
2	-15.005
3	-16.1163
4	-22.8337
5	-14.7333
6	-13.9079
7	-9.6584
8	-13.034
9	-0.4728
10	-7.6126
11	-6.0313
12	-1.3705
13	5.0255
14	-10.3851
15	-16.3327
16	3.0914
17	1.0215
18	-15.2633
19	-10.5412
20	-9.5319
21	1.1199
22	-9.7462
23	-11.2005
24	-3.557
25	6.4897
26	-10.8476
27	-21.1918
28	-6.5202
29	-16.3871
30	-10.8464
31	-10.7898
32	-12.3998
33	-6.516
34	-13.3591
35	-8.7994
36	-2.7453
37	-13.8409
38	-14.3559
39	-5.9364
40	-9.0663
41	-14.0545
42	-16.9847
43	-7.0266
44	-9.2244
45	-6.406
46	8.6959
47	-10.1206
48	-3.7179
49	-4.7802
50	-11.6355
51	4.3118
52	-3.9885
53	-6.064
54	-9.0593
55	-10.0146
56	-17.0385
57	-13.1454
58	-9.7805
59	-4.8911
60	-15.4783
61	-6.767
62	-10.1003
63	3.1821
64	2.6804
65	4.248
66	4.4416
67	5.2816
68	-11.0314
69	-0.7662
70	-8.6921
71	-7.74743428571
73	7.02332634079
