frame	deltaG
1	9.4249
2	-9.7701
3	-14.5363
4	-7.0832
5	-20.3091
6	-21.9632
7	-21.5775
8	-20.199
9	-9.2333
10	-16.2053
11	-20.6789
12	-24.3813
13	-15.0438
14	-24.6299
15	-11.3606
16	-7.1665
17	-12.4772
18	-24.8106
19	-28.1885
20	-15.7309
21	-21.965
22	-18.5408
23	-18.4846
24	-10.5328
25	-4.542
26	-11.1195
27	-15.7447
28	-3.2191
29	0.7211
30	-11.8103
31	-9.3575
32	-12.1227
33	-4.7236
34	-7.5767
35	4.9137
36	-2.3982
37	-12.6401
38	-19.5234
39	-17.4738
40	-9.9223
41	-15.016
42	-9.5782
43	-3.2441
44	-5.8498
45	-9.7606
46	-10.0915
47	-6.2251
48	-10.7888
49	1.1372
50	-13.7408
51	-9.7999
52	-26.4518
53	-16.4272
54	-11.2724
55	-8.2925
56	-10.4927
57	-9.815
58	0.4254
59	-5.1107
60	-17.9223
61	-21.1288
62	-22.0757
63	-15.6838
64	-17.449
65	-12.5363
66	-14.0059
67	-20.0458
68	-16.0217
69	-7.6837
70	-8.7171
71	-12.5092457143
73	7.53553726463
