	TALA2	TALA2&f6p	TALA2&mod	TALA2&mod&e4p	TALA2&mod&g3p	TALA2&mod&pi	TALA2&pi	TALA2&s7p
0	6.21165482065e-07	4.36357660159e-12	6.23739035059e-07	1.21782513491e-07	2.10388220313e-07	7.87236405762e-07	7.81998017746e-07	1.8422409113e-06
1	6.09959269135e-07	4.07252655974e-12	6.13207223142e-07	2.31388403286e-07	4.09916221243e-07	7.73666487969e-07	7.6784932316e-07	1.72037536028e-06
2	6.09463070504e-07	3.87447979356e-12	6.1305813691e-07	1.12239483775e-07	3.59221153045e-07	7.82302681954e-07	7.71064050072e-07	1.6348528523e-06
3	6.08706721432e-07	4.27346769331e-12	6.11862372219e-07	1.78548890276e-07	3.91924598655e-07	7.84461913091e-07	7.70538566781e-07	1.803253724e-06
4	6.25828987967e-07	4.06431495965e-12	6.2815426067e-07	2.90428629463e-07	8.70709252471e-08	7.95694317558e-07	7.88306725991e-07	1.71577559248e-06
5	6.1172129745e-07	4.37867609365e-12	6.14402810217e-07	7.80689044192e-08	3.89463166844e-07	7.8092878482e-07	7.69431388032e-07	1.84754201288e-06
6	6.04006870921e-07	3.43131660908e-12	6.07723907366e-07	2.39955963782e-07	4.85133596618e-07	7.6580197905e-07	7.61056522637e-07	1.4499784223e-06
7	6.13970699073e-07	3.83626370294e-12	6.1735738742e-07	1.29040410949e-07	3.47754575697e-07	7.80514604602e-07	7.73666923202e-07	1.61873805328e-06
8	6.14782147809e-07	4.15465262994e-12	6.17073499545e-07	4.0083132208e-08	2.50174419844e-07	7.8625096445e-07	7.80438428269e-07	1.7530318594e-06
9	6.1871964546e-07	3.87142813124e-12	6.21514907759e-07	2.39710870004e-07	2.23413037773e-07	7.91601193192e-07	7.80311500153e-07	1.63472437521e-06
10	6.25956933305e-07	4.31547820644e-12	6.28825765922e-07	3.2018416943e-07	4.34070780464e-08	7.9900089671e-07	7.9042240116e-07	1.82134664024e-06
11	6.19162928948e-07	4.24525892672e-12	6.21973548515e-07	2.29764609037e-07	2.64413822182e-07	7.97135194615e-07	7.7879091662e-07	1.79124295724e-06
