frame	deltaG
1	-53.7958
2	-41.4033
3	-43.3622
4	-43.918
5	-44.603
6	-31.6188
7	-35.8726
8	-46.1308
9	-40.8872
10	-49.0322
11	-36.7953
12	-47.1819
13	-40.4186
14	-44.9045
15	-50.2675
16	-42.7042
17	-42.9183
18	-41.0241
19	-40.4546
20	-40.429
21	-48.6773
22	-45.0543
23	-44.1317
24	-34.5937
25	-39.7482
26	-43.5267
27	-46.5908
28	-42.6548
29	-52.2369
30	-47.6118
31	-46.0961
32	-47.994
33	-44.0213
34	-52.414
35	-49.2106
36	-51.8282
37	-48.9295
38	-53.3376
39	-42.6074
40	-43.2453
41	-46.3676
42	-39.4323
43	-52.697
44	-51.9622
45	-39.3674
46	-44.2407
47	-48.1607
48	-43.0878
49	-43.9334
50	-48.1383
51	-53.0434
52	-53.0414
53	-52.6464
54	-44.8439
55	-48.6631
56	-43.7421
57	-49.8061
58	-36.2952
59	-45.2447
60	-48.538
61	-30.5988
62	-45.0551
63	-40.3556
64	-43.2718
65	-40.9743
66	-34.6923
67	-40.7357
68	-40.6957
69	-33.5879
70	-45.0454
71	-44.4356628571
73	5.42880377504
