	all	dKd	Keq	Km1	Km2	Km3	Km4	kcat	Ki
0	0.197933957858	0.211996609219	0.210800285447	0.205563445425	0.19764072395	0.182674982725	0.20721131413	0.18408849626	0.185166704149
1	0.196737634086	0.211996609219	0.209603961675	0.208407637902	0.201229695268	0.176241818931	0.206014990357	0.179448565864	0.198544638725
2	0.199575111396	0.211996609219	0.208407637902	0.20317079788	0.200778150335	0.173849171386	0.20721131413	0.186965787079	0.206014990357
3	0.199581826563	0.211996609219	0.210800285447	0.204818666585	0.202719252948	0.181478658952	0.206014990357	0.16869743327	0.197189179018
4	0.199581826563	0.211996609219	0.210800285447	0.203622342812	0.200033371495	0.160561253663	0.208407637902	0.174351544514	0.20242601904
5	0.20242601904	0.210800285447	0.209603961675	0.20721131413	0.198385502791	0.174534214508	0.210800285447	0.18408849626	0.201974474108
6	0.195992855246	0.211996609219	0.211996609219	0.20721131413	0.194344986541	0.185692937674	0.210800285447	0.185547125427	0.194229291399
7	0.203622342812	0.211996609219	0.208407637902	0.208407637902	0.201974474108	0.170553433977	0.210800285447	0.194747085646	0.194344986541
8	0.200778150335	0.211996609219	0.209603961675	0.206759769198	0.201974474108	0.188363367679	0.211996609219	0.185547125427	0.197863184043
9	0.199130281631	0.209603961675	0.211996609219	0.204367121653	0.20242601904	0.185714972075	0.210800285447	0.170651548621	0.201229695268
10	0.202719252948	0.210800285447	0.210800285447	0.20391557672	0.204367121653	0.181418923235	0.209603961675	0.18258758215	0.198385502791
11	0.197933957858	0.210800285447	0.209603961675	0.205563445425	0.201522929176	0.175253963874	0.208407637902	0.188346613209	0.193716425915
12	0.195005000189	0.211996609219	0.210800285447	0.198385502791	0.200326605403	0.16996696616	0.20795609297	0.188346613209	0.196464148182
13	0.198385502791	0.210800285447	0.210800285447	0.20242601904	0.193088927051	0.17977105453	0.209603961675	0.189691569638	0.20317079788
14	0.20317079788	0.209603961675	0.210800285447	0.204367121653	0.199130281631	0.187460277815	0.210800285447	0.186965787079	0.196734804751
15	0.191207560156	0.211996609219	0.210800285447	0.205563445425	0.196286089154	0.182223437793	0.210800285447	0.179448565864	0.188976894714
16	0.200033371495	0.209603961675	0.208407637902	0.20317079788	0.202719252948	0.177160360243	0.210800285447	0.18408849626	0.195378437205
17	0.203622342812	0.210800285447	0.211996609219	0.209603961675	0.200326605403	0.184774396362	0.210800285447	0.18258758215	0.194796531473
18	0.191867573804	0.210800285447	0.210800285447	0.206014990357	0.203622342812	0.17521925763	0.20721131413	0.177804684581	0.20242601904
19	0.199070545913	0.210800285447	0.209603961675	0.206759769198	0.200033371495	0.177220095961	0.205563445425	0.18258758215	0.19879113367
20	0.203622342812	0.208407637902	0.210800285447	0.204367121653	0.198385502791	0.178182921543	0.20795609297	0.179448565864	0.198678736699
