,patterns,count
0,"(2, 3, 2, 1, 3, 3, 1, 2, 3, 2, 2, 3)",2
1,"(1, 2, 3, 2, 2, 2, 2, 3, 3, 1, 3, 3)",1
2,"(1, 2, 3, 1, 3, 3, 2, 3, 3, 2, 2, 3)",2
3,"(1, 2, 2, 1, 3, 3, 2, 3, 3, 2, 2, 3)",1
4,"(1, 3, 2, 2, 2, 1, 1, 2, 3, 1, 2, 3)",1
5,"(2, 3, 1, 1, 3, 1, 3, 3, 3, 3, 3, 3)",1
6,"(2, 3, 3, 3, 2, 1, 1, 2, 3, 1, 3, 3)",1
7,"(1, 2, 3, 1, 3, 3, 3, 3, 3, 2, 2, 3)",1
8,"(1, 2, 2, 1, 2, 1, 2, 3, 3, 1, 2, 3)",1
9,"(2, 3, 1, 1, 2, 1, 3, 3, 3, 3, 2, 3)",1
10,"(1, 2, 3, 1, 3, 3, 1, 3, 3, 1, 2, 3)",1
11,"(1, 2, 3, 1, 3, 3, 2, 3, 3, 1, 2, 3)",2
12,"(1, 2, 2, 1, 3, 3, 3, 3, 3, 3, 2, 3)",1
13,"(1, 2, 1, 2, 2, 1, 2, 3, 3, 1, 2, 3)",1
14,"(2, 3, 1, 1, 3, 1, 2, 2, 3, 2, 2, 3)",1
15,"(2, 3, 1, 1, 3, 2, 2, 3, 3, 2, 2, 3)",1
16,"(2, 3, 1, 1, 3, 2, 1, 3, 3, 2, 2, 3)",1
17,"(1, 2, 2, 1, 3, 3, 2, 3, 3, 1, 3, 3)",1
18,"(2, 3, 1, 1, 2, 1, 1, 2, 3, 2, 3, 3)",1
19,"(1, 2, 2, 2, 2, 1, 3, 3, 3, 3, 2, 3)",1
20,"(1, 2, 3, 3, 2, 1, 3, 3, 3, 2, 2, 3)",1
21,"(1, 2, 3, 3, 2, 1, 2, 3, 3, 1, 3, 3)",1
22,"(1, 2, 3, 2, 2, 2, 2, 3, 3, 2, 2, 3)",1
23,"(2, 3, 1, 1, 3, 2, 3, 3, 3, 3, 2, 3)",2
24,"(1, 2, 2, 1, 3, 2, 1, 3, 3, 1, 2, 3)",1
25,"(1, 2, 3, 2, 2, 1, 2, 3, 3, 1, 3, 3)",1
26,"(1, 2, 3, 3, 2, 1, 3, 3, 3, 3, 2, 3)",2
27,"(1, 2, 3, 1, 2, 3, 3, 3, 3, 2, 2, 3)",1
28,"(3, 3, 3, 3, 2, 1, 1, 3, 3, 1, 2, 3)",1
29,"(1, 2, 3, 1, 3, 3, 3, 3, 3, 3, 2, 3)",1
30,"(1, 2, 1, 1, 3, 2, 2, 3, 3, 1, 2, 3)",3
31,"(1, 2, 1, 1, 3, 2, 3, 3, 3, 2, 2, 3)",1
32,"(1, 2, 3, 3, 3, 2, 2, 3, 3, 1, 2, 3)",2
33,"(2, 3, 2, 1, 2, 2, 1, 2, 3, 1, 2, 3)",1
34,"(2, 3, 1, 1, 3, 2, 1, 2, 3, 2, 2, 3)",1
35,"(1, 2, 2, 1, 3, 3, 3, 3, 3, 2, 2, 3)",1
36,"(1, 2, 3, 2, 2, 1, 3, 3, 3, 3, 2, 3)",1
37,"(3, 3, 3, 2, 2, 2, 1, 3, 3, 1, 2, 3)",1
38,"(2, 3, 1, 1, 3, 1, 1, 3, 3, 2, 2, 3)",1
39,"(1, 3, 1, 1, 3, 1, 1, 2, 3, 1, 3, 3)",1
40,"(1, 2, 2, 1, 2, 1, 2, 3, 3, 1, 2, 3)",1
41,"(1, 2, 3, 1, 3, 3, 2, 3, 3, 2, 2, 3)",1
42,"(2, 2, 2, 2, 2, 1, 3, 3, 3, 3, 2, 3)",1
43,"(1, 2, 1, 1, 3, 1, 2, 3, 3, 2, 2, 3)",1
44,"(2, 3, 1, 1, 2, 1, 2, 3, 3, 1, 2, 3)",1
45,"(1, 2, 1, 1, 3, 2, 2, 3, 3, 2, 2, 3)",1
46,"(2, 3, 1, 1, 3, 2, 2, 3, 3, 1, 2, 3)",1
47,"(1, 2, 3, 1, 3, 3, 1, 2, 3, 1, 2, 3)",1
48,"(2, 3, 3, 1, 3, 3, 1, 2, 3, 1, 2, 3)",1
49,"(2, 3, 1, 1, 3, 2, 1, 3, 3, 1, 2, 3)",1
50,"(2, 3, 1, 1, 3, 2, 3, 3, 3, 2, 2, 3)",1
51,"(1, 2, 3, 3, 2, 1, 3, 2, 3, 3, 3, 3)",1
52,"(1, 3, 1, 1, 3, 2, 2, 3, 3, 1, 2, 3)",1
53,"(3, 3, 2, 2, 2, 1, 1, 3, 3, 1, 2, 3)",1
54,"(3, 3, 3, 3, 2, 2, 1, 3, 3, 1, 2, 3)",1
55,"(1, 2, 3, 1, 3, 3, 2, 3, 3, 3, 2, 3)",1
56,"(2, 3, 1, 1, 2, 1, 3, 3, 3, 3, 2, 3)",1
57,"(1, 2, 3, 1, 3, 3, 2, 3, 3, 1, 3, 3)",1
58,"(1, 2, 2, 1, 3, 3, 3, 3, 3, 3, 3, 3)",1
59,"(1, 2, 1, 1, 3, 1, 2, 3, 3, 1, 2, 3)",3
60,"(2, 3, 3, 1, 2, 3, 1, 2, 3, 1, 2, 3)",1
61,"(1, 2, 2, 1, 3, 2, 2, 3, 3, 2, 2, 3)",1
62,"(1, 2, 1, 1, 3, 2, 2, 3, 3, 1, 2, 3)",2
63,"(1, 2, 3, 1, 3, 3, 3, 3, 3, 2, 3, 3)",1
64,"(2, 3, 1, 1, 3, 2, 2, 3, 3, 2, 2, 3)",1
65,"(3, 3, 1, 1, 3, 2, 1, 3, 3, 1, 2, 3)",1
66,"(1, 2, 1, 1, 2, 1, 3, 3, 3, 2, 2, 3)",1
67,"(1, 3, 1, 1, 3, 2, 1, 2, 3, 2, 3, 3)",1
68,"(2, 3, 2, 2, 2, 1, 1, 2, 3, 1, 2, 3)",1
69,"(1, 2, 3, 3, 2, 1, 2, 3, 3, 1, 2, 3)",1
70,"(1, 2, 2, 1, 3, 2, 3, 3, 3, 2, 3, 3)",1
71,"(3, 3, 3, 3, 2, 1, 1, 2, 3, 1, 2, 3)",1
72,"(2, 3, 1, 1, 3, 1, 3, 3, 3, 2, 2, 3)",1
73,"(2, 3, 1, 1, 3, 2, 3, 3, 3, 3, 2, 3)",2
74,"(1, 2, 2, 1, 3, 2, 2, 3, 3, 1, 2, 3)",1
75,"(1, 2, 1, 1, 3, 1, 3, 2, 3, 3, 3, 3)",1
76,"(2, 3, 1, 1, 3, 1, 1, 3, 3, 1, 3, 3)",1
77,"(1, 2, 3, 2, 3, 3, 2, 3, 3, 1, 2, 3)",1
78,"(1, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3)",1
79,"(1, 2, 1, 1, 3, 1, 3, 3, 3, 3, 2, 3)",1
80,"(2, 3, 3, 2, 2, 2, 1, 2, 3, 1, 2, 3)",1
81,"(1, 2, 3, 3, 3, 2, 2, 3, 3, 1, 2, 3)",1
82,"(1, 2, 3, 2, 2, 2, 2, 3, 3, 2, 2, 3)",1
83,"(1, 2, 3, 2, 2, 1, 3, 3, 3, 3, 2, 3)",1
84,"(1, 2, 3, 1, 2, 3, 2, 3, 3, 1, 3, 3)",1
85,"(3, 3, 1, 1, 3, 1, 2, 3, 3, 1, 2, 3)",1
86,"(2, 3, 3, 3, 2, 1, 1, 2, 3, 1, 2, 3)",2
87,"(1, 2, 3, 3, 2, 1, 3, 3, 3, 3, 2, 3)",2
88,"(1, 2, 3, 1, 3, 3, 2, 3, 3, 2, 2, 3)",2
89,"(2, 2, 3, 3, 2, 1, 1, 3, 3, 1, 2, 3)",1
90,"(2, 2, 3, 1, 3, 3, 1, 3, 3, 1, 2, 3)",1
91,"(1, 2, 1, 1, 3, 1, 2, 3, 3, 2, 2, 3)",1
92,"(1, 2, 1, 1, 3, 2, 2, 3, 3, 1, 2, 3)",1
93,"(1, 2, 2, 2, 2, 1, 2, 3, 3, 1, 3, 3)",1
94,"(1, 2, 2, 1, 3, 3, 2, 3, 3, 2, 3, 3)",1
95,"(1, 2, 3, 2, 2, 1, 2, 3, 3, 2, 2, 3)",1
96,"(1, 2, 2, 1, 3, 3, 2, 3, 3, 2, 2, 3)",2
97,"(1, 2, 2, 1, 3, 2, 3, 3, 3, 3, 2, 3)",1
98,"(1, 2, 2, 1, 3, 2, 1, 3, 3, 1, 2, 3)",1
