frame	deltaG
1	-25.0992
2	-39.9601
3	-33.8264
4	-22.2814
5	-38.8607
6	-31.7315
7	-33.4317
8	-26.0543
9	-29.1255
10	-25.4256
11	-22.0496
12	-31.2849
13	-12.1205
14	-28.92
15	-38.3018
16	-25.4671
17	-31.6798
18	-34.0363
19	-35.2557
20	-34.4783
21	-30.2945
22	-14.998
23	-27.8429
24	-21.3475
25	-20.0324
26	-18.2674
27	-17.2722
28	-5.3335
29	-12.219
30	-30.6144
31	-20.1563
32	-24.618
33	-30.5894
34	-16.7366
35	-25.8014
36	-34.8429
37	-23.1561
38	-30.4016
39	-21.4496
40	-25.0721
41	-27.955
42	-22.3241
43	-20.7732
44	-29.6186
45	-17.119
46	-23.7178
47	-26.0467
48	-11.483
49	-9.9403
50	-5.5212
51	-16.2855
52	-7.6673
53	-8.4957
54	-7.2025
55	-14.2307
56	-9.5442
57	-2.2667
58	-24.2782
59	-22.0323
60	-29.9212
61	-30.0891
62	-16.4491
63	-18.4164
64	-22.8057
65	-23.6583
66	-30.4514
67	-24.5288
68	-28.5711
69	-18.7894
70	-30.7423
71	-27.3847
72	-22.2716
73	-23.4352
74	-18.3007
75	-26.2692
76	-27.9144
77	-20.138
78	-19.1779
79	-29.0102
80	-30.0826
81	-24.5324
82	-31.3911
83	-26.7045
84	-29.1559
85	-22.3276
86	-29.8049
87	-18.9355
88	-28.4788
89	-25.8197
90	-35.7771
91	-30.0137
92	-24.9288
93	-27.2826
94	-25.883
95	-17.3251
96	-26.6958
97	-26.8789
98	-24.2069
99	-27.1092
100	-10.6139
101	-21.5923
102	-24.9877
103	-25.3114
104	-22.2635
105	-22.4713
106	-33.1792
107	-36.0153
108	-29.292
109	-14.7041
110	-28.229
111	-32.291
112	-25.6167
113	-30.4049
114	-22.221
115	-27.2576
116	-31.384
117	-28.852
118	-31.9723
119	-32.7246
120	-16.4331
121	-28.3224
122	-16.6042
123	-20.8365
124	-23.072
125	-20.1395
126	-24.4011
127	-19.9467
128	-12.7691
129	-18.2853
130	-19.6132
131	-8.9597
132	-16.2451
133	-4.2036
134	-24.584
135	-11.6828
136	-11.986
137	-14.8177
138	-2.3391
139	-17.1257
140	-23.2343414286
141	7.99901257248
