	TALA2	TALA2&f6p	TALA2&mod	TALA2&mod&e4p	TALA2&mod&g3p	TALA2&mod&pi	TALA2&pi	TALA2&s7p
0	4.41899165947e-07	3.20504049792e-07	5.0704640416e-07	1.24942794779e-07	5.68024057176e-07	8.42450935726e-07	7.1826526261e-07	4.01956112433e-07
1	3.99787487312e-07	5.16808143393e-07	4.58739771052e-07	1.42769878226e-07	1.11457770401e-06	7.62115533335e-07	6.49795609318e-07	1.66360459055e-07
2	4.05130704003e-07	3.54033519526e-07	4.64847839443e-07	5.80149700506e-08	1.1357531304e-06	7.72327590525e-07	6.58468391413e-07	5.10837470986e-07
3	4.22758312239e-07	4.65256472644e-07	4.85085780869e-07	1.43241327447e-07	7.85368254459e-07	8.05900323802e-07	6.87105699541e-07	3.2871364646e-07
4	4.32583640471e-07	4.65266785241e-07	4.96337262194e-07	8.15535187712e-08	6.66054386691e-07	8.06161738105e-07	7.03052288783e-07	4.47685666209e-07
5	4.22965491578e-07	3.74896815824e-07	4.85323179929e-07	1.22282074442e-07	7.95457374888e-07	8.06301251191e-07	6.87448957826e-07	2.7475479157e-07
6	4.27186501151e-07	5.46097666375e-07	4.90169138768e-07	8.17940863318e-08	9.96869108153e-07	8.14370463826e-07	6.94330077574e-07	3.07705708796e-07
7	4.20408473283e-07	5.69429605999e-07	4.8238916146e-07	1.78081122834e-07	8.49961201574e-07	8.01426097789e-07	6.8329088017e-07	3.00578962733e-07
8	4.34574249428e-07	2.58700919006e-07	4.98560845271e-07	1.24718145838e-07	9.65117581857e-07	8.28460555249e-07	7.0623255787e-07	3.30729445949e-07
9	4.20828187694e-07	2.67765165929e-07	4.65763496574e-07	1.30417402062e-07	9.63063614406e-07	8.02242246128e-07	6.83986230855e-07	1.69343544651e-07
10	4.18329474351e-07	3.81560991004e-07	4.80013901476e-07	9.6934650279e-08	6.40832888691e-07	7.97457755725e-07	6.79921081102e-07	4.0963327535e-07
11	4.24576131231e-07	3.36049823527e-07	4.87134745833e-07	1.57339240216e-07	4.55048439468e-07	8.09380346697e-07	6.90030260485e-07	1.72251609183e-07
12	4.26697012716e-07	4.1093375992e-07	4.89616310609e-07	1.46859073943e-07	6.42221736323e-07	8.06637468085e-07	6.93532528799e-07	2.3244174612e-07
13	4.23161648967e-07	3.95631423248e-07	4.85567908833e-07	3.23168482768e-08	1.06328656026e-06	8.0665889026e-07	6.87774424419e-07	5.63860701212e-07
14	4.27354945216e-07	3.15360004049e-07	5.0553687637e-07	2.73091536979e-07	5.48678816033e-07	8.39771546316e-07	7.16039540196e-07	2.26836183532e-07
15	4.22702794515e-07	2.78116269663e-07	4.84992467735e-07	1.11095522975e-07	1.23302564612e-06	8.05777288124e-07	6.86923044646e-07	2.63696552221e-07
16	4.32628212854e-07	6.17394877524e-07	4.9641097416e-07	1.59965433033e-07	6.96360320318e-07	8.24730357705e-07	7.03164243168e-07	3.79235069986e-07
17	4.40589084096e-07	2.04267903478e-07	5.05567263184e-07	1.28859968789e-07	7.85714564029e-07	8.3990499623e-07	7.1612243802e-07	2.80164552459e-07
18	4.22414383813e-07	1.58557280608e-07	4.84697309917e-07	1.51884712418e-07	9.11483378701e-07	8.05267529966e-07	6.8652337171e-07	2.15486885636e-07
19	4.47738981592e-07	3.33535672024e-07	5.13758616204e-07	9.13785038213e-08	8.41053753555e-07	8.402170234e-07	7.27745777363e-07	4.32217504101e-07
20	4.14800658282e-07	7.42939194132e-07	4.75897851134e-07	1.07670799394e-07	6.15690484922e-07	7.90770763689e-07	6.74133667332e-07	2.30502752652e-07
21	3.90068605951e-07	5.3230097609e-07	4.47577994213e-07	1.35510407594e-07	1.1962858366e-06	7.44694608167e-07	6.34001784203e-07	1.69194188503e-07
