	TALA2	TALA2&f6p	TALA2&mod	TALA2&mod&e4p	TALA2&mod&g3p	TALA2&mod&pi	TALA2&pi	TALA2&s7p
0	4.56294360401e-07	2.68198739643e-07	5.19284859685e-07	2.10313256187e-07	5.21480545397e-07	8.49941524888e-07	7.23671161829e-07	4.81315046967e-07
1	4.21700973097e-07	4.82095306297e-07	4.81773937458e-07	2.0422986845e-07	9.20674017924e-07	8.00334191468e-07	6.83240958126e-07	2.0180512695e-07
2	4.2704057208e-07	3.04656616058e-07	4.85513414752e-07	1.03890799986e-07	9.88560028753e-07	8.02133009948e-07	6.94039389716e-07	5.77793728954e-07
3	4.40640746285e-07	4.38847183653e-07	4.99101251677e-07	2.31373332295e-07	7.00119821812e-07	8.29131245917e-07	7.04652924291e-07	3.70378117108e-07
4	4.47074301427e-07	3.96788491137e-07	5.09010336336e-07	1.09433173854e-07	6.3157186886e-07	8.3249349101e-07	7.26555294835e-07	5.4552165937e-07
5	4.41356277449e-07	3.61023000646e-07	5.00854145865e-07	1.66203076294e-07	6.95121684959e-07	8.25964553956e-07	7.11328883757e-07	3.56278820779e-07
6	4.4255976132e-07	5.31808749551e-07	5.04801265171e-07	1.18972068502e-07	8.45368141728e-07	8.38625695017e-07	7.11131513484e-07	3.35496684242e-07
7	4.38865874494e-07	5.54778711491e-07	4.98656767707e-07	2.13869308699e-07	7.82082608121e-07	8.23177436899e-07	7.06751258819e-07	3.48686469124e-07
8	4.48417112233e-07	2.7941237178e-07	5.11306465145e-07	1.44651132023e-07	7.90094251455e-07	8.49584077234e-07	7.23695200938e-07	4.12843503665e-07
9	4.38984434788e-07	2.7427307727e-07	4.83028326154e-07	1.58775571575e-07	8.08742332305e-07	8.28878151387e-07	7.00669387017e-07	2.37238636583e-07
10	4.38427374251e-07	3.70740221665e-07	4.97164378576e-07	1.28371645563e-07	5.62289083112e-07	8.23503186127e-07	7.09196695666e-07	5.41142627106e-07
11	4.41497339516e-07	3.45015399808e-07	5.03500488389e-07	2.59594984992e-07	3.81897221248e-07	8.12547995836e-07	7.1753600468e-07	2.15528361836e-07
12	4.45072713462e-07	4.14407437162e-07	5.04943251395e-07	2.19170447832e-07	5.67305936936e-07	8.24255418132e-07	7.09506656547e-07	2.52744128104e-07
13	4.40090013458e-07	3.71516796269e-07	4.99435704101e-07	3.93161180606e-08	8.99495275485e-07	8.29643365346e-07	7.15242250294e-07	5.79354109258e-07
14	4.45993248015e-07	2.7002192486e-07	5.18036516305e-07	3.91989976981e-07	4.71118751078e-07	8.43106528911e-07	7.25710755145e-07	2.59319656034e-07
15	4.39564619908e-07	2.43934612942e-07	4.9943861469e-07	1.73058452642e-07	1.06270037856e-06	8.29724832542e-07	7.14278600382e-07	3.1551543961e-07
16	4.47217849302e-07	5.94918976917e-07	5.0910718882e-07	2.37027606409e-07	6.08797679286e-07	8.37342618486e-07	7.16256026297e-07	3.99514527287e-07
17	4.55333255868e-07	1.86269797318e-07	5.1935127774e-07	2.0891284318e-07	6.47471800354e-07	8.5483588235e-07	7.34414573452e-07	3.50722103081e-07
18	4.42046193901e-07	1.41381309998e-07	5.02904164848e-07	2.09968682835e-07	8.48473554004e-07	8.25949406749e-07	7.04574122951e-07	3.09924466327e-07
19	4.58914181293e-07	3.07117601691e-07	5.221897046e-07	1.19879802107e-07	7.49101383432e-07	8.55786095286e-07	7.45859202788e-07	5.60891785613e-07
20	4.39116796985e-07	6.49182412753e-07	4.96658709557e-07	1.93465318518e-07	6.23927585621e-07	8.14849272136e-07	6.91012993217e-07	2.37937383798e-07
21	4.14617969724e-07	4.79648032193e-07	4.71369832405e-07	2.5734588238e-07	1.00200880963e-06	7.82615621014e-07	6.71481763533e-07	1.88237173966e-07
22	4.366844064e-07	4.78541633315e-07	4.93795720334e-07	1.9458532554e-07	6.49474146244e-07	8.20331127445e-07	6.97803994893e-07	3.99297817944e-07
23	4.49679605204e-07	5.5939649132e-07	5.10196606552e-07	1.23511773674e-07	7.56000554105e-07	8.47540641998e-07	7.19834189023e-07	4.30874741123e-07
24	4.40209109035e-07	7.22516092549e-07	5.00050847101e-07	1.56419981023e-07	5.26699910704e-07	8.30756476183e-07	7.14697888512e-07	4.02680701712e-07
25	4.33073213047e-07	2.41509722846e-07	4.90299518314e-07	1.31596667376e-07	9.10860710073e-07	7.96805450504e-07	6.95987480081e-07	4.78551667142e-07
26	4.33918099625e-07	3.8399989671e-07	4.94187794509e-07	1.49499118226e-07	6.86837622999e-07	8.17048231692e-07	6.97309411083e-07	3.54551843333e-07
27	4.3060733018e-07	1.98455794796e-07	4.90607637332e-07	1.3898827923e-07	9.72856774497e-07	8.15009922902e-07	6.99290661583e-07	3.5933311687e-07
28	4.58614291136e-07	2.59687722953e-07	5.21403462215e-07	1.38898632768e-07	6.20948896812e-07	8.61309004191e-07	7.29887437345e-07	3.59858367307e-07
29	4.55802561344e-07	8.87301431844e-08	5.16393937821e-07	2.3755905892e-07	4.23464341705e-07	8.55261602884e-07	7.40817653961e-07	4.0588813464e-07
30	4.50948503169e-07	3.21082309384e-07	5.13147484231e-07	1.14696328531e-07	6.50306419244e-07	8.36027198462e-07	7.19748296707e-07	5.5339451812e-07
31	4.28717206343e-07	7.59910911521e-07	4.8464618509e-07	9.84675704242e-08	5.19111556727e-07	7.95661972566e-07	6.8347241967e-07	2.48457619802e-07
32	4.11363377808e-07	6.19000271173e-07	4.70077406734e-07	1.0682310703e-07	7.31540551667e-07	7.58319741733e-07	6.52740510081e-07	2.61122664219e-07
33	4.35163984178e-07	5.04170434081e-07	4.94525897741e-07	3.34309923242e-07	6.62515679929e-07	8.15525037766e-07	7.02534079679e-07	3.3114220223e-07
34	4.24858687192e-07	1.28752547727e-07	4.81535990512e-07	1.06696766732e-07	1.11273147352e-06	7.96782302555e-07	6.90452868901e-07	3.5125200152e-07
35	4.61865422147e-07	4.00442014128e-07	5.26415676227e-07	2.63522476072e-07	4.93849451076e-07	8.73291822263e-07	7.49294458582e-07	2.44897696922e-07
36	4.40539272564e-07	3.87650383862e-07	5.01995624602e-07	2.11082226444e-07	3.6308089062e-07	8.12319443802e-07	6.99961679754e-07	3.6070507157e-07
37	4.2517640882e-07	4.93473680203e-07	4.85403370943e-07	1.04158981326e-07	8.16032115127e-07	8.04501499051e-07	6.90891206288e-07	4.92822010665e-07
38	4.3760001482e-07	2.31399139682e-07	4.9624989181e-07	2.53527283998e-08	6.05370988127e-07	8.20307658492e-07	7.09977665176e-07	6.9612667232e-07
39	4.05323971572e-07	1.92572489198e-07	4.59464509093e-07	9.49703163764e-08	8.28295596917e-07	7.62610076055e-07	6.54718719384e-07	3.14112489438e-07
40	4.40833140724e-07	4.36407446794e-07	5.03399934375e-07	2.35964735675e-07	5.93882333881e-07	8.34131719119e-07	7.06112961164e-07	5.09945791e-07
41	4.70669137406e-07	8.28050473468e-08	5.37792584087e-07	3.68252110384e-07	7.99318958704e-07	8.84509095504e-07	7.61797478218e-07	5.53795411732e-07
42	4.24503865367e-07	2.58611232415e-07	4.84000423066e-07	2.662068564e-07	8.13104293263e-07	8.04087905478e-07	6.84814187058e-07	2.86788616538e-07
43	4.12214987122e-07	5.63593733394e-07	4.67369432578e-07	7.41563201033e-08	3.94163755733e-07	7.74783615375e-07	6.69920847394e-07	2.92484930583e-07
44	4.54260623997e-07	3.21934611102e-07	5.16664212213e-07	2.38239182274e-07	6.08696598399e-07	8.58658854069e-07	7.42562202252e-07	6.08903446501e-07
45	4.41644076664e-07	2.2826504228e-07	5.00826845657e-07	2.38173141041e-07	9.3468610943e-07	8.22895169813e-07	7.08965939114e-07	3.7384151705e-07
46	4.69741855137e-07	3.73660494152e-07	5.32256291743e-07	3.82913968378e-07	3.04027280581e-07	8.83756257587e-07	7.6053738859e-07	5.0912974986e-07
47	4.50517195526e-07	4.50447106139e-07	5.12403432223e-07	2.08080595749e-07	5.03732323946e-07	8.49206663363e-07	7.29103500212e-07	2.56685941803e-07
48	4.57060191346e-07	2.95118233818e-07	5.18399131451e-07	7.53750544508e-08	9.95525768881e-07	8.61206387421e-07	7.34243797279e-07	3.3978694751e-07
49	4.55874221796e-07	2.39335355818e-07	5.18544084079e-07	1.52250636707e-07	8.21087033339e-07	8.60302380368e-07	7.39365453939e-07	3.16051686432e-07
50	4.31224294084e-07	2.02361749227e-07	4.88068185279e-07	2.07250069095e-07	8.72136515973e-07	8.08271543828e-07	6.95694921307e-07	3.69504332075e-07
51	4.36877004584e-07	3.60506045209e-07	4.99132391426e-07	1.34933885658e-07	9.24338519777e-07	8.12252333743e-07	7.04514365748e-07	3.66110935989e-07
52	4.44661295465e-07	3.04097056463e-07	5.05524384429e-07	1.71827665643e-07	7.67742770279e-07	8.29807383778e-07	7.21247363505e-07	3.93980606847e-07
53	4.30552255595e-07	6.54229768888e-07	4.8755665433e-07	1.49447217653e-07	6.52144054938e-07	8.03541338597e-07	6.80874805621e-07	2.24242899316e-07
54	4.33198189977e-07	3.35989155315e-07	4.92859051273e-07	7.56436459654e-08	7.1407462259e-07	8.17630340973e-07	6.9735089027e-07	1.76720236044e-07
55	4.66090343773e-07	4.9720852603e-07	5.28952112647e-07	2.66411471777e-07	7.08155346976e-07	8.78728901516e-07	7.53069707696e-07	2.22661843888e-07
56	4.40570215272e-07	9.61453099125e-08	5.01503171427e-07	5.2062196096e-08	1.00150450025e-06	8.33094603404e-07	7.16043600753e-07	5.13278956964e-07
57	4.49488710673e-07	3.3815636881e-07	5.13726000364e-07	1.69968628811e-07	4.99954719827e-07	8.47731044936e-07	7.37459056225e-07	4.1698519446e-07
58	4.42441932228e-07	3.67431625926e-07	5.00588841855e-07	9.60529333083e-08	6.07886836523e-07	8.27062001828e-07	7.14523272593e-07	4.79821308848e-07
59	4.74690713461e-07	1.02404027253e-07	5.39164706866e-07	2.30331816795e-07	6.61595379612e-07	8.94411559898e-07	7.70538406692e-07	4.11619511771e-07
60	4.53970758658e-07	4.34572860785e-07	5.07010378014e-07	8.60165756713e-08	7.05530082686e-07	8.400519807e-07	7.27540968076e-07	5.28668065059e-07
61	4.11048720819e-07	4.62064889436e-07	4.67823810299e-07	6.59000951915e-08	6.47770073056e-07	7.53534393728e-07	6.60861550465e-07	2.24155013721e-07
62	4.54414385907e-07	4.92154527299e-07	5.18761764854e-07	3.70546769348e-07	6.90082751814e-07	8.28706304369e-07	7.18093140122e-07	1.4670586354e-07
63	4.32669322718e-07	3.51584201247e-07	4.93334785109e-07	1.04526866136e-07	7.86589202225e-07	8.16951375693e-07	7.03196548756e-07	3.73788996473e-07
