frame	deltaG
1	-29.2407
2	-30.9274
3	-37.8798
4	-38.0302
5	-46.7124
6	-36.5809
7	-46.2919
8	-44.3167
9	-21.7999
10	-31.7775
11	-47.0735
12	-31.6536
13	-37.7423
14	-33.9271
15	-34.0607
16	-18.2376
17	-32.3248
18	-19.2416
19	-7.888
20	-18.4672
21	-12.0074
22	-20.5258
23	-33.0757
24	-38.8458
25	-36.7141
26	-34.6434
27	-33.7029
28	-37.9091
29	-52.184
30	-56.3342
31	-55.3903
32	-53.7465
33	-52.254
34	-48.6768
35	-44.2169
36	-33.4564
37	-41.9512
38	-39.568
39	-43.9146
40	-35.8305
41	-39.0411
42	-41.515
43	-42.4805
44	-42.3988
45	-41.7358
46	-42.0031
47	-41.5818
48	-41.6862
49	-41.1468
50	-45.4032
51	-35.5767
52	-33.4364
53	-29.796
54	-48.629
55	-38.8103
56	-33.5459
57	-44.6621
58	-47.0154
59	-42.5892
60	-35.523
61	-44.3113
62	-33.1329
63	-50.3744
64	-61.0825
65	-60.7821
66	-57.7418
67	-63.961
68	-55.8697
69	-72.3019
70	-53.3846
71	-60.1063
72	-61.8618
73	-60.4724
74	-54.3647
75	-45.5226
76	-53.8929
77	-65.7561
78	-62.2563
79	-50.3333
80	-56.6753
81	-58.157
82	-60.7921
83	-62.4741
84	-57.4513
85	-48.9023
86	-58.3007
87	-31.4544
88	-46.1098
89	-46.4545
90	-55.8796
91	-53.6163
92	-54.308
93	-59.232
94	-50.1234
95	-58.4437
96	-55.1498
97	-55.0601
98	-51.8195
99	-55.1166
100	-61.7422
101	-51.8744
102	-50.2963
103	-54.3154
104	-44.2099
105	-37.8665
106	-52.5375
107	-54.9443
108	-52.3621
109	-51.9536
110	-30.6992
111	-54.44
112	-53.8874
113	-54.1439
114	-50.8947
115	-48.5095
116	-58.2447
117	-49.5647
118	-46.9116
119	-57.844
120	-62.6439
121	-54.4211
122	-48.8066
123	-52.19
124	-58.5773
125	-55.0681
126	-49.2515
127	-52.6844
128	-46.4938
129	-43.7415
130	-51.6574
131	-44.0708
132	-37.2169
133	-61.2684
134	-54.3126
135	-36.3951
136	-51.4927
137	-55.9615
138	-65.0006
139	-37.2423
140	-54.4125
141	-50.144
142	-55.9387
143	-37.274
144	-48.5312
145	-39.5755
146	-57.1829
147	-52.1158
148	-46.739
149	-47.5939
150	-46.0509
151	-47.1524
152	-51.5406
153	-54.2361
154	-55.6845
155	-52.1191
156	-57.9359
157	-54.262
158	-40.9624
159	-44.4426
160	-34.6894
161	-41.6464
162	-37.7958
163	-38.2159
164	-32.3108
165	-29.6061
166	-37.465
167	-41.2034
168	-42.9021
169	-32.5097
170	-44.7388
171	-35.4229
172	-43.8464
173	-43.5759
174	-39.9329
175	-31.3318
176	-32.6264
177	-35.9099
178	-36.3548
179	-42.6153
180	-41.0201
181	-34.5839
182	-36.4701
183	-37.9038
184	-44.6487
185	-43.9219
186	-28.4845
187	-45.6595
188	-42.3776
189	-42.0136
190	-44.5061
191	-45.3649
192	-44.1212
193	-22.7937
194	-40.1162
195	-29.3332
196	-23.1617
197	-21.9063
198	-25.1782
199	-23.6925
200	-13.25
201	-28.0216
202	-28.963
203	-29.1809
204	-43.1172
205	-19.8377
206	-22.8856
207	-21.1333
208	-26.9277
209	-35.4241
210	-28.1262
211	-31.8047
212	-34.004
213	-26.085
214	-13.6316
215	-21.0336
216	-41.2531
217	-26.4424
218	-33.5574
219	-25.1104
220	-35.7077
221	-9.7258
222	-20.6971
223	-34.4173
224	-33.4391
225	-30.9847
226	-37.2627
227	-34.0325
228	-45.9733
229	-39.5874
230	-43.8903
231	-40.9855
232	-45.8578
233	-35.9792
234	-43.1677
235	-48.6918
236	-40.4627
237	-47.0126
238	-38.0503
239	-47.244
240	-43.1251
241	-44.47
242	-46.6124
243	-44.8943
244	-41.8948
245	-51.7137
246	-43.8781
247	-31.0511
248	-33.4857
249	-33.2454
250	-42.1566
251	-29.2407
252	-45.9976
253	-40.343
254	-36.0747
255	-42.2682
256	-41.6342
257	-48.48
258	-43.5145
259	-36.7633
260	-38.7278
261	-41.9986
262	-29.0432
263	-27.1261
264	-42.7709
265	-41.0631
266	-42.8155
267	-34.679
268	-18.6445
269	-23.9966
270	-28.1885
271	-8.9317
272	-23.6002
273	-18.6848
274	-23.14
275	-33.9617
276	-24.7035
277	-21.5726
278	-19.0788
279	-21.8961
280	-21.1575
281	-16.3172
282	-21.2195
283	-9.7764
