frame	deltaG
1	-7.6028
2	-2.4266
3	-16.0016
4	-19.5742
5	-14.7346
6	-12.9066
7	-16.1312
8	-20.1077
9	-20.1214
10	-20.0435
11	-17.8767
12	-14.3147
13	-18.8996
14	-20.1949
15	-4.7768
16	-17.0565
17	-18.6881
18	-13.2978
19	-15.642
20	-20.0343
21	-15.8629
22	-19.3834
23	-25.9221
24	-17.1861
25	-9.7122
26	-11.5734
27	-0.2156
28	-14.0489
29	-7.4801
30	-17.0573
31	-13.7013
32	-14.7803
33	-10.8686
34	-13.0434
35	-13.8493
36	-1.9375
37	-7.6632
38	-7.6437
39	-13.9136
40	-5.9771
41	-14.7628
42	-4.9969
43	-10.7082
44	-6.6051
45	-14.4761
46	-8.9624
47	-18.8084
48	-13.4439
49	-14.305
50	1.6506
51	-4.3402
52	-9.0992
53	-5.7315
54	-0.23
55	0.0413
56	-11.0781
57	-4.4703
58	1.2085
59	0.3445
60	-2.9468
61	-8.9712
62	8.909
63	0.2939
64	3.1785
65	-0.1254
66	-2.9653
67	3.1968
68	11.4836
69	6.4955
70	16.9383
71	-9.36482714286
73	8.65465630167
