,ssd,Km_g3p,Km_e4p,Km_f6p,Km_s7p,kcat1_f,kcat2_f,Keq,Ki1,Ki2,dKd
0,0.0,3.8e-05,9e-05,0.0012,0.000285,71.4,79.4,1.31,0.019,0.019,1299934.0
1,7.81866877459e-07,0.00186725511052,0.00442255267263,0.0590059078655,0.0140102379734,99.9983235094,99.9984598538,8.72137815741e-08,1.65118284542e-09,1.65120110567e-09,1.21354163052e-06
2,7.81866877833e-07,0.00186866185159,0.00442152215894,0.059002210295,0.0140077213968,99.8798211889,99.8895950036,3.25484948578e-07,6.51324754364e-10,6.51379535106e-10,3.80005762592e-07
3,7.81866878666e-07,0.00186742796427,0.00442270819958,0.0590095038667,0.014010752395,99.9996325905,99.9996624709,1.06203612486e-07,2.69685589649e-10,1.65120110567e-09,1.0247296041e-06
4,7.81866879552e-07,0.00187085551831,0.00442027874811,0.059008052476,0.0140064916004,99.999995255,99.9999956409,1.63386025659e-06,1.90856102852e-10,7.30190761656e-10,9.85427193078e-07
5,7.81866879607e-07,0.00186376708197,0.00442315059889,0.0590009112404,0.014008251431,99.9932371818,99.9937871833,2.61857829737e-07,6.51379535106e-10,9.60434217536e-10,1.45024748922e-06
6,7.81866879626e-07,0.0018662909595,0.0044188532637,0.0590010480131,0.0140077416309,99.9999677527,99.9999703753,5.18257650535e-07,1.65120110567e-09,6.51489096588e-10,4.76714372849e-07
7,7.81866880342e-07,0.00187178669199,0.00441958295094,0.05900406201,0.0140063727175,99.999999558,99.9999995939,1.45886354735e-06,6.51397795353e-10,1.19062289267e-09,1.75234638403e-06
8,7.81866880967e-07,0.00186759662188,0.0044185041475,0.0589996250677,0.0140091461151,99.9893212874,99.9901897579,9.59202759629e-07,9.60397697042e-10,9.60415957289e-10,6.21777288233e-07
9,7.8186688158e-07,0.00187063874715,0.00441833387416,0.0590017099382,0.0140116968114,99.9992790834,99.9993377136,1.35064212571e-06,6.51379535106e-10,1.65116458518e-09,1.16042369095e-06
10,7.81866881729e-07,0.00186608563283,0.00442475929126,0.0590015619324,0.0140139228939,99.9770359882,99.9789035886,4.71623808709e-07,6.51489096588e-10,6.51397795353e-10,2.44450353124e-06
11,7.81866881888e-07,0.00187011444959,0.00441693609083,0.0590026747989,0.014008526054,99.984235852,99.9855179071,1.5325461341e-06,4.7688461367e-10,6.51397795353e-10,2.09987844985e-06
12,7.818668819e-07,0.00186766686012,0.00441980693811,0.0590045135329,0.0140140339652,99.9999950489,99.9999954515,1.62807748623e-07,6.51379535106e-10,1.65120110567e-09,2.96677586077e-06
13,7.81866882914e-07,0.00186883169298,0.00442278205389,0.0589963919485,0.0140100795942,99.9915275274,99.9922165705,4.30529250927e-07,8.81677771727e-10,6.51397795353e-10,6.68750013641e-07
14,7.81866883234e-07,0.00186792027171,0.00441981284799,0.0589977483057,0.0140110917384,99.9898049524,99.9906340878,3.12176052608e-07,6.51361274859e-10,6.51379535106e-10,2.15046340371e-06
15,7.81866883342e-07,0.00186836797948,0.00441939257701,0.0589995387089,0.0140127968761,99.9980457108,99.9982046478,2.65894414205e-07,8.8165951148e-10,2.69649069155e-10,2.77170085564e-06
16,7.81866884365e-07,0.00187262268295,0.00441724973558,0.0590004036145,0.0140041238548,99.9988914705,99.9989816241,1.56570356341e-06,6.51343014612e-10,4.21136079226e-10,3.81919566455e-07
17,7.81866884427e-07,0.00187106564976,0.00441779977354,0.0590032592361,0.0140144455437,99.9999572964,99.9999607693,1.0193001998e-06,1.65120110567e-09,6.51379535106e-10,2.6515058379e-06
18,7.81866886374e-07,0.00187416537623,0.00441514136809,0.0590047718372,0.0140070216966,99.9999908939,99.9999916345,2.17059269625e-06,9.60415957289e-10,6.51379535106e-10,2.1873766361e-06
19,7.8186688721e-07,0.00187303270137,0.00441577194685,0.0590012294184,0.0140134298307,99.9999924738,99.9999930859,2.3106820952e-06,8.12544476148e-10,1.11190296736e-09,1.12795714066e-06
20,7.81866887826e-07,0.00186972511865,0.00441556007607,0.059005403981,0.0139995942962,99.9999919396,99.9999925951,1.26429519949e-06,1.19065941317e-09,6.51598658071e-10,2.56500054566e-06
21,7.81866888624e-07,0.00187398732344,0.0044195117505,0.0589971504516,0.0140140349499,99.9999853949,99.9999865827,2.03266787626e-06,3.93873530282e-11,6.51489096588e-10,5.07338763112e-07
22,7.81866888764e-07,0.00187317242022,0.00441517109616,0.0590105724325,0.0140034681818,93.0632715124,93.6274166784,1.74668669689e-06,3.93690927811e-11,8.81622990986e-10,2.58572404445e-06
23,7.81866890055e-07,0.00187091434005,0.00441385847945,0.0590048912236,0.0140010896389,99.9998391226,99.9998522063,2.59611016315e-06,4.5384018181e-10,1.65129240691e-09,2.8263441641e-06
24,7.81866890444e-07,0.00186619768167,0.004417962253,0.0589952917066,0.0140160241599,99.9999969884,99.9999972334,5.12501084828e-07,6.51489096588e-10,6.51379535106e-10,9.76375298968e-07
25,7.81866890517e-07,0.00186758913511,0.00442425626185,0.0590133979878,0.0140174281559,99.9999967557,99.9999970195,3.6895660403e-08,3.9350832534e-11,1.65118284542e-09,3.96513064661e-06
26,7.81866893097e-07,0.00186729401407,0.00442401296252,0.0589990392799,0.0140209054845,99.9999925039,99.9999931136,3.78166878643e-08,6.51489096588e-10,1.65120110567e-09,3.24442135333e-06
27,7.81866893803e-07,0.0018707066951,0.00441982596339,0.0589934665529,0.0140151118786,99.9986599681,99.9987689493,1.00916911808e-06,3.93873530282e-11,6.51324754364e-10,3.18846898662e-06
28,7.81866896245e-07,0.0018624257549,0.00442585903928,0.0589918710115,0.0140032180725,99.999999996,99.9999999963,1.36640854695e-06,6.51343014612e-10,1.11186644687e-09,3.49079810889e-06
