ssd,Km_g3p,Km_e4p,Km_f6p,Km_s7p,kcat1_f,kcat2_f,Keq,Ki1,Ki2,dKd
0,0.000038,0.00009,0.0012,0.000285,71.4,79.4,1.31,0.019,0.019,1299934
7.818668778366916e-7,0.00003799929025003215,0.00008999601931697345,0.0011992919793095177,0.0002849600764766584,0.12587942032849098,0.12859907633148407,1.3099999997443197,0.018999999999876237,0.018999999999876234,1.299933990462608e6
7.818668780269271e-7,0.00003799929033083667,0.00008999601987267325,0.0011992919650207587,0.0002849600863783279,0.00017782547481510932,0.00018166743826678576,1.3100000025278384,0.018999999999876237,0.01899999999991999,1.2999339988914835e6
7.818668781024629e-7,0.00003799929037464509,0.00008999601963308834,0.001199291943611261,0.0002849600685826331,2.472533882756691,2.5259535907491983,1.3100000023172982,0.018999999999876237,0.018999999999876272,1.2999339767237802e6
7.818668784077e-7,0.000037999290290396396,0.00008999601948035206,0.0011992919830567756,0.00028496007289396225,0.005597197073037721,0.005718125899893159,1.3099999958803292,0.019000000000138736,0.018999999999876234,1.2999339829975448e6
7.818668794536969e-7,0.00003799929025245942,0.00008999601928588556,0.0011992920031566314,0.0002849600772852489,0.01104167076044574,0.011280228782374491,1.3099999972799299,0.018999999999876234,0.019000000000313728,1.2999339810639329e6
7.818668797186443e-7,0.00003799929028297847,0.0000899960222924519,0.001199291997610596,0.00028496007501281693,0.10446574016124509,0.10672274842446897,1.3099999930449187,0.018999999999876237,0.018999999999876234,1.2999339905703624e6
7.818668797621754e-7,0.00003799929014194719,0.00008999601957396518,0.0011992919999401469,0.00028496007602009545,0.0011220755033012372,0.0011463182217112864,1.3099999983474322,0.018999999999919984,0.018999999999876237,1.29993397258986e6
7.81866880633412e-7,0.00003799929043878309,0.00008999601907426419,0.0011992918792179494,0.00028496008956834824,0.000012310179803346104,0.000012576144303974799,1.3099999994876252,0.018999999999876237,0.019000000000007483,1.2999340284344535e6
7.818668811139979e-7,0.000037999289625342663,0.00008999602381090958,0.0011992919857248506,0.00028496007266526146,0.011585280820012166,0.011835583700866313,1.3099999798331505,0.018999999999876237,0.019000000000313728,1.2999340164915477e6
7.818668820161248e-7,0.000037999289703836455,0.00008999602048837033,0.001199292033887771,0.0002849600781491482,0.00002430899891050572,0.000024834200831623653,1.309999992682957,0.01899999999987623,0.018999999999876234,1.2999339895826038e6
7.818668823337343e-7,0.00003799929146490915,0.00008999601706234067,0.0011992919321488914,0.0002849600661386186,6.468228119483242e-7,6.607975786120666e-7,1.3100000117766846,0.019000000000313724,0.018999999999876272,1.2999339471089747e6
7.818668824431439e-7,0.00003799929041251163,0.00008999601932226197,0.0011992918421360002,0.0002849600865530119,0.00001143574629209266,0.000011682818448374848,1.3099999985890443,0.019000000000313707,0.018999999999876234,1.2999340242379757e6
7.818668827949038e-7,0.00003799928989488499,0.00008999602363451051,0.0011992918971787847,0.00028496006114185564,0.00003093406915610997,0.00003160240748294251,1.3099999919771244,0.018999999999876224,0.018999999999876237,1.2999339675525888e6
7.818668830016307e-7,0.00003799928960403741,0.00008999602255099239,0.0011992918649246685,0.00028496009340030925,0.3182479814821717,0.32512380901147936,1.3099999946828216,0.018999999999876234,0.018999999999876237,1.299934014405283e6
7.818668839801981e-7,0.00003799928976704617,0.00008999602388022412,0.001199291973482579,0.0002849600561808309,9.811833352898688e-6,0.00001002382046164158,1.309999984927828,0.018999999999876244,0.019000000000051236,1.2999339802886914e6
7.818668869110976e-7,0.00003799929023713854,0.00008999602217707139,0.0011992920213460708,0.0002849600568839044,0.0006250368489935336,0.0006385409250443232,1.3099999971683243,0.018999999999876237,0.01899999999987624,1.2999339562771711e6
7.818668876774594e-7,0.00003799929024371573,0.00008999602146990101,0.0011992920395686008,0.00028496005785203253,0.0005400921659303063,0.0005517609906746296,1.3099999927294106,0.018999999999876234,0.018999999999919994,1.299933959192558e6
7.81866888521661e-7,0.00003799928857695489,0.00008999602371729974,0.0011992918062479756,0.0002849600794227864,0.7066582848267822,0.7219258156529418,1.309999981326865,0.019000000000313738,0.019000000000313728,1.299934004084403e6
7.818668887365453e-7,0.00003799929043344136,0.00008999602196516857,0.0011992920245598364,0.0002849600546535006,0.00016888901396039437,0.0001725379029418485,1.3099999994185478,0.019000000000007483,0.018999999999876234,1.2999339487971435e6
7.818668888344548e-7,0.000037999290369550866,0.00008999602258579292,0.0011992920226954076,0.0002849600531243679,0.00005670008051676608,0.00005792509982046888,1.309999988649752,0.018999999999876244,0.018999999999876244,1.299933955864109e6
7.81866890271062e-7,0.00003799929048553244,0.00008999601557746327,0.0011992917891758524,0.00028496006123823476,1.908758442568417e-6,1.9499976441286947e-6,1.310000007816167,0.01899999999987624,0.018999999999876237,1.299933992917039e6
7.81866891920355e-7,0.00003799928907317528,0.00008999603125987659,0.0011992919502430079,0.0002849600686489079,0.00025472444674584324,0.00026022783302998514,1.3099999706633385,0.018999999999876237,0.018999999999876237,1.2999340083200913e6
7.818668919597535e-7,0.00003799929016610693,0.00008999601930632345,0.0011992918401590872,0.0002849601097178759,0.0015626822197877296,0.0015964443596864465,1.3099999980008468,0.019000000000313707,0.019000000000011858,1.2999340374440108e6
7.818668944089823e-7,0.00003799928859009462,0.00008999601982469345,0.0011992917803917578,0.00028496009159313863,0.0926729454343913,0.0946751677098139,1.309999956245007,0.018999999999876237,0.018999999999876196,1.299934020622177e6
7.818668974283423e-7,0.000037999290307821687,0.00008999602466909263,0.001199292028951312,0.00028496003893188594,0.00003746584595221649,0.00003827530488083547,1.3099999701324518,0.018999999999876237,0.019000000000094986,1.2999339801061072e6
7.81866916851439e-7,0.000037999290976336104,0.00008999601339674287,0.001199291897838166,0.00028496001815852146,2.1264357645389e-6,2.1723779321982766e-6,1.3100000160297915,0.018999999999876234,0.018999999999876237,1.2999339251388249e6
7.818669478935944e-7,0.000037999287518895716,0.00008999602721204475,0.0011992920088275698,0.00028496000114205163,0.000011004398008226635,0.000011242150784518352,1.309999963083155,0.019000000000313724,0.01899999999996374,1.2999339151504869e6
7.81866952045653e-7,0.00003799928885890912,0.00008999602429756102,0.0011992920080314564,0.00028495999442638466,8.576072859629317e-6,8.76136105056422e-6,1.3099999724264182,0.01900000000005123,0.019000000000313728,1.2999339061918163e6
7.818670022450928e-7,0.000037999284178304186,0.00008999602483131059,0.0011992917629273288,0.0002849599795064986,0.0014768252155860134,0.0015087323996030623,1.3099999581181858,0.018999999999876237,0.019000000000313728,1.2999339198408467e6
1.091155042255724e-6,0.00003800561814390001,0.00008999183305266316,0.0011997971949857461,0.0002850072206063748,0.000537986871603541,0.0005496039416146771,1.3100353825024207,0.019000000000313724,0.01899999999996374,1.2995890440373558e6
0.5668638894613326,0.000051557430317221446,0.00013073476296584217,0.0015439697621044339,0.0003725984538655062,0.0018036738643615639,0.0018665151957952138,1.667497345369869,0.01900000001960709,0.019000000000357474,974436.828166969
2.956913169694162,0.00003799952216529956,0.00008999858252887539,0.0011995899200911316,1.2134963146479577e-9,4.5478816469725245e-7,4.646119666491392e-7,1.3099808060718465,0.019000000000313728,0.01900000000000748,1.2998571445150748e6
2.956927715928598,0.00003799966319764424,0.0000900014849670806,0.0011993279711792876,9.876094129576276e-10,2.0195866650722513e-7,2.0632243378420038e-7,1.309954920696535,0.018999999999876276,0.01900000000009498,1.299914443269064e6
2.9569697181696344,0.00003799945030977167,1.0669113772000181e-10,0.0011992901954242581,0.00028496118496069744,0.0006329186728714752,0.0006188014481928911,1.3100312459655272,0.018999999999876234,0.018999999999876237,1.2999331334264437e6
2.9569700265206293,0.00003798021985515918,0.00008994210139323966,0.0012077476278841352,9.32554942103088e-10,1.910378401931076e-6,1.9512951017591865e-6,1.3105064892110605,0.019010088501111994,0.019004783678473552,1.2983099120881862e6
2.9569728288594668,0.00003799943448624266,9.156931871733963e-11,0.0011992887199418004,0.00028496077711725657,0.0005007400211069583,0.0004895710455159862,1.310123824273032,0.018999999999876255,0.019000000000313766,1.2999330713862504e6
2.956982811922299,1.8027073362762137e-11,0.00008999620761308404,0.0011992924620044907,0.0002849646241132004,4.648479239902963e-6,4.748911167752973e-6,1.310019210825304,0.019000000000138722,0.018999999999876237,1.2999349718941806e6
2.956985582031446,0.00003800040805775646,0.00008999588235826826,0.0011992946636979508,9.171462872287476e-11,0.004732055913056547,0.004834292593287477,1.310031059023543,0.019000000031375607,0.01899999999768878,1.2999295141118448e6
2.95698686869992,0.00003799774035396086,0.00008999599603413178,0.0011992934422971517,7.182167898817007e-11,0.00023810396937026538,0.00024324825517390563,1.3100275770854766,0.018999999999876237,0.018999999999876237,1.2999675812046446e6
2.9569894341886798,0.00003792488680437459,3.415364461267829e-10,0.0012095500861082121,0.00028477886145645263,3.0520793711400343e-9,2.9834332331671265e-9,1.309697084144364,0.018951326947547975,0.018991504675471758,1.2992517109316958e6
2.956990922747506,0.00003799928071070273,3.029762375561542e-12,0.001199290224953288,0.00028495996652734627,2.495898140659591e-6,2.440227108856209e-6,1.3100213922012187,0.019000000000313728,0.018999999999876213,1.2999325273621022e6
2.9569912784745345,0.00003800225043937192,0.0000899760752244478,0.0011989828801949013,5.277576516989666e-12,0.00005545183637906417,0.00005664967342332662,1.3101595088640452,0.018999999999876217,0.018999999999876237,1.299948029632738e6
2.956991336708126,0.00003800053177239007,1.091465205691098e-12,0.0011991126772339404,0.0002849593333625933,2.359736940135316e-7,2.3071106104844988e-7,1.3099611288272575,0.018999999999832484,0.018999999999876234,1.2999274595731609e6
2.9569915069174053,0.00003800110800319037,0.00009000031867670897,0.0011993491653268568,1.1220998850893179e-13,1.9115736804287802e-6,1.952875633255681e-6,1.3099371045468562,0.019000000000094986,0.01899999999991999,1.2999338821443773e6
