,ligand,mean,var,std,std %
cl1.1,2PG,-13.7994014199,230.588740574,15.1851486846,110.042082425
cl1.2,2PG,-22.9737684211,75.8930909234,8.7116640732,37.9200482632
cl1.4,2PG,-10.5590443609,179.092180912,13.3825326793,126.739998639
cl1.1,PEP,-27.7018563895,495.448695901,22.2586768677,80.3508492528
cl1.2,PEP,-15.5044721805,367.928617072,19.1814654568,123.71569463
cl1.4,PEP,-27.6868165414,179.180480074,13.385831318,48.3473110677
2PG sumup,2PG,-15.7774047339,53.9526680455,7.3452479907,33.3244806221
PEP sumup,PEP,-23.6310483704,115.839754783,10.7628878459,24.3169931438
ddG,PEP-2PG,-7.8536436365,169.792422828,13.0304421578,99.1735840356
dKd,PEP-2PG,1.75080330478E-06,4.91873934591E-16,6231.90617854,51190319.1011
