,ligand,mean,var,std,std %
cl1.1,2PG,-13.7994014199,230.588740574,15.1851486846,110.042082425
cl1.2,2PG,-22.9737684211,75.8930909234,8.7116640732,37.9200482632
cl1.3,2PG,33.0178383459,249.390611881,15.7921059989,47.8290124068
cl1.4,2PG,-10.5590443609,179.092180912,13.3825326793,126.739998639
cl1.1,PEP,-27.7018563895,495.448695901,22.2586768677,80.3508492528
cl1.2,PEP,-15.5044721805,367.928617072,19.1814654568,123.71569463
cl1.3,PEP,-107.298662406,137.808000792,11.7391652511,10.940644541
cl1.4,PEP,-27.6868165414,179.180480074,13.385831318,48.3473110677
2PG sumup,2PG,-3.578593964,45.9352890181,6.7775577473,189.391638602
PEP sumup,PEP,-44.5479518793,73.7728621149,8.5891129993,19.2806013228
ddG,PEP-2PG,-40.9693579153,119.708151133,10.9411220235,26.7056223974
dKd,PEP-2PG,9.31627496215E-31,8.89900688751E-39,9.75310843868E-23,10468892855
