,ligand,mean,var_propagated,std_propagated,var,std,stderr,median,mad,std_prop %,std %
cl1.1,2PG,-8.9866714286,77.3431573433,8.794495855,77.3431573433,8.794495855,1.1080023304,-10.7082,6.3483,97.8615489048,97.8615489048
cl1.2,2PG,-14.4874714286,30.8558902789,5.5548078526,30.8558902789,5.5548078526,0.6998400076,-15.4512,3.2387,38.3421488004,38.3421488004
cl1.3,2PG,-19.7647650794,68.5058483086,8.2768259803,68.5058483086,8.2768259803,1.0427820566,-20.3322,4.9632,41.8766726905,41.8766726905
cl1.4,2PG,-3.8753111111,50.6459026648,7.1165934733,50.6459026648,7.1165934733,0.8966065006,-3.8917,5.0396,183.63928132,183.63928132
cl1.5,2PG,-23.8986968254,41.140510273,6.414086862,41.140510273,6.414086862,0.8080989869,-24.0208,5.1042,26.8386469306,26.8386469306
cl1.6,2PG,-13.7330857143,75.7487917009,8.7033781775,75.7487917009,8.7033781775,1.0965225821,-12.8357,6.3579,63.3752556315,63.3752556315
cl1.7,2PG,-7.2949809524,56.3208245615,7.5047201521,56.3208245615,7.5047201521,0.9455058658,-7.9548,4.4869,102.875116482,102.875116482
cl1.8,2PG,-19.301984127,27.6036174121,5.2539144847,27.6036174121,5.2539144847,0.6619310065,-20.138,3.956,27.2195565497,27.2195565497
cl1.9,2PG,-4.5081984127,50.4617867916,7.103646021,50.4617867916,7.103646021,0.8949752749,-5.5357,5.3883,157.571725348,157.571725348
cl1.10,2PG,-24.2800031746,31.5036377921,5.6128101511,31.5036377921,5.6128101511,0.7071476103,-24.9465,4.4385,23.1170074844,23.1170074844
cl2.1,2PG,-13.791215873,42.4606569944,6.5161842358,42.4606569944,6.5161842358,0.8209620469,-14.7697,4.4646,47.2488016703,47.2488016703
cl2.2,2PG,-31.2631873016,74.9460282284,8.6571374154,74.9460282284,8.6571374154,1.0906967937,-32.1817,5.3698,27.6911542379,27.6911542379
cl2.3,2PG,-27.4682428571,38.005917779,6.1648939795,38.005917779,6.1648939795,0.7767036347,-27.803,3.9548,22.4437144072,22.4437144072
cl2.4,2PG,-12.6112492063,79.6940695603,8.9271534971,79.6940695603,8.9271534971,1.1247156223,-13.0848,6.0802,70.7872261582,70.7872261582
cl2.5,2PG,-27.8892253968,52.3668050355,7.2364912102,52.3668050355,7.2364912102,0.9117121956,-29.7205,4.3517,25.9472649643,25.9472649643
cl2.6,2PG,-15.608231746,32.8704648238,5.7332769708,32.8704648238,5.7332769708,0.722325003,-16.0567,4.0409,36.7323926507,36.7323926507
cl2.7,2PG,-26.2589428571,59.8973296821,7.7393365143,59.8973296821,7.7393365143,0.975064749,-26.8929,3.6953,29.4731458019,29.4731458019
cl2.8,2PG,-15.7376396825,38.9393207713,6.2401378808,38.9393207713,6.2401378808,0.7861834752,-15.28,3.8339,39.6510404779,39.6510404779
cl2.9,2PG,-23.2195460317,57.5848021301,7.5884650708,57.5848021301,7.5884650708,0.9560567338,-22.4402,5.6467,32.6813670706,32.6813670706
cl2.10,2PG,-28.5621809524,34.9446477425,5.9113998124,34.9446477425,5.9113998124,0.7447663716,-28.6449,3.2005,20.6965981425,20.6965981425
cl3.1,2PG,-2.7890142857,37.2579033654,6.1039252424,37.2579033654,6.1039252424,0.7690222958,-3.2973,3.2279,218.856004923,218.856004923
cl3.2,2PG,-16.0421380952,40.4883476808,6.3630454722,40.4883476808,6.3630454722,0.8016683762,-17.2127,3.5418,39.6645723555,39.6645723555
cl3.3,2PG,-11.4400825397,62.2635764646,7.8907272456,62.2635764646,7.8907272456,0.9941381883,-12.9669,5.1376,68.9743908599,68.9743908599
cl3.4,2PG,-12.2488634921,66.8817448306,8.1781259975,66.8817448306,8.1781259975,1.0303470276,-12.3119,5.3047,66.766406555,66.766406555
cl3.5,2PG,-13.9372238095,63.8436030986,7.9902192147,63.8436030986,7.9902192147,1.0066729982,-13.5725,5.2089,57.3300631738,57.3300631738
cl3.6,2PG,-20.986847619,58.0973592336,7.6221623726,58.0973592336,7.6221623726,0.9603021948,-21.6761,4.5975,36.3187578759,36.3187578759
cl3.7,2PG,-15.7232079365,45.4763429703,6.7436149779,45.4763429703,6.7436149779,0.8496156271,-16.3339,5.1017,42.8895617557,42.8895617557
cl3.8,2PG,-10.0117666667,62.0551832448,7.8775112342,62.0551832448,7.8775112342,0.9924731274,-10.1387,4.4982,78.6825292325,78.6825292325
cl3.9,2PG,-17.1184190476,60.0793398958,7.7510863688,60.0793398958,7.7510863688,0.9765450915,-17.1445,5.3955,45.2792185259,45.2792185259
cl3.10,2PG,-8.7490968254,33.5198344073,5.7896316297,33.5198344073,5.7896316297,0.7294250226,-8.7746,3.8901,66.1740491072,66.1740491072
cl4.1,2PG,-27.3732539683,44.9170891812,6.7020212758,44.9170891812,6.7020212758,0.8443753132,-26.9144,4.6701,24.4838311279,24.4838311279
cl4.2,2PG,-26.9928253968,51.9826600663,7.2099001426,51.9826600663,7.2099001426,0.908362036,-29.3905,4.4824,26.7104315188,26.7104315188
cl4.3,2PG,-12.2681222222,85.3377688706,9.2378443844,85.3377688706,9.2378443844,1.1638589948,-11.3346,5.9759,75.299578999,75.299578999
cl4.4,2PG,-25.4725253968,51.1270925025,7.1503211468,51.1270925025,7.1503211468,0.900855788,-26.8561,4.9256,28.0707194729,28.0707194729
cl4.5,2PG,-17.2745904762,44.6646376294,6.6831607514,44.6646376294,6.6831607514,0.8419991105,-16.6908,3.9417,38.6878100563,38.6878100563
cl4.6,2PG,-15.5841333333,56.7436588279,7.5328386965,56.7436588279,7.5328386965,0.9490484694,-17.1126,4.7882,48.3365903988,48.3365903988
cl4.7,2PG,-29.0217349206,38.7777451474,6.2271779441,38.7777451474,6.2271779441,0.7845506767,-30.1369,4.3588,21.4569458412,21.4569458412
cl4.8,2PG,-28.9113285714,33.0019727874,5.7447343531,33.0019727874,5.7447343531,0.7237684974,-28.1815,3.8255,19.8701845849,19.8701845849
cl4.9,2PG,-15.5816904762,83.4456909831,9.1348613007,83.4456909831,9.1348613007,1.1508843458,-15.3082,7.204,58.6256113524,58.6256113524
cl4.10,2PG,-15.4453412698,63.2396562669,7.9523365288,63.2396562669,7.9523365288,1.0019002284,-14.7448,5.3668,51.4869590114,51.4869590114
cl5.1,2PG,-16.6035190476,40.316153805,6.34950028,40.316153805,6.34950028,0.7999618424,-16.5566,4.2263,38.2418947558,38.2418947558
cl5.2,2PG,-11.2317984127,141.744275835,11.905640505,141.744275835,11.905640505,1.4999697131,-9.2922,11.3048,105.999414053,105.999414053
cl5.3,2PG,-21.7261269841,30.6944370115,5.5402560421,30.6944370115,5.5402560421,0.6980066518,-22.4685,2.898,25.5004310989,25.5004310989
cl5.4,2PG,-28.5677873016,49.9251226722,7.0657712015,49.9251226722,7.0657712015,0.8902034962,-29.6741,4.7595,24.7333513335,24.7333513335
cl5.5,2PG,-21.323684127,56.9407177124,7.5459073485,56.9407177124,7.5459073485,0.9506949648,-20.897,4.6487,35.38744667,35.38744667
cl5.6,2PG,-27.2683111111,99.3304332007,9.9664654317,99.3304332007,9.9664654317,1.2556566182,-27.3928,7.4596,36.5496249146,36.5496249146
cl5.7,2PG,-23.0858238095,34.6992196336,5.8906043522,34.6992196336,5.8906043522,0.7421463899,-23.6529,3.368,25.5161106693,25.5161106693
cl5.8,2PG,-15.2706174603,50.0996557386,7.078111029,50.0996557386,7.078111029,0.8917581683,-15.9861,4.5047,46.3511776611,46.3511776611
cl5.9,2PG,-15.2124761905,47.7609319936,6.9109284466,47.7609319936,6.9109284466,0.8706951428,-17.0641,3.3398,45.4293460186,45.4293460186
cl5.10,2PG,-14.4111285714,59.5042673224,7.7139009147,59.5042673224,7.7139009147,0.9718601647,-13.1759,5.264,53.5273894512,53.5273894512
cl1.1,PEP,-26.6043619048,37.0358246627,6.085706587,37.0358246627,6.085706587,0.766726961,-27.8337,4.1407,22.8748451429,22.8748451429
cl1.2,PEP,-27.7575365079,61.7025706499,7.8550983858,61.7025706499,7.8550983858,0.9896493739,-26.9761,6.2928,28.2989752477,28.2989752477
cl1.3,PEP,-28.0414095238,51.2147926132,7.1564511186,51.2147926132,7.1564511186,0.9016280919,-28.5316,5.7033,25.5210106773,25.5210106773
cl1.4,PEP,-25.7524936508,39.7459232117,6.3044367878,39.7459232117,6.3044367878,0.794284376,-25.3375,3.9235,24.4808789134,24.4808789134
cl1.5,PEP,-41.4199587302,52.6926606408,7.2589710456,52.6926606408,7.2589710456,0.9145443886,-40.9128,5.473,17.5252976298,17.5252976298
cl1.6,PEP,-30.5735301587,37.3381622481,6.1104960722,37.3381622481,6.1104960722,0.7698501426,-31.1237,4.4402,19.9862300508,19.9862300508
cl1.7,PEP,-25.908731746,53.1949404253,7.2934861641,53.1949404253,7.2934861641,0.9188928848,-25.714,5.9156,28.1506877124,28.1506877124
cl1.8,PEP,-31.1989761905,59.0327748469,7.6832789125,59.0327748469,7.6832789125,0.968002155,-30.9391,4.9403,24.6267020609,24.6267020609
cl1.9,PEP,-28.1768365079,62.7469229337,7.9212955338,62.7469229337,7.9212955338,0.9979894307,-30.531,5.2382,28.1127923341,28.1127923341
cl1.10,PEP,-27.1618460317,63.6648290936,7.9790243197,63.6648290936,7.9790243197,1.005262574,-27.3102,4.7672,29.3758543154,29.3758543154
cl1.11,PEP,-8.334831746,102.656896509,10.131973969,102.656896509,10.131973969,1.2765087339,-9.4071,7.7244,121.561829654,121.561829654
cl1.12,PEP,-36.9427936508,29.6441497025,5.44464413,29.6441497025,5.44464413,0.6859606831,-36.6832,3.7298,14.7380411495,14.7380411495
cl1.13,PEP,-33.5031079365,22.2522288236,4.7172268149,22.2522288236,4.7172268149,0.5943147157,-33.2191,3.3039,14.0799678164,14.0799678164
cl1.14,PEP,-29.2994365079,49.2447995157,7.0174638949,49.2447995157,7.0174638949,0.8841173476,-28.8859,6.0287,23.9508493379,23.9508493379
cl1.15,PEP,-29.3334111111,66.628633387,8.1626364238,66.628633387,8.1626364238,1.0283955248,-28.8535,5.7819,27.8270958426,27.8270958426
cl1.16,PEP,-36.5800349206,56.376143522,7.5084048587,56.376143522,7.5084048587,0.9459700952,-36.7029,5.4659,20.5259641632,20.5259641632
cl1.17,PEP,-12.3834111111,222.563617753,14.9185662097,222.563617753,14.9185662097,1.8795626718,-14.3695,10.6475,120.472187153,120.472187153
cl1.18,PEP,-36.5441190476,42.5782605615,6.5252019556,42.5782605615,6.5252019556,0.8220981728,-35.3419,4.8035,17.8556827355,17.8556827355
cl1.19,PEP,-28.4363079365,41.0875829744,6.4099596703,41.0875829744,6.4099596703,0.8075790096,-29.2623,4.6804,22.541462431,22.541462431
cl1.20,PEP,-25.1083238095,35.9659013351,5.9971577714,35.9659013351,5.9971577714,0.7555708589,-24.8627,3.9676,23.8851379204,23.8851379204
cl2.1,PEP,-44.6971857143,26.8793535673,5.1845302166,26.8793535673,5.1845302166,0.6531894104,-44.8439,3.8334,11.599231884,11.599231884
cl2.2,PEP,-40.9727507937,27.0580821435,5.2017383771,27.0580821435,5.2017383771,0.6553574348,-40.8225,3.4082,12.6956044598,12.6956044598
cl2.3,PEP,-54.3668761905,26.7705699837,5.1740284096,26.7705699837,5.1740284096,0.6518663071,-54.5419,2.8158,9.5168764001,9.5168764001
cl2.4,PEP,-25.3042301587,38.7346710024,6.2237184225,38.7346710024,6.2237184225,0.7841148179,-24.7575,4.4718,24.595565182,24.595565182
cl2.5,PEP,-29.6404238095,31.9538564878,5.6527742293,31.9538564878,5.6527742293,0.7121826109,-29.0123,4.5609,19.0711653304,19.0711653304
cl2.6,PEP,-34.6501126984,30.2328708621,5.4984425851,30.2328708621,5.4984425851,0.6927386514,-34.9316,3.4512,15.8684695574,15.8684695574
cl2.7,PEP,-27.5169031746,43.8319439854,6.6205697629,43.8319439854,6.6205697629,0.8341133872,-27.6985,4.4188,24.0600103903,24.0600103903
cl3.1,,,,,,,,,,,
cl3.2,PEP,-16.1732253968,289.936624478,17.0275254949,289.936624478,17.0275254949,2.1452665668,-22.2335,9.0407,105.282187548,105.282187548
cl3.3,,,,,,,,,,,
cl3.4,,,,,,,,,,,
cl3.5,,,,,,,,,,,
cl3.6,,,,,,,,,,,
cl3.7,,,,,,,,,,,
cl3.8,,,,,,,,,,,
cl3.9,,,,,,,,,,,
cl3.10,,,,,,,,,,,
cl4.1,PEP,-40.7091111111,117.82574561,10.8547568195,117.82574561,10.8547568195,1.3675708136,-43.5976,5.6125,26.664195123,26.664195123
cl4.2,PEP,-24.4092253968,59.2031922273,7.6943610669,59.2031922273,7.6943610669,0.9693983753,-25.504,4.6185,31.5223483817,31.5223483817
cl4.3,PEP,-3.7678507937,60.8852561365,7.8029004951,60.8852561365,7.8029004951,0.9830730579,-3.8419,5.7176,207.091546944,207.091546944
cl4.4,PEP,-44.3903444444,169.698089838,13.0268219393,169.698089838,13.0268219393,1.6412252964,-49.1453,7.6602,29.3460708681,29.3460708681
cl4.5,PEP,-34.6543190476,24.283600772,4.9278393614,24.283600772,4.9278393614,0.6208494024,-34.5512,2.9279,14.2199861283,14.2199861283
cl4.6,PEP,-27.9451761905,138.916812594,11.7862976627,138.916812594,11.7862976627,1.4849339283,-28.1464,6.4358,42.176501527,42.176501527
cl4.7,PEP,-34.0490555556,48.4495524872,6.9605712759,48.4495524872,6.9605712759,0.8769495514,-34.9573,4.4392,20.4427734113,20.4427734113
cl4.8,PEP,-36.5647206349,38.4350720667,6.1996025733,38.4350720667,6.1996025733,0.7810765065,-36.896,3.5719,16.955148202,16.955148202
cl4.9,PEP,-25.9644857143,41.1352394806,6.4136759725,41.1352394806,6.4136759725,0.8080472197,-24.6111,4.7083,24.701725438,24.701725438
cl4.10,PEP,-22.1839619048,45.1744349144,6.7211929681,45.1744349144,6.7211929681,0.8467907194,-22.7304,5.0781,30.2975320502,30.2975320502
cl5.1,,,,,,,,,,,
cl5.2,PEP,-36.4620603175,158.158426452,12.5761053769,158.158426452,12.5761053769,1.5844403471,-39.5712,5.9182,34.4909345973,34.4909345973
cl5.3,,,,,,,,,,,
cl5.4,,,,,,,,,,,
cl5.5,PEP,-34.6763460317,37.2972530971,6.1071477055,37.2972530971,6.1071477055,0.769428288,-33.8112,3.9521,17.6118547783,17.6118547783
cl5.6,,,,,,,,,,,
cl5.7,PEP,-28.6756809524,49.149554525,7.0106743274,49.149554525,7.0106743274,0.8832619425,-28.2356,5.2456,24.4481529107,24.4481529107
cl5.8,,,,,,,,,,,
cl5.9,PEP,-32.4708269841,80.1768342493,8.9541517884,80.1768342493,8.9541517884,1.1281170873,-35.7105,3.7099,27.5759893419,27.5759893419
cl5.10,,,,,,,,,,,
cl6.1,,,,,,,,,,,
cl6.2,,,,,,,,,,,
cl6.3,,,,,,,,,,,
cl6.4,,,,,,,,,,,
cl6.5,,,,,,,,,,,
cl6.6,,,,,,,,,,,
cl6.7,PEP,-2.9704412698,205.28540105,14.3277842338,205.28540105,14.3277842338,1.8051311391,-6.0145,11.1681,482.345312774,482.345312774
cl6.8,,,,,,,,,,,
cl6.9,,,,,,,,,,,
cl6.10,,,,,,,,,,,
2PG sumup,2PG,-18.0042861905,1.0864225729,1.042315966,52.9588969687,7.277286374,1.0291637087,-15.8898888889,5.2653769841,5.7892657056,40.4197439264
PEP sumup,PEP,-29.5878319306,1.6099729873,1.2688471095,100.519642322,10.02594845,1.5289428049,-29.2994365079,4.7496190476,4.2884085338,33.8853771831
ddG,PEP-2PG,-11.5835457401,2.6963955602,1.6420705101,153.478539291,12.3886455793,1.8430529129,-13.409547619,10.0149960317,14.1758883415,106.950374758
dKd,PEP-2PG,3.64383895898E-09,1.65547464633E-10,8.02039607702E-08,3.44044871716E-18,3.8592530947,8.02039607702E-08,1.70350714173E-10,0.0033660429,2201.08412235,105911735897
