frame	deltaG
1	-43.7219
2	-60.1212
3	-67.5022
4	-65.2805
5	-52.3821
6	-53.2195
7	-65.8221
8	-69.6899
9	-59.2306
10	-54.1612
11	-58.5485
12	-57.677
13	-66.4927
14	-64.827
15	-62.2424
16	-71.5965
17	-64.5157
18	-66.8595
19	-66.2278
20	-60.8054
21	-54.2179
22	-59.9783
23	-74.0153
24	-73.5784
25	-58.535
26	-59.0164
27	-66.9791
28	-68.8645
29	-59.8846
30	-60.2244
31	-70.0889
32	-65.551
33	-60.8929
34	-62.3523
35	-80.8867
36	-52.6117
37	-46.1293
38	-62.941
39	-64.6104
40	-58.2946
41	-54.9449
42	-51.1938
43	-58.9785
44	-54.2652
45	-56.8025
46	-67.5559
47	-61.3267
48	-54.2965
49	-57.6951
50	-54.4171
51	-56.6808
52	-55.3036
53	-54.6563
54	-59.5246
55	-55.2461
56	-48.9478
57	-61.4521
58	-52.7847
59	-60.0525
60	-67.5192
61	-37.9469
62	-62.9778
63	-54.3783
64	-54.5027
65	-49.2371
66	-47.7114
67	-59.8838
68	-54.9116
69	-58.0265
70	-47.9945
71	-60.9406
72	-62.1978
73	-50.4446
74	-63.5785
75	-53.7848
76	-50.2561
77	-60.2608
78	-41.3755
79	-53.0756
80	-55.6253
81	-44.6561
82	-57.9292
83	-54.3067
84	-62.554
85	-54.9182
86	-54.6401
87	-46.2248
88	-57.4491
89	-50.7979
90	-55.336
91	-61.957
92	-64.8045
93	-59.2258
94	-76.3233
95	-57.5375
96	-61.8818
97	-39.4125
98	-36.2641
99	-41.7075
100	-38.8133
101	-62.0079
102	-50.2105
103	-62.2803
104	-58.6551
105	-46.878
106	-62.3225
107	-51.9352
108	-42.6761
109	-47.5988
110	-57.0962
111	-56.3109
112	-58.587
113	-45.9177
114	-57.3135
115	-38.7099
116	-38.7226
117	-49.3822
118	-49.6105
119	-46.9384
120	-64.7599
121	-50.5
122	-39.6945
123	-45.0529
124	-55.5
125	-58.7833
126	-51.1313
127	-51.6226
128	-56.3915
129	-45.3115
130	-51.8138
131	-47.9443
132	-61.1908
133	-52.6163
134	-48.1779
135	-72.3049
136	-49.8541
137	-59.0843
138	-52.9211
139	-44.8262
140	-56.286625
141	8.45728221135
