,ligand,group,mean,var,std,std %
cl1.1,G3P,G3P,1.5497520431,0.1003178833,0.3167299849,20.4374619999
cl1.1,G3P,backbone,1.3593627422,0.0831241019,0.2883125074,21.2093871948
cl1.2,G3P,G3P,1.8318493411,0.0577738073,0.2403618257,13.1212660518
cl1.2,G3P,backbone,1.8360590787,0.1540435383,0.3924838065,21.3764257924
cl2.1,G3P,G3P,1.3475643895,0.0541748685,0.2327549537,17.2722695489
cl2.1,G3P,backbone,1.5002946931,0.0598126802,0.2445663104,16.3012181204
cl2.2,G3P,G3P,1.4058407327,0.0357274724,0.1890171219,13.4451305516
cl2.2,G3P,backbone,1.4001464831,0.0344843653,0.1856996643,13.262874032
cl3.1,G3P,G3P,1.7316904838,0.0497193151,0.2229782838,12.8763359227
cl3.1,G3P,backbone,1.8413932844,0.4438724452,0.6662375291,36.1811642702
cl3.2,G3P,G3P,0.9431190421,0.1099197541,0.3315414817,35.1537257684
cl3.2,G3P,backbone,1.2638061131,0.0550497877,0.2346269116,18.5651033957
cl1.1,DPG,DPG,1.7615865582,0.068543414,0.2618079717,14.8620554836
cl1.1,DPG,backbone,1.7840015921,0.0889136052,0.2981838446,16.7143261507
cl1.2,DPG,DPG,1.8224875725,0.1006505204,0.3172546618,17.4077819018
cl1.2,DPG,backbone,1.4337236041,0.0347684363,0.1864629623,13.00550272
cl2.1,DPG,DPG,1.7667916943,0.1887521948,0.4344562059,24.5901204578
cl2.1,DPG,backbone,1.7937907917,0.1260128085,0.3549828285,19.789533434
cl2.2,DPG,DPG,1.3952522845,0.0717067807,0.2677812181,19.1923153282
cl2.2,DPG,backbone,1.6479962702,0.1067370425,0.3267063552,19.8244596245
cl3.1,DPG,DPG,1.764413483,0.1966222324,0.4434210554,25.1313572285
cl3.1,DPG,backbone,1.2262614031,0.0220067281,0.1483466483,12.0974735055
cl3.2,DPG,DPG,1.2118859415,0.0686735231,0.2620563358,21.6238448542
cl3.2,DPG,backbone,1.4215437104,0.06852566,0.2617740629,18.4147740941
rG3P_cl1.1,G3P,G3P,1.3552573552,0.0874286952,0.2956834375,21.8175121029
rG3P_cl1.1,G3P,backbone,0.9930493585,0.0153626346,0.1239460954,12.4813630188
rG3P_cl1.2,G3P,G3P,0.9625076567,0.013851516,0.1176924636,12.2276911497
rG3P_cl1.2,G3P,backbone,1.1301788244,0.0243738151,0.1561211554,13.8138453832
rG3P_cl2.1,G3P,G3P,1.3739692035,0.076617051,0.2767978522,20.1458556344
rG3P_cl2.1,G3P,backbone,1.1082325895,0.0239195552,0.1546594813,13.9555074254
rG3P_cl2.2,G3P,G3P,1.6573707381,0.048221944,0.2195949544,13.2495976526
rG3P_cl2.2,G3P,backbone,1.0929834162,0.0181258579,0.1346323062,12.3178727314
rG3P_cl3.1,G3P,G3P,1.3414059506,0.097047962,0.3115252189,23.2237838752
rG3P_cl3.1,G3P,backbone,1.0656329866,0.0171128762,0.1308161923,12.275914313
rG3P_cl3.2,G3P,G3P,1.5294685559,0.0878372371,0.2963734758,19.3775461836
rG3P_cl3.2,G3P,backbone,0.9661863371,0.013329497,0.1154534409,11.9493969758
rG3P_cl1.1,DPG,DPG,1.5488971893,0.0592873063,0.2434898484,15.7202072613
rG3P_cl1.1,DPG,backbone,1.5611330067,0.0794673661,0.2818995675,18.0573702731
rG3P_cl1.2,DPG,DPG,1.8775518677,0.0954255514,0.3089102644,16.4528218728
rG3P_cl1.2,DPG,backbone,1.2752444238,0.0333492978,0.1826179012,14.3202273853
rG3P_cl2.1,DPG,DPG,1.8063597722,0.0831764759,0.2884033217,15.9659955948
rG3P_cl2.1,DPG,backbone,1.0616529743,0.0216942357,0.1472896319,13.8736136433
rG3P_cl2.2,DPG,DPG,1.6628383792,0.0850611818,0.2916525018,17.5394377135
rG3P_cl2.2,DPG,backbone,1.3028920334,0.0558270089,0.2362773982,18.1348409649
rG3P_cl3.1,DPG,DPG,1.8259156441,0.0894567659,0.2990932395,16.3804522092
rG3P_cl3.1,DPG,backbone,1.1720174745,0.0235138738,0.1533423417,13.0836224737
rG3P_cl3.2,DPG,DPG,1.3871040289,0.1865333976,0.4318951234,31.1364623306
rG3P_cl3.2,DPG,backbone,1.2444746326,0.0553711686,0.2353107916,18.9084442095
