	v_gapd1	v_gapd2	v_gapd3	v_gapd4	v_gapd5	v_gapd6
0	-1.03893433976e-12	-1.03693209618e-12	-9.86342951759e-13	-9.9697355406e-13	-9.83562623708e-13	-1.01523585545e-12
1	-7.85045693816e-12	-8.78070630528e-12	-5.89634244208e-12	-9.1909010784e-12	-7.46938622065e-12	-7.57848037797e-12
2	-3.56431105063e-13	-4.07090702294e-13	-3.2392014418e-13	-4.7239974519e-12	-3.33011396236e-13	-3.49970052937e-13
3	-1.27556357133e-12	-1.27533823346e-12	-1.20869980691e-12	-4.59763564026e-12	-1.18408581551e-12	-9.09494701773e-13
4	-6.35645957528e-12	-6.40084881799e-12	-4.70067648001e-12	-5.66982572003e-12	-5.95582784479e-12	-6.20940625307e-12
5	2.84930473584e-12	2.34931925259e-12	2.6787487159e-12	1.46790912758e-12	2.71271893837e-12	2.71260791607e-12
6	2.58771546942e-14	-3.32515482163e-13	2.05946371068e-14	-7.32323923724e-13	1.88488114006e-13	2.51500209547e-14
7	-1.34254234249e-13	-1.33172661267e-13	-1.30485899863e-13	-1.40786774599e-12	-1.29507515823e-13	-1.27897692437e-13
8	1.6432515884e-12	1.66864482301e-12	-8.70995983671e-13	-3.28121904647e-12	1.54496034022e-12	1.54174134397e-12
9	-1.26036008886e-13	-1.26004350183e-13	-1.22124532709e-13	-1.25691124175e-13	-1.28525662335e-13	-1.2573839539e-13
10	-1.03945425265e-11	-1.11945815031e-11	-1.25782717575e-11	-1.4306549001e-11	-1.000294899e-11	-1.00727759467e-11
11	-3.67380408592e-13	-3.67116222404e-13	-4.11711029852e-13	-6.19155941795e-12	-4.09523109868e-13	-3.31817906485e-13
12	6.93637882592e-13	6.93483790358e-13	6.76569911207e-13	-2.22297180663e-12	6.76660116827e-13	7.1054273576e-13
13	5.82569516445e-12	5.85811401558e-12	4.71456207407e-12	5.76070788294e-12	5.56976253313e-12	5.61799565202e-12
14	-2.59244625008e-12	-2.63045092435e-12	-3.75928064719e-12	-4.5621429811e-12	-3.87067461416e-12	-3.83244998237e-12
15	1.85988152505e-12	1.77726377452e-12	1.73346038045e-12	4.72588114475e-13	1.71740117787e-12	1.77170778048e-12
16	1.3125924772e-13	1.4145390588e-13	-6.03961325396e-14	1.3983467162e-12	1.21809246717e-13	1.21833099165e-13
17	5.65946088279e-12	5.66417811092e-12	5.23029883293e-12	-4.41996265976e-13	5.29354338141e-12	5.26360205422e-12
18	5.10501854683e-12	5.10493654727e-12	4.82508564353e-12	5.48525808108e-12	4.26480725735e-12	4.91143237191e-12
19	-1.09318762674e-12	-1.09250697139e-12	-8.77136471095e-13	-2.94935191721e-12	-8.30362905171e-13	-1.04931514866e-12
20	4.16577337811e-12	4.16778848982e-12	4.04996782638e-12	5.67692832847e-12	3.59141709427e-12	4.12386791382e-12
21	5.04821036454e-12	5.07268771259e-12	4.5838541296e-12	4.89645129997e-12	4.69664585001e-12	4.75362414362e-12
22	6.06387162705e-12	6.0669533633e-12	3.77420317221e-12	5.34083888226e-12	5.63710536583e-12	5.63710363111e-12
23	-7.96666890985e-13	-7.93625961389e-13	-7.51810939892e-13	-2.69908401185e-12	-7.51916541183e-13	-7.51987881686e-13
24	-7.02629298602e-12	-7.02468443657e-12	-6.0631768703e-12	-8.90390539077e-12	-6.55375753666e-12	-6.55379483322e-12
25	-7.29855073405e-13	-3.99239452262e-13	-1.18854232012e-12	-3.44654426526e-13	-7.63221950917e-13	-8.7260277129e-13
26	1.504213617e-12	1.17731226244e-12	1.08313358282e-12	-1.55139941692e-12	1.43359705617e-12	1.45675485563e-12
27	9.82203535627e-13	1.07933627314e-12	9.11738566589e-13	-5.46244993682e-12	1.00517857926e-12	9.09494701773e-13
28	-8.28373536486e-13	-9.57037075457e-13	-8.89763523276e-13	-2.05034600409e-12	-6.03826016965e-13	-6.09717137889e-13
29	-1.91811600918e-12	-1.91763662241e-12	-7.72954616979e-13	-3.57318775263e-13	-7.75813441267e-13	-8.08630939986e-13
30	-4.88045500145e-12	-4.89746302323e-12	-4.98200786181e-12	-1.32836311395e-11	-4.52674117808e-12	-5.02280161907e-12
31	-4.34059645188e-12	-4.29364370121e-12	-4.13946567995e-12	-5.6620420158e-12	-4.13879260724e-12	-4.24013406851e-12
32	5.0218543313e-12	5.02163317439e-12	4.77445860625e-12	1.5338518216e-12	4.23450272242e-12	4.26253476959e-12
33	2.44480461266e-12	2.40272507294e-12	2.17548201675e-12	-9.450912275e-13	2.93595876777e-13	2.04636307899e-12
34	3.81931044137e-12	3.8187011062e-12	3.59279576576e-12	6.1879243049e-12	3.59586340738e-12	3.63975516393e-12
35	-1.86954301324e-12	-1.86771420812e-12	-1.9794166306e-12	-2.22330487354e-12	-1.77377557087e-12	-1.7866780104e-12
36	-8.54960498014e-14	-8.38635801428e-14	-6.83272882718e-14	-7.02510966066e-14	-7.98805466218e-14	-7.98853171113e-14
37	-9.4898158884e-13	-9.44946052829e-13	-8.09803613055e-13	-2.74666400735e-12	-8.0743051134e-13	-8.25606510241e-13
38	2.04514790519e-12	2.06348854019e-12	1.89228775878e-12	1.50714466948e-12	1.89981017029e-12	1.96283961307e-12
39	-2.81915822338e-12	-2.84850485213e-12	-2.63697917668e-12	-2.83851631436e-12	-2.64078689471e-12	-2.76680067746e-12
40	8.22027294256e-12	7.55939364924e-12	6.88077372857e-12	6.31353064447e-12	7.10617285501e-12	8.56009100408e-12
41	-1.84814637146e-12	-1.84660988757e-12	-2.79792855551e-12	-2.85332261291e-12	-1.76230167612e-12	-1.7862157066e-12
42	5.00917827318e-12	5.00897608981e-12	4.73720151647e-12	4.84421530667e-12	5.23428869692e-12	5.2342403415e-12
43	4.51886886742e-13	9.48153990217e-13	-1.38822286999e-12	-6.62100929638e-12	4.29189453074e-13	4.48247342022e-13
44	-1.22800600526e-14	-1.2107719341e-14	4.147294487e-13	-1.3565971263e-14	4.17083034776e-13	-2.06432093641e-14
45	-5.21601963282e-12	-5.20529675136e-12	-5.08337816285e-12	-4.64853502913e-12	-5.03136508151e-12	-5.04473849847e-12
46	-1.68571211677e-13	-1.68124303541e-13	-1.65978342181e-13	1.79852660542e-12	-1.58727198052e-13	-1.58727198052e-13
47	-1.678875043e-12	-1.6768262126e-12	-1.05648823023e-12	-5.37689337499e-12	-1.58439754372e-12	-1.60770832411e-12
48	-2.33006834855e-12	-2.32380851757e-12	-2.48734366437e-12	-2.45977457153e-12	-2.2601677474e-12	-2.25952589972e-12
49	6.06596299883e-12	6.0968700249e-12	5.73545377858e-12	6.92274709779e-12	5.71276359551e-12	5.82645043323e-12
50	-8.06560880909e-12	-8.06410374674e-12	-6.65201140698e-12	-8.90185191185e-12	-7.81511140524e-12	-7.97774867001e-12
51	1.12749111263e-13	1.17592350787e-13	1.09356967926e-14	2.32741170086e-12	2.27373675443e-13	9.94759830064e-14
52	3.74518108583e-12	3.7573731561e-12	2.24955557654e-12	1.73419612004e-12	3.24510817523e-12	3.29964159294e-12
53	2.87462036867e-13	2.1630787439e-13	1.31072236398e-13	2.42598042349e-13	2.01971035382e-13	2.84217094304e-13
54	6.24636247674e-13	6.25669438134e-13	5.73491341221e-13	1.60461921528e-15	6.53699316899e-13	5.95218319077e-13
55	4.55563870319e-12	4.55959787071e-12	4.18656515705e-12	3.25888274699e-12	4.42235137399e-12	5.48644463194e-12
56	-6.93837890788e-14	1.63726096482e-12	-2.47468712189e-13	-7.5980020886e-14	-6.70297151117e-14	-6.80080991522e-14
57	1.6809721204e-12	1.69428381915e-12	1.63750957238e-12	6.72388360268e-13	5.63613739013e-12	1.81898940355e-12
