	v_gapd1	v_gapd2	v_gapd3	v_gapd4	v_gapd5	v_gapd6
0	7.65406889345e-13	7.67433100575e-13	-4.65716874787e-13	7.66864870216e-13	7.38048511195e-13	7.65209076659e-13
1	2.35515135904e-12	2.3252410739e-12	2.51117182604e-12	2.96560345725e-12	2.22878529868e-12	2.2798013477e-12
2	-2.07384815294e-12	-2.07256553499e-12	-1.93343518279e-12	-2.62879475132e-12	-1.93801918957e-12	-1.94120977973e-12
3	2.90658182879e-12	2.90913232631e-12	1.56863411149e-12	-1.1457935295e-12	1.6976744446e-12	1.73370953011e-12
4	5.95959082593e-12	5.96142411694e-12	4.76269024219e-12	2.63797317324e-12	4.82004063398e-12	4.92381743017e-12
5	1.81658613391e-12	1.82168397121e-12	1.33415500869e-12	2.0571487222e-12	2.13162820728e-12	1.62376015411e-12
6	2.79757953728e-12	2.79738623758e-12	2.61120639e-12	4.20185587713e-13	2.62220800629e-12	2.62245780647e-12
7	4.67104653568e-12	4.67348431005e-12	4.44678668887e-12	4.94053452663e-12	4.47037892815e-12	4.47093057021e-12
8	3.28455503491e-12	3.286273597e-12	3.10539961801e-12	4.85071574921e-12	3.12973193368e-12	3.19688199524e-12
9	9.60068884202e-14	9.60077015718e-14	-2.57793786318e-13	-1.9257252043e-12	-2.56844458896e-13	1.14861245515e-13
10	-9.54909315141e-13	-1.19877230972e-12	-1.16745502154e-12	-1.37132319389e-12	-1.16572029807e-12	-9.43571609735e-13
11	3.13551281835e-12	3.14043441859e-12	2.79183208669e-12	2.96051811538e-13	2.66318390951e-12	2.8382365902e-12
12	-2.60595750979e-13	-2.61346662627e-13	-6.14592578219e-13	-7.32146114568e-13	-2.50090313042e-13	-2.51843251114e-13
13	-2.31667313913e-12	-2.31431909227e-12	-2.24653629033e-12	-2.30536119708e-12	-2.21582474591e-12	-2.21632087682e-12
14	-4.65051770964e-13	-4.35268520445e-13	-1.19626530903e-12	-2.37512483639e-12	-5.85594073232e-13	-6.06410754944e-13
15	4.20412816159e-12	4.20562556677e-12	2.32218996636e-12	5.69215464694e-13	3.99587524527e-12	4.02713929912e-12
16	-2.61196594139e-12	-2.6099890478e-12	-2.24885388089e-12	-2.24649552433e-12	-2.44970710384e-12	-2.44870790311e-12
17	-2.76533756018e-12	-2.76310896906e-12	-2.81979561229e-12	-2.81337366598e-12	-2.52489001928e-12	-2.57260358849e-12
18	-1.52661615445e-13	-1.40269198166e-13	-1.48860090921e-13	-2.34152974787e-12	-1.80404302608e-13	-1.44259604262e-13
19	-1.11347430299e-12	-1.13457223353e-12	-1.02451142188e-12	-1.98533854287e-12	-1.07607672772e-12	-1.06571002023e-12
20	3.40734941483e-12	3.40999301821e-12	3.22813260498e-12	3.05212279061e-12	3.36808532453e-12	3.5721161272e-12
21	1.25102488115e-12	1.29436512778e-12	1.42124940289e-12	3.11567438516e-12	1.24091362186e-12	1.12806292085e-12
22	2.42066482419e-12	2.42024054877e-12	2.2454737722e-12	1.81842735314e-12	2.25568522194e-12	1.74439976353e-12
23	1.47487831139e-12	1.47672033022e-12	8.30779889327e-13	-1.8162294585e-12	1.39114197592e-12	1.399144689e-12
24	-8.32898711751e-13	-8.18955526224e-13	-7.84547340288e-13	-5.50702495758e-13	-7.83262343873e-13	-8.05355782063e-13
25	-4.16450789055e-13	-4.55987623962e-13	-7.54886604615e-13	-3.24741730902e-12	7.47511427757e-13	-3.9195729995e-13
26	-1.66463988861e-12	-1.68636418306e-12	-4.28284361101e-12	-1.62156399419e-12	-7.0503282032e-14	-9.7269414745e-14
27	7.52462491187e-13	7.52278285238e-13	7.27862214944e-13	7.26564208103e-13	7.26724236344e-13	7.27000057377e-13
28	-9.21504680288e-13	-9.25404989183e-13	-1.09801057135e-13	-4.07902661301e-12	-1.32865940472e-12	-8.63642490856e-13
29	-3.12818340838e-13	-3.11033832153e-13	-8.88427244099e-13	-2.08663815393e-13	-9.0128859237e-14	-3.08819810002e-13
