,ssd,Km_2pg,kcat_f,Keq,dKd
0,0.0,0.0001,330.0,5.19,3.6e-09
1,8.41611546338e-23,152357.875727,6.67651792438e-11,1.05280802274e-10,6.24705180391e-10
2,8.50557319599e-23,486833.345178,6.56110855881e-11,1.24721470574e-10,6.24670714533e-10
3,8.65771157527e-23,341196.340239,1.28655604688e-10,1.05537501239e-10,6.2444094214e-10
4,9.04571862443e-23,499884.269255,1.7409588922e-10,1.24807036895e-10,6.24463919379e-10
5,1.07064685776e-22,79.8345191782,1.14617002758e-10,3.35146169006e-10,6.24969418643e-10
6,1.07099767296e-22,68346.7089638,1.11964309877e-11,3.54946215857e-10,6.24544339717e-10
7,1.07982807248e-22,244037.612346,1.32720770401e-10,3.3583069958e-10,6.24670714533e-10
8,1.08587299736e-22,164860.985927,8.48344963301e-11,3.55066008708e-10,6.24555828336e-10
9,1.08650522291e-22,453661.96765,1.44399509185e-10,3.35745133258e-10,6.24475407999e-10
10,1.09294969783e-22,210625.096053,1.02111450608e-10,3.55356934202e-10,6.24854532446e-10
11,1.09925468242e-22,498223.062718,1.20042965467e-10,3.54689516892e-10,6.24268612846e-10
12,1.1010808058e-22,32396.8970718,1.17545300093e-10,3.5539116073e-10,6.24888998305e-10
13,1.114575942e-22,24485.9098231,1.4467511364e-10,3.55168688294e-10,6.24774112109e-10
14,1.11672742848e-22,376073.428385,1.47861790152e-10,3.55322707673e-10,6.2476262349e-10
15,1.19276828347e-22,36439.3480595,2.67715277556e-10,3.35539774086e-10,6.24877509686e-10
16,1.20481407609e-22,1560.01470759,2.55760934317e-10,3.54655290363e-10,6.24257124226e-10
17,1.21125561152e-22,347552.402111,2.60136155041e-10,3.55100235237e-10,6.24578805576e-10
18,1.22409031632e-22,330087.004645,2.95895833088e-10,3.35847812844e-10,6.24372010422e-10
19,1.24310662701e-22,275064.961119,2.87851628055e-10,3.55185801558e-10,6.24774112109e-10
20,1.25177685128e-22,488653.400974,4.44687788276e-10,1.24789923631e-10,6.24659225913e-10
21,1.27885129513e-22,251398.563926,3.17530782812e-10,3.548777628e-10,6.24372010422e-10
22,1.28767623869e-22,86054.2897897,3.2342182804e-10,3.54963329122e-10,6.24567316956e-10
23,1.29059202045e-22,126729.077501,3.25385509782e-10,3.55185801558e-10,6.24682203152e-10
24,1.32525597477e-22,278123.023785,3.50224361296e-10,3.54860649536e-10,6.24567316956e-10
25,1.34597819199e-22,23195.1181494,3.63918457658e-10,3.5515157503e-10,6.24670714533e-10
26,1.41193680581e-22,271998.458991,4.0515577425e-10,3.55288481144e-10,6.2476262349e-10
27,1.42819131238e-22,446330.358196,4.14974182962e-10,3.54980442386e-10,6.24475407999e-10
28,1.43714659153e-22,312216.041317,4.19900612597e-10,3.55288481144e-10,6.24785600729e-10
29,1.47499832291e-22,4391.0050122,4.41173831474e-10,3.55185801558e-10,6.24693691772e-10
30,1.49168173512e-22,281500.424289,4.50217102656e-10,3.55066008708e-10,6.24555828336e-10
31,1.4965328042e-22,4696.58403483,4.53541581395e-10,3.54911989329e-10,6.2445243076e-10
32,1.49881469678e-22,268963.09524,4.53954988078e-10,3.55237141351e-10,6.24785600729e-10
33,1.52067636884e-22,58711.290155,8.61263922133e-13,5.85530339692e-10,6.24670714533e-10
34,1.6687060705e-22,53333.5818006,5.36532972932e-10,3.5527136788e-10,6.2476262349e-10
35,1.72508526323e-22,454449.786797,5.6221586309e-10,3.54860649536e-10,6.24349033183e-10
36,1.76036872382e-22,347265.531249,5.76943476159e-10,3.54860649536e-10,6.2445243076e-10
37,1.77453638157e-22,499810.592885,5.82145510248e-10,3.55254254616e-10,6.24555828336e-10
38,1.81520707448e-22,38931.8430763,5.99422464526e-10,3.54826423007e-10,6.2445243076e-10
39,1.84145482119e-22,182048.002311,6.09878208541e-10,3.54860649536e-10,6.2445243076e-10
40,1.90794541409e-22,31521.5218257,6.35061565624e-10,3.55185801558e-10,6.24659225913e-10
41,1.92703949253e-22,158597.425369,6.42778490367e-10,3.54860649536e-10,6.24372010422e-10
42,2.1000741401e-22,72176.0624991,5.2836819095e-10,5.85530339692e-10,6.24659225913e-10
43,2.17473213042e-22,437858.041166,5.61681879459e-10,5.85222300934e-10,6.24544339717e-10
44,2.26801065203e-22,108090.016629,7.59548652929e-10,3.5539116073e-10,6.24866021066e-10
45,2.31034804965e-22,205216.90663,7.72932694279e-10,3.5475796995e-10,6.24475407999e-10
46,2.35414122301e-22,49950.6697885,7.86523438971e-10,3.55083121972e-10,6.24555828336e-10
47,2.71806066771e-22,160794.647137,8.90925851612e-10,3.54980442386e-10,6.24578805576e-10
48,3.10242669927e-22,8969.18476087,1.11964309877e-10,1.04555199865e-09,6.24349033183e-10
49,3.18184084885e-22,442914.858601,1.00859172865e-09,3.55185801558e-10,6.24659225913e-10
50,3.21956954048e-22,346077.962656,2.58293050248e-10,1.04613384964e-09,6.24888998305e-10
51,3.26615962512e-22,499851.440553,9.29596601716e-10,5.65867198956e-10,6.24866021066e-10
52,3.3034730171e-22,499868.800697,7.32728894394e-10,8.15498386011e-10,6.24578805576e-10
53,3.45726753627e-22,2251.21402865,1.07234248417e-09,3.55134461765e-10,6.24636248674e-10
54,3.63637511525e-22,39.0819519354,8.34874795559e-10,8.15686631919e-10,6.24532851097e-10
55,3.67835238837e-22,32.3285728307,1.12699829267e-09,3.35539774086e-10,6.24590294195e-10
56,3.71187635092e-22,396484.255006,5.51863470746e-10,1.04608250985e-09,6.2476262349e-10
57,4.04355318082e-22,129115.793823,9.45064901757e-10,8.15823538034e-10,6.2476262349e-10
58,4.37958876896e-22,316261.269864,1.26271626152e-09,3.5499755565e-10,6.24475407999e-10
59,4.57576955074e-22,288148.565659,4.32750670315e-10,1.27593076331e-09,6.24555828336e-10
60,4.81735936197e-22,39.3779518621,9.15799153683e-10,1.04568890477e-09,6.24360521803e-10
61,4.93981015596e-22,417917.880197,1.36546504743e-09,3.55254254616e-10,6.24670714533e-10
62,5.32679237422e-22,18924.5850087,7.40997028047e-10,1.27601632964e-09,6.24578805576e-10
63,6.13606906832e-22,632.793473365,1.27294807691e-10,3.55322707673e-10,1.67769461155e-09
64,6.37504700855e-22,13.7841949655,6.42313407849e-10,1.50646354736e-09,6.24877509686e-10
65,7.08738608721e-22,114.21064141,9.90281257669e-11,1.7367054059e-09,6.24774112109e-10
66,7.17901363067e-22,465166.134118,9.73917243149e-11,7.96451322791e-10,1.67800480428e-09
67,7.19074273767e-22,38409.2285902,7.24460760742e-10,3.55134461765e-10,1.67783247499e-09
68,7.3042676054e-22,499884.790291,3.3901070503e-10,1.73651716e-09,6.24647737293e-10
69,7.34733538431e-22,12.668158944,3.01166768292e-10,7.96365756469e-10,1.67822308805e-09
70,8.0479192422e-22,23.2275812707,1.1041231229e-09,1.50649777388e-09,6.2476262349e-10
71,9.00109919322e-22,295293.315395,6.84704818096e-10,1.02633380279e-09,1.6780162929e-09
72,9.83639176933e-22,499807.567442,5.87399220173e-10,1.25684947357e-09,1.67811969048e-09
73,9.95671024863e-22,29.2662443184,6.35096016181e-10,1.25664411439e-09,1.67805075876e-09
74,1.06393223381e-21,319689.159647,3.18409272013e-10,1.48673195356e-09,1.67792438394e-09
75,1.09132951738e-21,461776.817622,1.36102092559e-09,1.73689365181e-09,6.24900486925e-10
76,1.09939679036e-21,98181.7438386,9.51696633957e-10,1.2563531889e-09,1.67771758879e-09
77,1.21407698769e-21,440872.145598,2.9520682195e-10,1.71705937843e-09,1.67792438394e-09
78,1.39013254321e-21,446547.056685,3.06058747369e-10,1.94721567066e-09,1.67772907741e-09
79,1.41343803971e-21,31773.2420154,4.50871663237e-10,1.94759216247e-09,1.67811969048e-09
80,1.43213084699e-21,217748.264505,1.06641698839e-09,1.71735030393e-09,1.67822308805e-09
81,1.44286388525e-21,468198.330885,5.8888059412e-10,1.94750659615e-09,1.6779014067e-09
82,1.54642466452e-21,275843.412731,2.95413525292e-11,2.65755304725e-09,6.24682203152e-10
