,ssd,Km_2pg,kcat_f,Keq,dKd
0,0.0,0.0001,330.0,5.19,3.6e-09
1,5.09896253136e-09,0.00491470013234,2.50140325961e-08,8.85527575053e-09,2.14854647588e+11
2,5.09896253144e-09,0.00491477767945,4.19895445013e-09,6.55265180587e-09,9.01959387055e+14
3,5.09896253148e-09,0.00491469361062,3.28886719878e-08,8.85536131685e-09,1.44378086012e+11
4,5.09896253173e-09,0.00491463244549,2.74731133466e-09,4.25021610713e-09,5.26132377533e+16
5,5.09896253587e-09,0.0049147624522,1.47785826674e-07,8.855241524e-09,31155082.5198
6,5.09896253615e-09,0.00491498752265,3.98258772762e-09,5.85273640727e-10,1149599094.1
7,5.09896253716e-09,0.00491501105381,6.54271196144e-09,2.26709680787e-08,58580499319.1
8,5.09896253724e-09,0.00491442314984,4.19776590592e-09,1.94760927574e-09,1.52986503539e+17
9,5.09896253782e-09,0.00491443731153,7.27966966169e-08,1.11577627891e-08,39723494480.4
10,5.09896253843e-09,0.00491439576402,4.43437233061e-09,3.55202914823e-10,5.68877214936e+15
11,5.09896253892e-09,0.00491441209282,7.41597845759e-08,1.94469830947e-08,2054574.9072
12,5.0989625392e-09,0.00491506005171,1.30781204048e-08,4.25009631428e-09,1.31115284357e+11
13,5.09896253964e-09,0.00491506943552,6.61469640005e-09,6.55266891914e-09,7157678.03156
14,5.09896254257e-09,0.00491432101232,4.51586856798e-08,1.04862211828e-08,472288.195013
15,5.09896254344e-09,0.00491429819937,7.63589703252e-09,5.4014596264e-09,3452850008.66
16,5.0989625438e-09,0.00491433551029,1.03881881952e-07,3.25718985074e-08,7026347.60553
17,5.09896254466e-09,0.00491516058472,1.52348975186e-08,1.34604551868e-08,3525744.21177
18,5.09896254472e-09,0.00491430268912,8.37299770258e-08,2.19801055969e-08,20721933.1779
19,5.09896254838e-09,0.00491511331577,1.77299325928e-07,3.09880145521e-09,287733983.536
20,5.09896254937e-09,0.0049152238033,5.12829095015e-08,2.72758908159e-08,6.83203996007e+16
21,5.09896255557e-09,0.00491531409055,1.74561488496e-08,1.94742102983e-09,10037443185.5
22,5.09896255994e-09,0.00491535770513,5.76309758165e-08,1.57629422253e-08,2.74899081983e+15
23,5.09896256104e-09,0.00491536685902,6.49820700952e-08,2.72759421557e-08,1.91866850013e+17
24,5.09896256418e-09,0.00491409529449,1.67350711336e-07,4.15517759357e-08,1050950181.26
