,ssd,Km_2pg,kcat_f,Keq,dKd
0,0.0,0.0001,330.0,5.19,3.6e-09
1,5.09896253121e-09,0.00491472899089,99.9999992999,2.65751882072e-09,2.92721985853e-09
2,5.09896253123e-09,0.00491470328929,99.9132287176,5.8520518767e-10,1.08513458885e-09
3,5.09896253128e-09,0.00491468795936,99.9999988332,2.6576728401e-09,5.22984942287e-09
4,5.09896253134e-09,0.00491467541826,99.9999978227,1.04863752021e-08,3.84822802751e-09
5,5.09896253135e-09,0.00491475950504,99.8815349664,8.18392239012e-09,1.02955264714e-08
6,5.09896253142e-09,0.0049146652336,99.929986178,2.40788763366e-09,6.61055172865e-11
7,5.09896253145e-09,0.00491477894721,99.9999993965,1.25664411439e-09,1.77584188896e-09
8,5.09896253147e-09,0.00491465716383,99.9318385525,1.25690081336e-09,9.87194106604e-10
9,5.09896253153e-09,0.00491478948259,99.999999409,1.18776322539e-09,1.15419268138e-09
10,5.09896253178e-09,0.00491479529481,99.999999697,3.02887665709e-08,1.67794736118e-09
11,5.09896253185e-09,0.00491462306313,99.9999990134,5.85102508084e-10,3.15738286397e-09
12,5.09896253252e-09,0.00491485800727,99.9999994892,1.05332142067e-10,1.64114931254e-10
13,5.09896253281e-09,0.00491456708013,99.9999987915,3.548777628e-10,2.92705901786e-09
14,5.09896253373e-09,0.00491489669826,99.999999697,4.18016980482e-08,6.24659225913e-10
15,5.09896253416e-09,0.00491492718388,99.9999995476,1.94754082268e-09,6.24659225913e-10
16,5.09896253435e-09,0.00491450629873,99.9999977119,3.5788285202e-09,5.22978049115e-09
17,5.09896253567e-09,0.00491446505287,99.988261889,7.26280093655e-09,6.24555828336e-10
18,5.0989625358e-09,0.00491446144546,99.9765699016,1.94755793595e-09,6.24498385238e-10
19,5.09896253586e-09,0.00491497930185,7.74808913745,1.23090405349e-08,6.24670714533e-10
20,5.09896253593e-09,0.00491445794174,99.9773161104,6.55266891914e-09,3.98038161899e-09
21,5.09896253687e-09,0.00491500676104,99.5143334895,2.40773361428e-09,6.59791424707e-11
22,5.09896254129e-09,0.00491433682188,99.9999958473,4.96015987863e-09,5.22975751391e-09
23,5.09896254142e-09,0.00491433399877,99.9999963132,1.27629014187e-09,3.15765859084e-09
24,5.0989625428e-09,0.00491513038509,99.9999996515,2.65772417989e-09,5.22978049115e-09
25,5.09896254452e-09,0.00491428325605,99.9999942428,2.1538994095e-08,2.50322086288e-08
26,5.0989625453e-09,0.00491426702379,99.999993464,5.85136734612e-10,3.15740584121e-09
27,5.09896254543e-09,0.00491426496393,99.9999938895,4.26951986931e-09,6.84172573262e-09
28,5.09896254575e-09,0.00491426129579,99.9999935996,1.39404137987e-08,1.65125125578e-08
29,5.09896254667e-09,0.00491424557741,99.9999919786,1.2482415016e-10,2.69709131895e-09
30,5.0989625471e-09,0.00491423912113,99.9999918173,1.25063735861e-10,2.69713727343e-09
31,5.09896254741e-09,0.00491423404533,99.9934275407,1.05691520618e-10,6.24509873858e-10
32,5.09896254809e-09,0.00491422427698,99.99999235,1.96667345222e-09,6.84150744885e-09
33,5.09896254904e-09,0.00491421031186,99.9999891774,8.15755084976e-10,3.15753221603e-09
34,5.09896254948e-09,0.00491523514586,23.7810215869,3.34863800144e-09,5.22983793425e-09
35,5.09896255126e-09,0.00491422339166,99.999999677,1.22392184163e-07,1.67793587256e-09
36,5.09896255166e-09,0.00491526468049,99.9999758034,1.37098810147e-08,1.63977067819e-10
37,5.09896255203e-09,0.00491526951566,99.9935165934,1.18679461463e-08,6.24601782815e-10
38,5.09896255239e-09,0.00491416456757,99.9999808742,2.40802453978e-09,1.64080465396e-10
39,5.09896255257e-09,0.00491527684919,9.85483868671,8.85508750462e-09,3.98022077831e-09
40,5.09896255342e-09,0.00491528780588,99.9999428458,1.18679461463e-08,6.24613271434e-10
41,5.09896255449e-09,0.00491413810111,99.9999627352,5.65115926651e-09,2.23640916085e-09
42,5.09896255457e-09,0.00491413674191,99.9963119757,1.94752370942e-09,6.24544339717e-10
43,5.09896255524e-09,0.00491412847571,99.9980787085,1.02638514258e-09,1.08522649781e-09
44,5.09896255593e-09,0.0049141835404,99.9999995793,1.54397992999e-07,1.6780162929e-09
45,5.09896255691e-09,0.00491533083433,99.9999851596,8.18400795645e-09,1.54574781523e-09
46,5.09896255761e-09,0.00491410017973,99.9970172736,3.55202914823e-10,6.24682203152e-10
47,5.0989625621e-09,0.00491538997531,95.2312786046,4.25013054081e-09,6.24728157631e-10
48,5.09896256299e-09,0.00491403978999,99.9978708877,1.71735030393e-09,8.54891163074e-10
49,5.0989625637e-09,0.00491403320265,99.9979552953,1.55326661402e-08,1.29605990074e-08
