ssd,Km_2pg,kcat_f,Keq,dKd
0,0.0001,330,5.19,3.6000000000000004e-9
5.0989625312242975e-9,0.004914733489633032,99.89671891047811,1.5064293208274166e-9,2.236351717754823e-9
5.0989625312264035e-9,0.0049147073058659636,99.99999927918813,3.5506600870786505e-10,2.927231347150501e-9
5.098962531255459e-9,0.0049147492653845055,99.99999934607217,1.0536636859525376e-10,2.466710029731222e-9
5.098962531842833e-9,0.004914804701671577,99.8476845265862,1.7624317761996724e-8,1.927559450778968e-8
5.098962532172807e-9,0.004914837792578978,99.99999940571368,4.7103404456716946e-9,7.568817491056389e-10
5.098962532180378e-9,0.004914839700083623,99.99999946322319,3.5506600870786505e-10,2.927254324389739e-9
5.0989625326716294e-9,0.004914573765470425,99.95994371614401,3.118053877606599e-9,1.0851690547126219e-9
5.0989625327538065e-9,0.004914870284871255,99.99999949787197,3.5503178217916755e-10,2.927231347150501e-9
5.098962533017396e-9,0.004914880758196479,99.76846251062925,8.414232701729052e-9,8.683833979538634e-9
5.0989625334419025e-9,0.0049149003877039165,99.99999953085907,1.2566441143930615e-9,1.3154469463516896e-9
5.098962534030508e-9,0.004914517577993879,20.20166117628736,9.54593287311189e-9,2.927231347150501e-9
5.098962536449156e-9,0.004914995700716499,99.53515938768494,5.851880744055063e-10,8.547762768773661e-10
5.0989625375209576e-9,0.00491502224744735,99.49780985821545,6.571887115000022e-9,8.913916564644183e-9
5.098962537690247e-9,0.004915026283850723,99.9999995916226,1.1157968148235444e-8,6.244639193794419e-10
5.098962537786893e-9,0.004914410490721886,99.99999743524471,1.5063608677700215e-9,2.9273577219663083e-9
5.098962539173239e-9,0.0049143791464912896,99.98627475962944,1.4871084453776777e-9,1.0849737481791023e-9
5.098962539782179e-9,0.004914366502552659,99.98618822842283,1.9473183502442624e-9,1.6778439636068662e-9
5.098962541615781e-9,0.004914330492376698,99.99999594692098,2.427430981548444e-9,2.6968960124133394e-9
5.098962542976756e-9,0.004914306145790211,99.99999542375566,5.6510565869224824e-9,8.223232241782022e-9
5.098962544468187e-9,0.004914280426929034,99.99999390762456,1.967015717509674e-9,2.236501069809867e-9
5.098962544965629e-9,0.004914272308084353,99.99999283359615,1.2468724404499252e-10,2.696873035174102e-9
5.0989625450365874e-9,0.004914270994979997,99.99213701501148,1.486817519883749e-9,6.247166690110553e-10
5.098962545148475e-9,0.004914269565242592,99.99999414395829,4.499727501331628e-9,7.071900226684778e-9
5.0989625456780495e-9,0.004914262005859785,99.99999383950677,1.2098307797670558e-8,1.3289081619590284e-8
5.098962546266621e-9,0.004915187452238386,97.78588301440836,3.789749503295037e-9,3.387591823895118e-9
5.098962546323498e-9,0.004914250947322886,99.9999937526155,3.789869296145478e-9,1.2176787933957692e-9
5.098962546752595e-9,0.004914244365565178,99.99999101974258,3.358478128442188e-10,2.236328740515585e-9
5.098962549400165e-9,0.004914205177999225,99.99998845482891,1.0264364823736765e-9,1.315481412210546e-9
5.098962550161741e-9,0.004915244668636347,99.99999967873445,3.5479219647828506e-10,6.243949876617291e-10
5.098962550998371e-9,0.004915256124763735,74.72152490839328,4.940839003185008e-9,6.247856007287681e-10
5.098962552184894e-9,0.004914167561753929,99.99998495169434,2.19706933014992e-9,4.769305128208e-9
5.098962554403441e-9,0.0049153000966563765,99.99999968452315,1.2999800337034012e-8,3.980553948279832e-9
5.098962557229444e-9,0.004914104449342581,99.99996685368225,3.0066123001675394e-9,4.345225712219529e-10
5.0989625594832315e-9,0.004915359194239974,99.98791802133279,2.7985937267027434e-8,6.244983852382982e-10
5.098962561543104e-9,0.004914055451278403,99.99993814535503,1.0552038797439252e-10,2.4667444955900784e-9
5.0989625616107326e-9,0.004914055237880311,99.99994889435729,8.644645692920623e-9,1.0065386443176853e-8
5.098962563050386e-9,0.004914039232399949,99.9979001189375,2.638369077911137e-9,6.628933520043012e-11
5.0989625632258755e-9,0.004915401319207768,99.77062051633028,1.6703589913505277e-8,8.550864696070735e-10
5.09896256691229e-9,0.004913999140026626,99.99985098709607,1.3119884112969188e-9,1.2600832884087308e-9
5.098962567200607e-9,0.004913996097619805,99.99985484541786,1.947438143094704e-9,6.246247600541049e-10
5.0989625679020715e-9,0.004913989913398376,99.99984853990019,1.4611715819307123e-8,1.2039510418132745e-8
5.098962570162235e-9,0.004915471860260693,98.60653412217985,1.3921110036513315e-8,5.592614075949495e-9
5.098962570236959e-9,0.004913966538853346,99.99975609196959,7.933966051045732e-9,5.3619111053845315e-9
5.098962571334259e-9,0.004913955834796348,99.9995417235642,3.5506600870786505e-10,2.927139438193551e-9
5.0989625719030705e-9,0.004913950481033125,99.99964819740306,3.551515750296088e-10,6.246477372933425e-10
5.098962572750189e-9,0.0049139426874355435,99.99957739072683,9.565424881205116e-9,9.834901756384646e-9
5.098962573492533e-9,0.004913935632843715,99.99952584748816,3.5513446176526005e-10,2.927219858530883e-9
