	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
APO_2PG_cl000	2PG	-26.8940459184	58.0068538574	7.61622307035	58.0068538574	7.61622307035	-27.3894	4.4165	28.3193651616	28.3193651616
APO_2PG_cl000_2	2PG	-126.802192857	134.773812392	11.6092123933	134.773812392	11.6092123933	-125.05775	7.37975	9.15537194721	9.15537194721
APO_2PG_cl000_3	2PG	-57.8290887755	56.7668686306	7.53437911381	56.7668686306	7.53437911381	-58.386	5.65295	13.0287010799	13.0287010799
APO_2PG_cl000_4	2PG	-104.402392857	155.08723615	12.4534025933	155.08723615	12.4534025933	-107.84055	9.65135	11.9282731482	11.9282731482
APO_2PG_cl100	2PG	-89.3781540816	142.127567354	11.9217266935	142.127567354	11.9217266935	-88.65615	7.613	13.3385241796	13.3385241796
APO_2PG_cl100_2	2PG	-121.02285	208.165228438	14.4279322301	208.165228438	14.4279322301	-120.4466	10.7529	11.9216596123	11.9216596123
APO_2PG_cl100_3	2PG	-3.58620306122	541.346064351	23.2668447442	541.346064351	23.2668447442	-1.7971	19.9447	648.787710762	648.787710762
APO_2PG_cl100_4	2PG	-187.000902041	110.453688296	10.5096949668	110.453688296	10.5096949668	-187.3494	7.51375	5.62013062618	5.62013062618
APO_2PG_cl200	2PG	-75.8406857143	293.699562258	17.1376650177	293.699562258	17.1376650177	-75.1888	10.3067	22.5969278314	22.5969278314
APO_2PG_cl200_2	2PG	-19.1492714286	207.35537191	14.3998393015	207.35537191	14.3998393015	-19.32135	9.04045	75.1978442377	75.1978442377
APO_2PG_cl200_3	2PG	-45.6298877551	261.361383056	16.1666750773	261.361383056	16.1666750773	-47.1547	12.3729	35.4300128111	35.4300128111
APO_2PG_cl200_4	2PG	-96.0105897959	120.82132624	10.9918754651	120.82132624	10.9918754651	-97.8196	7.4174	11.448607376	11.448607376
APO_PEP_cl000	PEP	-49.2557795918	59.4132429551	7.70799863487	59.4132429551	7.70799863487	-49.32345	5.48255	15.6489222153	15.6489222153
APO_PEP_cl000_2	PEP	-168.865821429	1498.83015538	38.7147278872	1498.83015538	38.7147278872	-175.6754	21.69385	22.9263255049	22.9263255049
APO_PEP_cl000_3	PEP	-5.12379795918	49.3599064606	7.02566057112	49.3599064606	7.02566057112	-4.3884	5.05055	137.118220256	137.118220256
APO_PEP_cl000_4	PEP	-16.59275	226.785047576	15.0593840371	226.785047576	15.0593840371	-16.8209	8.95375	90.7588195873	90.7588195873
APO_PEP_cl100	PEP	-61.4961040816	1604.61355599	40.0576279377	1604.61355599	40.0576279377	-50.45285	41.88685	65.13848078	65.13848078
APO_PEP_cl100_2	PEP	-17.4571153061	170.479375051	13.0567750632	170.479375051	13.0567750632	-18.5452	9.5915	74.7934285489	74.7934285489
APO_PEP_cl100_3	PEP	-78.5056336735	91.1189852386	9.54562649796	91.1189852386	9.54562649796	-77.86935	5.68225	12.1591611344	12.1591611344
APO_PEP_cl100_4	PEP	-57.5148295918	144.588909864	12.0245128743	144.588909864	12.0245128743	-58.0234	7.846	20.906804314	20.906804314
APO_PEP_cl110	PEP	-2.05219591837	374.482878566	19.3515601068	374.482878566	19.3515601068	-4.3805	13.24965	942.968453137	942.968453137
APO_PEP_cl110_2	PEP	-7.74813673469	329.219633576	18.1444105326	329.219633576	18.1444105326	-8.7845	12.7985	234.177727548	234.177727548
APO_PEP_cl110_3	PEP	-62.3859316327	397.395757041	19.9347876096	397.395757041	19.9347876096	-55.3326	11.75575	31.9539791872	31.9539791872
APO_PEP_cl110_4	PEP	-17.3082989796	263.813694021	16.2423426272	263.813694021	16.2423426272	-18.5844	9.0682	93.8413569491	93.8413569491
2PG sumup	2PG	-79.4621886905	15.9025344648	3.9877981976	2525.92357211	50.2585671514	-82.609419898	37.6964811224	5.01848522338	63.2484052852
PEP sumup	PEP	-45.3588662415	36.1812579286	6.01508586211	2030.64065093	45.0626303152	-33.356447449	26.8739836735	13.2611027579	99.3469062373
ddG	PEP-2PG	34.103322449	52.0837923934	7.21691016942	4556.56422304	67.502327538	49.252972449	64.5704647959	21.1618975841	197.934754419
dKd	PEP-2PG	9.95215455876e+24	5.10368068512e+19	1.94066569741e+30	3.29876415306e-25	3.00249959578e+74	1.26675113942e+36	2.71135343751e+83	19499955.371	3.01693425083e+51
