	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
APO_2PG_cl000	2PG	-24.414877381	65.0426284671	8.06490102029	65.0426284671	8.06490102029	-24.78175	5.70055	33.0327320283	33.0327320283
APO_2PG_cl000_2	2PG	-133.128411905	186.148900955	13.6436395788	186.148900955	13.6436395788	-132.91905	10.9636	10.2484806838	10.2484806838
APO_2PG_cl000_3	2PG	-58.709235119	55.6066262572	7.45698506483	55.6066262572	7.45698506483	-59.15635	5.26165	12.701553767	12.701553767
APO_2PG_cl000_4	2PG	-107.678417857	132.605231317	11.5154344824	132.605231317	11.5154344824	-110.38385	6.91275	10.6942827648	10.6942827648
APO_2PG_cl100	2PG	-85.1012172619	175.456271249	13.2459907613	175.456271249	13.2459907613	-84.4733	8.13575	15.5649838951	15.5649838951
APO_2PG_cl100_2	2PG	-125.947614286	197.624659796	14.0579038194	197.624659796	14.0579038194	-126.2982	9.7663	11.1617071106	11.1617071106
APO_2PG_cl100_3	2PG	1.55000952381	395.292238257	19.8819576063	395.292238257	19.8819576063	4.05325	12.3182	1282.69906093	1282.69906093
APO_2PG_cl100_4	2PG	-188.916794048	115.008518184	10.7242024498	115.008518184	10.7242024498	-189.2407	6.45295	5.67668030989	5.67668030989
APO_2PG_cl200	2PG	-88.8381845238	472.848294951	21.7450751885	472.848294951	21.7450751885	-87.732	17.73395	24.477171956	24.477171956
APO_2PG_cl200_2	2PG	-16.0167416667	187.531191232	13.694202833	187.531191232	13.694202833	-15.7793	7.9708	85.4993051523	85.4993051523
APO_2PG_cl200_3	2PG	-45.8586202381	184.893773737	13.5975649929	184.893773737	13.5975649929	-46.9632	8.60685	29.6510556191	29.6510556191
APO_2PG_cl200_4	2PG	-93.8628535714	126.546063682	11.2492694733	126.546063682	11.2492694733	-94.7095	7.9171	11.9847938191	11.9847938191
APO_PEP_cl000	PEP	-52.041577381	94.6904513398	9.730901877	94.6904513398	9.730901877	-50.75565	6.4195	18.698322316	18.698322316
APO_PEP_cl000_2	PEP	-166.13968869	1117.11608288	33.4232865363	1117.11608288	33.4232865363	-168.26805	21.24485	20.1175810547	20.1175810547
APO_PEP_cl000_3	PEP	-5.79133928571	115.652439909	10.7541824379	115.652439909	10.7541824379	-4.4668	6.3774	185.694222137	185.694222137
APO_PEP_cl000_4	PEP	-18.9846613095	215.265326369	14.6719230631	215.265326369	14.6719230631	-19.46965	9.08935	77.2830382585	77.2830382585
APO_PEP_cl100	PEP	-72.1715494048	1187.75441526	34.4638131271	1187.75441526	34.4638131271	-86.9657	17.00365	47.7526302419	47.7526302419
APO_PEP_cl100_2	PEP	-4.37230654762	498.726284661	22.3321804726	498.726284661	22.3321804726	-6.3566	15.6926	510.764289498	510.764289498
APO_PEP_cl100_3	PEP	-76.9343541667	78.4059748071	8.85471483488	78.4059748071	8.85471483488	-76.1595	5.3209	11.5094419532	11.5094419532
APO_PEP_cl100_4	PEP	-59.5102744048	121.365790445	11.0166142914	121.365790445	11.0166142914	-60.28235	7.36345	18.5121214808	18.5121214808
APO_PEP_cl110	PEP	3.41902559524	340.987324645	18.4658421049	340.987324645	18.4658421049	4.3139	13.18645	540.090782902	540.090782902
APO_PEP_cl110_2	PEP	-10.9541797619	274.061405589	16.554800077	274.061405589	16.554800077	-11.47215	11.3591	151.12770136	151.12770136
APO_PEP_cl110_3	PEP	-59.4811946429	330.875689949	18.1899887287	330.875689949	18.1899887287	-54.8821	10.5614	30.5810749732	30.5810749732
APO_PEP_cl110_4	PEP	-8.76616369048	324.964164884	18.0267624626	324.964164884	18.0267624626	-8.9579	12.84525	205.6402675	205.6402675
2PG sumup	2PG	-80.5769131944	15.9347527645	3.99183576372	2775.66605627	52.6845903113	-86.9697008929	40.0444970238	4.95406885851	65.3842251119
PEP sumup	PEP	-44.3106886409	32.6379538246	5.71296366386	2131.51604395	46.1683446091	-35.5131193452	28.2343678571	12.892969708	104.192342808
ddG	PEP-2PG	36.2662245536	48.5727065891	6.9694122126	4907.18210022	70.0512819313	51.4565815476	68.278864881	19.2173635342	193.158462988
dKd	PEP-2PG	3.83120933421e+26	2.98345564887e+21	4.91985358256e+31	1.71938400145e-25	8.53687422363e+77	5.22334266046e+37	5.8441368061e+87	12841515.9637	2.22824530819e+53
