,ligand,mean,var,std,std %
cl1.1,2PG,-23.1546949894,67.2030592356,8.1977472049,35.4042547684
cl1.2,2PG,-134.194860601,181.872497399,13.4860111745,10.0495735188
cl1.3,2PG,-58.9740365283,52.7218046043,7.2609782126,12.3121608085
cl1.4,2PG,-107.389389655,126.591068859,11.2512696554,10.4770775693
cl2.1,2PG,-83.4255312057,180.051397153,13.4183231871,16.0841926844
cl2.2,2PG,-127.52339228,207.963262918,14.4209314165,11.308459694
cl2.3,2PG,2.976668867,350.5163589,18.7220821198,628.96086049
cl2.4,2PG,-189.475631034,109.613992887,10.4696701422,5.5256024667
cl3.1,2PG,-88.8619216936,422.321438754,20.5504607918,23.1262844648
cl3.2,2PG,-13.7184387779,209.869457547,14.4868719035,105.601461931
cl3.3,2PG,-46.1496263476,159.430387775,12.6265746652,27.3600799496
cl3.4,2PG,-94.019944335,116.361739162,10.7871098614,11.4732144735
cl1.1,PEP,-53.1792657776,94.7242391855,9.7326378329,18.3015648873
cl1.2,PEP,-165.906961642,957.362744171,30.9412789679,18.6497773582
cl1.3,PEP,-5.9738209008,106.696420365,10.3293959342,172.911041455
cl1.4,PEP,-20.8870334975,235.445971199,15.3442487988,73.4630353353
cl2.1,PEP,-76.9292567511,1119.50610803,33.459021325,43.4932335733
cl2.2,PEP,0.7798685245,580.999596307,24.1039332124,3090.76882253
cl2.3,PEP,-76.7144466995,75.1980579921,8.6716813821,11.3038440022
cl2.4,PEP,-60.2574571429,123.218711194,11.1003923892,18.4216077404
cl3.1,PEP,2.4393705466,346.885388273,18.6248594162,763.510875477
cl3.2,PEP,-12.5856464251,253.662806123,15.9267952245,126.547295916
cl3.3,PEP,-64.3296692189,403.860233651,20.0962741236,31.2395110493
cl3.4,PEP,-7.737979803,324.051594839,18.0014331329,232.637375534
2PG sumup,2PG,-80.3258998817,15.1702532305,3.8949009269,4.8488730692
PEP sumup,PEP,-45.1068582323,32.0945268842,5.6652031635,12.5595161924
ddG,PEP-2PG,35.2190416495,47.2647801147,6.8749385535,19.520515697
dKd,PEP-2PG,6.54252261283E+025,5.97556028222E+020,7.16327844047E+030,10948801.9597
