,ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,Kd,dKd
0,0.0,4.5e-05,0.00089,0.00053,268.0,0.452,3.2e-07,0.5
1,5.48773529503e-07,0.00221603602836,0.0437609748885,0.0260613464814,6.58235012367e-06,1.11436317401e-06,1887.40781182,2.27633994987e-06
2,5.4877354128e-07,0.00221352161512,0.0437720558895,0.0260512927266,7.67912766476e-06,2.7312468904e-08,5548.08865119,3.58286700308e-07
3,5.48773544561e-07,0.002211860371,0.0437664968864,0.0260637889683,9.04558535935e-06,1.37035649544e-06,22076.8149338,1.55516157729e-06
4,5.48773545561e-07,0.00221413498288,0.043771230507,0.0260588827529,8.72061965724e-06,2.60334489954e-07,13784.644844,6.64530441785e-07
5,5.48773546171e-07,0.00220420841551,0.0437723996796,0.0260469137371,7.14128132284e-06,2.95049248062e-07,4732563.4051,9.30202359584e-08
6,5.48773548469e-07,0.00220807446196,0.0437709704067,0.0260629960534,8.02543051981e-06,1.98975188587e-06,1269032.79432,1.06701338876e-06
7,5.48773548485e-07,0.00220614304828,0.043770798868,0.0260595303801,9.08060126595e-06,1.22114880892e-06,3786571.91222,8.08663580543e-07
8,5.48773549918e-07,0.00221282536562,0.0437709180794,0.0260593705131,9.42969608732e-06,2.42263759447e-06,3088.22749368,2.34494850204e-06
9,5.48773551034e-07,0.00221322845228,0.0437708474199,0.0260635009056,8.36075949833e-06,2.62457439017e-06,40.5026425344,2.44234776847e-06
10,5.4877355308e-07,0.00221277390347,0.043771177364,0.026060743373,1.01913395931e-05,1.24279315944e-06,33625.4554855,1.07944755356e-06
11,5.48773555623e-07,0.00221298169637,0.0437709595033,0.0260625931644,1.04502537304e-05,7.85500118735e-07,1067.59100895,5.32813793086e-07
12,5.4877355722e-07,0.00221470462406,0.043771384909,0.0260611138829,1.05624102711e-05,2.8532213465e-06,9220.66932498,1.55189816553e-07
13,5.48773558459e-07,0.0022057853588,0.043772907944,0.0260627327418,9.5710606432e-06,7.83197155114e-07,2088782.87575,7.96738008901e-08
14,5.48773558605e-07,0.00220595974391,0.0437723877402,0.0260587342881,8.63911245162e-06,4.8979161189e-06,1587026.24363,4.60608728936e-06
15,5.48773559753e-07,0.00219758311449,0.0437767896648,0.0260551881065,5.14518651233e-06,5.32215348488e-07,14841718.9861,3.76238307176e-07
16,5.48773560525e-07,0.00221580036095,0.0437706113516,0.0260601071179,1.14001451834e-05,3.27459430024e-06,97.0915537907,2.22521385762e-06
17,5.48773562631e-07,0.00221326051334,0.0437713182857,0.0260630544944,1.08614503474e-05,3.177885106e-06,1537.30218359,2.99658018399e-06
18,5.4877356386e-07,0.00221383835679,0.0437713585296,0.0260627373867,1.115952241e-05,3.29992265077e-06,82.1210239074,2.91138420039e-06
19,5.48773568407e-07,0.00220823826648,0.0437727276089,0.0260647528011,1.07057911564e-05,3.49287964579e-06,1055414.95733,2.88191095432e-06
20,5.48773569202e-07,0.0022027568819,0.0437746656592,0.0260630398322,8.94269336261e-06,3.92162063639e-06,2538336.06065,3.40183530234e-06
21,5.48773570544e-07,0.00221363803129,0.0437710891481,0.026067906235,1.04023150664e-05,3.91931828683e-06,782.337798679,3.62288281597e-06
22,5.4877357362e-07,0.00221304850291,0.0437708901713,0.0260660588914,1.00569665232e-05,5.9824344102e-06,3511.33944373,5.86560113813e-06
23,5.4877357532e-07,0.00223282280726,0.0437410369807,0.02606236969,7.14583694107e-06,2.25971527626e-07,44278845.4922,6.99943880633e-08
24,5.48773580736e-07,0.00221120433924,0.043773318249,0.0260664015916,1.27157290998e-05,3.27459447218e-06,569951.451096,2.32652741516e-06
25,5.48773583991e-07,0.00221297436709,0.0437577553053,0.0260790596957,1.07340988821e-05,1.94623278899e-06,212.881795826,1.79900521147e-06
26,5.48773588865e-07,0.00223335926825,0.0437409208572,0.0260673258466,7.77414616927e-06,2.17511003063e-06,30909967.1799,1.8234126653e-06
27,5.48773589637e-07,0.00219107794663,0.043781040583,0.0260606957398,3.75687886505e-06,5.32214857239e-07,52113271.6417,4.24592805359e-07
28,5.48773591725e-07,0.0021970259875,0.0437760139591,0.0260693818297,9.31202656212e-06,2.14149165461e-06,3891856.70667,2.65142265921e-06
