,ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,Kd,dKd
0,0.0,4.5e-05,0.00089,0.00053,268.0,0.452,3.2e-07,0.5
1,5.48773529444e-07,0.00221219037954,0.0437697533644,0.0260473378551,3.98031700336e-06,14069.1320631,1.72945814051e-07,1.94103666473e-07
2,5.48773530765e-07,0.00221245071506,0.0437696514413,0.0260447274715,3.12626737234e-06,326.611650479,7.94643777487e-07,7.904731536e-07
3,5.48773533524e-07,0.00221258418008,0.0437689145244,0.0260592509067,6.32729083986e-06,568128331.964,1.14877387633e-07,1.09837283713e-07
4,5.48773534308e-07,0.00220905109642,0.0437731309228,0.0260486034993,2.69697724054e-06,894372.53503,4.2480530374e-07,4.17002354869e-07
5,5.48773534398e-07,0.00221247594029,0.0437705991388,0.0260502316191,6.31635323282e-06,201632.746869,1.42543568186e-08,7.83304532348e-09
6,5.48773538691e-07,0.00221246966015,0.043773979609,0.0260461096769,3.32942517867e-06,28644900100.1,4.9779722646e-07,4.89073470611e-07
7,5.48773541326e-07,0.00221251531482,0.043760410935,0.026065169422,9.2589144895e-06,2.83511436701e+15,1.20307897838e-06,1.1883684703e-06
8,5.4877354188e-07,0.00220915952727,0.0437700739169,0.0260596214027,8.16973557727e-06,1.82689295939e+28,3.46287086608e-07,3.80391596e-07
9,5.48773543183e-07,0.00221253697991,0.0437723500662,0.0260494641358,7.92115701588e-06,4.22548316829e+13,3.37767523346e-07,3.3595148885e-07
10,5.48773543276e-07,0.00221267539828,0.0437650751515,0.0260714830926,3.03722336568e-06,4424743.30172,1.47851144462e-06,1.47894612113e-06
11,5.48773543349e-07,0.00221248889899,0.0437736884174,0.0260474155103,6.51745131363e-06,28.8170909401,3.92569049564e-07,3.9167384891e-07
12,5.48773543631e-07,0.00221252302035,0.0437636782201,0.026062491729,1.01072888354e-05,1.75346799761e+23,1.48790891121e-06,1.47688222762e-06
13,5.48773544629e-07,0.00221255963683,0.0437729366101,0.0260519024462,8.1451165653e-06,15809676.5283,6.81543455051e-07,6.78345679628e-07
