,ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,Kd,dKd
0,0.0,4.5e-05,0.00089,0.00053,268.0,0.452,3.2e-07,0.5
1,5.4877352939e-07,0.0022090488213,0.0437677632365,0.0260556626817,6.13042638477e-06,5.75273432627e-07,5.85525818471e-07,99.9952085975
2,5.48773532172e-07,0.00221254546305,0.0437714731825,0.0260524920063,4.7764971918e-06,2.92746947627e-07,2.97011821713e-07,284.505597775
3,5.48773532389e-07,0.00220913016106,0.0437712163664,0.0260540084864,4.95637891193e-06,2.0916282472e-07,2.21717226691e-07,99.9547138597
4,5.48773532643e-07,0.00221258371732,0.0437709147515,0.0260541664014,5.50738335997e-06,1.19131376347e-07,9.53053844418e-08,99.8835217314
5,5.48773533835e-07,0.00220907506293,0.043771069825,0.0260516388921,5.71941953566e-06,1.39394015013e-07,1.4412015789e-07,70446.2381763
6,5.48773534532e-07,0.00221239861735,0.0437707208529,0.0260480987015,5.83406195791e-06,1.52850691789e-08,3.33659181941e-08,73821.1468348
7,5.4877353527e-07,0.00220911545921,0.043770960104,0.0260526173468,6.42878786093e-06,1.08309452852e-07,1.08430093785e-07,98.8608277627
8,5.48773535757e-07,0.00221251650136,0.0437684785019,0.0260566896741,7.90962350741e-06,4.36197268079e-07,4.50594264066e-07,2665.80821939
9,5.4877353577e-07,0.00221255341045,0.0437703817863,0.0260567022664,6.73448156544e-06,7.21718186689e-07,7.08483817703e-07,99.9207056083
10,5.4877353645e-07,0.00221257435969,0.0437704929221,0.0260542362907,7.25827615059e-06,5.42528411576e-08,4.9066716119e-08,14736.0052094
11,5.48773538129e-07,0.00221257032789,0.0437711717894,0.0260532859772,7.3945246291e-06,1.61729884647e-07,1.65534159957e-07,12.1373626936
12,5.48773538303e-07,0.00221257864652,0.0437709274694,0.0260542163249,7.58005968176e-06,9.40331637531e-08,9.96803096144e-08,96.4808830744
13,5.48773539869e-07,0.00221248051399,0.0437743939804,0.0260464522815,3.65328926381e-06,5.4557028757e-07,4.47140404506e-07,99.8858028582
14,5.48773541805e-07,0.00221250212434,0.0437724518076,0.0260483832654,7.21424220528e-06,3.91757668586e-07,4.02930859856e-07,99.8227795273
15,5.4877354208e-07,0.00221252670021,0.0437720791854,0.026053474887,8.00291573243e-06,4.79025607283e-07,4.92961793297e-07,15668.9904056
16,5.4877354235e-07,0.00221253237806,0.0437730534783,0.026047685395,6.76581834538e-06,4.04882666234e-07,4.12831831286e-07,62.5409601836
17,5.48773542991e-07,0.00221255872725,0.0437708289669,0.0260561216978,8.78633902749e-06,7.24480762992e-07,7.31049139377e-07,99.7171088012
18,5.48773543324e-07,0.0022125087527,0.0437746086768,0.0260480159109,5.7074488419e-06,7.9217742248e-07,7.9920556276e-07,99.9613646014
19,5.48773543517e-07,0.00221255579551,0.0437729092311,0.0260505558355,7.74860158524e-06,5.50866211054e-07,5.54671170985e-07,39316.0423341
20,5.48773544244e-07,0.00221250760768,0.0437748513509,0.0260488972298,5.97173427921e-06,1.06848717435e-06,1.07091072007e-06,99.9916257163
21,5.48773545835e-07,0.00221262959381,0.0437726257078,0.0260576267043,8.27008045859e-06,7.78822348304e-07,7.84929682702e-07,99.9593164251
22,5.48773546434e-07,0.00221254284055,0.0437685846749,0.0260593360559,1.00752571871e-05,1.25338538712e-06,1.26593959296e-06,99.9932290897
23,5.48773546773e-07,0.00221263557718,0.0437721134163,0.0260584366251,8.729173807e-06,5.9668801365e-07,5.71019403176e-07,11644.7022487
24,5.48773548042e-07,0.00221248119474,0.0437760546943,0.0260446819522,4.79344130292e-06,5.82872356575e-07,5.94045249384e-07,99.9771477001
25,5.48773548367e-07,0.00221250296639,0.0437481479972,0.0260726071532,5.15298589603e-06,6.36522410493e-07,6.39406229446e-07,99.6549376389
