,ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,Kd,dKd
0,0.0,4.5e-05,0.00089,0.00053,268.0,0.452,3.2e-07,0.5
1,5.48773512035e-07,0.0022100831842,0.0437559112296,0.0260546203465,99.9919864427,6.67837564994e-07,3.70694589138e-07,6.2745022511e-07
2,5.48773515064e-07,0.00220847197179,0.0437584079229,0.0260579619611,99.9986275002,1.31325227241e-06,4.6510062973e-07,1.55470105678e-06
3,5.48773516604e-07,0.00220358863929,0.0437586645995,0.0260545857317,99.9997902065,4.41639804864e-07,8.2200118806e-07,2.2791213361e-08
4,5.4877351809e-07,0.00220325748299,0.0437530184357,0.0260507854356,99.9975068501,7.58328576924e-07,6.14768638358e-07,1.6721333429e-06
5,5.48773518704e-07,0.00220164740035,0.0437553945747,0.0260512875707,99.9994532447,7.14634276043e-07,3.91417796131e-07,5.31662402992e-07
6,5.48773519972e-07,0.00220254469608,0.0437537277929,0.0260486837324,99.999174949,2.15697356731e-06,1.93395422785e-07,9.5028122038e-07
7,5.48773531361e-07,0.00219524603868,0.0437572542494,0.0260511569607,99.9999182699,8.77197061301e-07,2.26042608708e-06,4.67429006612e-07
8,5.48773553692e-07,0.00219658205368,0.0437415960576,0.0260657068861,99.9998545282,4.79770746238e-07,1.7055031554e-06,2.13675654948e-07
9,5.48773559093e-07,0.00218796690326,0.0437596590485,0.0260514144139,99.999900968,7.59940746024e-07,6.13890028618e-06,1.42184197749e-06
10,5.48773568038e-07,0.002197678799,0.043771569268,0.0260360287059,99.999902494,3.45745649416e-06,3.76815872909e-06,3.14512256239e-06
11,5.4877362905e-07,0.00217680589141,0.0437644102766,0.0260512204478,99.9999467769,5.33896059123e-07,1.19556902545e-05,1.87356952175e-07
12,5.48773634116e-07,0.00220493371656,0.0437264365735,0.0260818961824,99.9998150683,2.0985331221e-07,1.37462171213e-06,5.53537371495e-07
