,ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,Kd,dKd
0,0.0,4.5e-05,0.00089,0.00053,268.0,0.452,3.2e-07,0.5
1,5.47741065618e-07,233964.490667,0.0437596584311,0.026052972051,5.45667869099e-07,2.66551075705e-07,1.43909405505e-06,1.41143963184e-07
2,5.47741065732e-07,173905.632662,0.0437598737113,0.0260515898734,4.38395874826e-07,3.93423911934e-07,1.22495362079e-06,1.92031457402e-07
3,5.47741067344e-07,133390.153752,0.043761143613,0.0260533205448,2.02110805703e-07,1.43649504779e-06,1.92263695778e-06,9.5005073808e-07
4,5.4774106788e-07,280000.155469,0.043761786825,0.0260511118367,1.94780893504e-06,3.22680083243e-07,1.35159581629e-06,5.05182984334e-07
5,5.47741068554e-07,294172.303977,0.0437599729479,0.0260542264106,3.40965247413e-06,1.05075730565e-06,1.14896829687e-06,1.14253841943e-06
6,5.47741069167e-07,237793.808756,0.0437608585585,0.0260494936787,3.08241583501e-06,1.17782246591e-06,8.72658092733e-07,8.70243155315e-07
7,5.47741069581e-07,304117.612439,0.0437608877219,0.0260548102988,3.84856787235e-06,2.04047447572e-08,1.52889475104e-06,2.36249853014e-07
8,5.47741070509e-07,297219.151811,0.0437607004168,0.0260538435374,4.68847689693e-06,1.38473352745e-07,1.04765457024e-06,8.15072009885e-08
9,5.47741072199e-07,301146.178749,0.0437606382126,0.0260565823093,4.97694133998e-06,3.75639465452e-07,1.55882849834e-06,1.29861632558e-07
10,5.47741073204e-07,422811.234827,0.0437595347517,0.0260591055283,4.72478758207e-06,2.80773180025e-07,2.00553001736e-06,6.13873574196e-07
11,5.47741074332e-07,484144.977344,0.0437590596043,0.0260584193861,5.8080051256e-06,1.22299087033e-06,3.03919524291e-07,7.07810521305e-07
12,5.47741074772e-07,305104.65154,0.043760979034,0.0260569845164,5.91057392084e-06,4.70045818885e-07,1.60027502814e-06,4.92707208366e-08
13,5.47741074977e-07,486893.756151,0.0437604174783,0.0260576900623,5.94908885802e-06,1.44634146105e-06,5.04244536852e-07,7.49257011989e-07
14,5.47741076485e-07,452190.533729,0.0437607229519,0.0260579795614,6.58385494713e-06,3.22680218337e-07,4.60495417475e-07,3.26050275667e-07
15,5.47741077067e-07,500900.690541,0.0437662191344,0.0260509428555,5.08167192438e-06,1.05720491358e-06,5.06547126436e-07,4.4761823137e-07
16,5.47741077192e-07,406756.802871,0.0437628612189,0.0260552750291,6.72458122354e-06,1.54591297973e-07,4.55890238307e-07,7.10581726793e-07
17,5.47741077663e-07,442623.632567,0.0437616969066,0.0260550314335,5.74981693568e-06,3.27229159453e-06,4.60299541106e-08,3.07026262192e-06
