ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,Kd,dKd
0,0.000045,0.00089,0.00053,268,0.452,3.2e-7,0.5
4.054429908054951e-7,0.002211708064865503,0.04375653929635151,44161.005148528544,2.1769824682573315e-7,1.6436225536939868e-8,1.358308155353529e-7,1.7503942739693912e-8
4.054429909923211e-7,0.0022123526530533058,0.043757617292538575,36696.77332222528,4.620451762487242e-7,7.791494833783939e-8,3.290534402903295e-8,4.765929872974084e-8
4.0544299100511757e-7,0.0022120521884967624,0.0437578686453819,40493.0792546161,4.0242688650757927e-7,3.002174467727612e-8,9.921981816736814e-8,1.9576473775373415e-8
4.0544299104988093e-7,0.00221192675675591,0.04375817391586727,60067.86677579606,2.6022842918669693e-7,1.459423781431399e-8,8.931871438929216e-8,6.451539302787523e-9
4.054429911244909e-7,0.002212360878127212,0.04375828993903398,60099.80257626256,3.496148750271649e-7,2.012056941903608e-8,3.2019003459070127e-9,1.795574799956512e-8
4.054429913738886e-7,0.0022121562810758643,0.043758908707552086,16114.140665914456,6.192172718193202e-7,2.2988554275521834e-7,8.586483828518925e-8,1.858143638955312e-7
4.054429914426028e-7,0.0022122480894937683,0.04375924336124418,72706.3997481743,3.921026369262923e-7,2.633763413851473e-8,4.073402950041857e-8,2.528222076136899e-9
4.0544299183660873e-7,0.002212243660588127,0.04376002004444217,73159.20438664078,5.821709098213364e-7,3.9461907193277453e-8,7.596361870182751e-8,1.52013068799306e-8
4.05442991900043e-7,0.0022087188789087294,0.043753918169453156,5895.586126226337,6.621804398342484e-7,2.0336030057550697e-7,3.6797744971797176e-7,3.850339158617544e-7
4.0544299190407925e-7,0.002212419269657273,0.043760199044722455,77475.79415072832,3.6162839223970194e-7,1.3212599647606799e-8,1.4032788219717093e-9,6.4430238921886485e-9
4.054429921696592e-7,0.002210713064116681,0.04375909457318326,1219.3741381111863,1.5223646210978951e-6,8.057625240581389e-7,1.4780435416373147e-7,9.293191327586214e-7
4.0544299235263825e-7,0.0022124367336094084,0.04375946478960808,7.177232411740379,9.349162240399512e-8,6.766417318287829e-7,9.486434993716815e-7,1.6224057541869286e-6
