ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,dKd
0,0.000045,0.00089,0.00053,268,0.452,0.5
$Failed[[1,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[2,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[3,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[4,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[5,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[6,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[7,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[8,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[9,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[10,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[11,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[12,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[13,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[14,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[15,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[16,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[17,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[18,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[19,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[20,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[21,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[22,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[23,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[24,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[25,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[26,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[27,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[28,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[29,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[30,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[31,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[32,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[33,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[34,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[35,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[36,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[37,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[38,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[39,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[40,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[41,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[42,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[43,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[44,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[45,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[46,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[47,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[48,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[49,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[50,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[51,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[52,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[53,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[54,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[55,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[56,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[57,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[58,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[59,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[60,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[61,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[62,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[63,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[64,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[65,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[66,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[67,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[68,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[69,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[70,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[71,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[72,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[73,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[74,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[75,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[76,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[77,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[78,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[79,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[80,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[81,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[82,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[83,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[84,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[85,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[86,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[87,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[88,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[89,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[90,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[91,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[92,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[93,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[94,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[95,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[96,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[97,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[98,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[99,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
$Failed[[100,1]],0.3234207030831044,0.49456097802088106,0.42314539746971896,0,1,1
