	2pg	pep
0	9.17999999735e-05	0.000164734522139
1	9.17999999737e-05	0.000164734524607
2	9.17999999738e-05	0.000164734524955
3	9.1799999974e-05	0.000164734525774
4	9.17999999739e-05	0.000164734521038
5	9.17999999735e-05	0.000164734522844
6	9.17999999733e-05	0.000164734521595
7	9.17999999733e-05	0.000164734599424
8	9.17999999747e-05	0.000164734574232
9	9.17999999726e-05	0.000164734521505
10	9.17999999734e-05	0.000164734521827
11	9.17999999725e-05	0.000164734521059
12	9.17999999736e-05	0.00016473453765
13	9.17999999748e-05	0.000164734521037
14	9.17999999736e-05	0.000164734521246
15	9.17999999732e-05	0.000164734521317
16	9.17999999742e-05	0.000164734520871
17	9.17999999746e-05	0.000164734521658
18	9.17999999731e-05	0.000164734522415
19	9.17999999735e-05	0.000164734521383
20	9.17999999738e-05	0.000164734521401
21	9.1799999976e-05	0.000164734521536
22	9.17999999731e-05	0.000164734521318
23	9.17999999726e-05	0.00016473452138
24	9.1799999973e-05	0.000164734521442
25	9.17999999747e-05	0.000164734536745
26	9.17999999741e-05	0.000164734528553
27	9.17999999732e-05	0.000164734522819
28	9.17999999739e-05	0.000164734521029
29	9.17999999733e-05	0.000164734628843
30	9.17999999733e-05	0.0001647345231
31	9.17999999738e-05	0.000164734522247
32	9.17999999731e-05	0.000164734520966
33	9.17999999735e-05	0.000164734521215
34	9.17999999736e-05	0.000164734522191
35	9.17999999758e-05	0.000164734551466
36	9.17999999745e-05	0.00016473457489
37	9.17999999733e-05	0.000164734525346
38	9.17999999732e-05	0.000164734521307
39	9.17999999738e-05	0.000164734521185
40	9.17999999728e-05	0.000164734521014
41	9.17999999731e-05	0.000164734520987
42	9.17999999737e-05	0.000164734692324
43	9.17999999729e-05	0.000164734520996
44	9.17999999728e-05	0.00016473452125
45	9.17999999757e-05	0.000164734520915
46	9.17999999734e-05	0.000164734559834
47	9.17999999731e-05	0.000164734521852
48	9.17999999736e-05	0.000164734532624
49	9.17999999733e-05	0.000164734520967
50	9.17999999745e-05	0.000164734520936
51	9.17999999738e-05	0.000164734530436
52	9.17999999743e-05	0.000164734523532
53	9.17999999744e-05	0.000164734611175
54	9.17999999737e-05	0.000164734971002
55	9.17999999742e-05	0.000164734520891
56	9.17999999752e-05	0.00016473452117
57	9.17999999731e-05	0.00016473453029
58	9.1799999974e-05	0.000164734704796
59	9.17999999739e-05	0.000164734540152
60	9.17999999741e-05	0.00016473452109
61	9.17999999732e-05	0.000164734528991
62	9.17999999729e-05	0.000164734525118
63	9.1799999974e-05	0.000164734521352
64	9.17999999735e-05	0.000164734595095
65	9.17999999731e-05	0.000164734536353
66	9.17999999727e-05	0.000164734521298
67	9.17999999747e-05	0.000164734521827
68	9.17999999735e-05	0.000164734521309
69	9.17999999734e-05	0.000164734551808
70	9.17999999751e-05	0.000164734521371
71	9.17999999739e-05	0.000164734522524
72	9.17999999731e-05	0.000164734521098
73	9.17999999731e-05	0.000164734520929
74	9.17999999729e-05	0.000164734521209
75	9.17999999735e-05	0.000164734522839
76	9.17999999733e-05	0.000164734521142
77	9.17999999733e-05	0.00016473452097
78	9.1799999974e-05	0.000164734520928
79	9.17999999728e-05	0.0001647345934
80	9.17999999741e-05	0.000164734520986
81	9.17999999734e-05	0.000164734521181
82	9.17999999744e-05	0.000164734521666
83	9.17999999734e-05	0.000164734521121
84	9.17999999734e-05	0.000164734522979
85	9.17999999741e-05	0.000164734521895
86	9.17999999738e-05	0.000164734522079
87	9.17999999736e-05	0.000164734521183
88	9.1799999973e-05	0.000164734536211
89	9.1799999974e-05	0.000164734521103
90	9.17999999738e-05	0.000164734522163
91	9.17999999737e-05	0.000164734534612
92	9.17999999731e-05	0.000164734521245
93	9.1799999973e-05	0.000164734524065
94	9.17999999745e-05	0.000164734527903
95	9.17999999743e-05	0.000164734523771
96	9.17999999738e-05	0.000164734521257
97	9.17999999729e-05	0.000164734525136
98	9.17999999737e-05	0.000164734521744
99	9.17999999735e-05	0.000164734530285
