,ligand,group,mean,var,std,std %
cl1,2PG,2PG,1.4359808851,0.0996062626,0.3156045985,21.9783286687
cl1,2PG,backbone,1.0360982086,0.0365088892,0.1910729945,18.4415910479
cl2,2PG,2PG,0.9958259873,0.0657127101,0.2563449046,25.7419376368
cl2,2PG,backbone,1.0597002986,0.0186781743,0.1366681173,12.8968650375
cl3,2PG,2PG,0.8728007782,0.112137501,0.334869379,38.3672181949
cl3,2PG,backbone,1.0365637271,0.0141448962,0.1189323177,11.473710162
cl1,PEP,PEP,0.8942088907,0.1806809174,0.42506578,47.535400781
cl1,PEP,backbone,1.1816241745,0.059657315,0.2442484697,20.6705714905
cl2,PEP,PEP,0.5394182271,0.1465857602,0.3828651984,70.97743072
cl2,PEP,backbone,0.8886868251,0.0124005727,0.1113578587,12.5306075788
cl3,PEP,PEP,0.7830957054,0.1923799567,0.438611396,56.0099350518
cl3,PEP,backbone,0.96520597,0.0171952384,0.131130616,13.5857651135
